model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,224,3.584,1,8,1,7,224,1,3616.182,54.732,59607.018,3.584,0.056,3669.811,57.341,18.271,3.982,4.001,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.488,sglang,0.5.10,a100_sxm,0.0,57.341
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,256,5.78,1,16,1,8,256,1,4484.518,33.799,39060.895,5.78,0.09,5918.515,92.477,29.587,6.422,7.404,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.823,sglang,0.5.10,a100_sxm,0.0,92.477
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,224,4.628,1,8,1,7,224,1,2800.611,39.339,43044.408,4.628,0.072,4738.867,74.045,25.42,5.142,5.566,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.488,sglang,0.5.10,a100_sxm,0.0,74.045
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,672,15.153,1,8,1,84,672,1,855.277,39.782,41552.263,15.153,0.947,15516.979,969.811,25.137,16.837,16.512,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,129.404,sglang,0.5.10,b200_sxm,0.0,969.811
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,576,25.127,1,8,1,72,576,1,515.774,19.633,20600.333,25.127,1.57,25730.15,1608.134,50.935,27.919,28.679,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,125.383,sglang,0.5.10,b200_sxm,0.0,1608.134
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,672,20.316,1,8,1,84,672,1,637.927,29.53,30847.117,20.316,1.27,20803.277,1300.205,33.864,22.573,22.245,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,129.934,sglang,0.5.10,b200_sxm,0.0,1300.205
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__silicon,SILICON,deepseek-ai/DeepSeek-V3,4096,1024,0,384,11.408,1,8,1,48,384,1,1136.027,29.022,30825.533,11.408,0.713,11682.202,730.138,34.456,12.676,12.934,16,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,137.045,sglang,0.5.10,b200_sxm,1,1,8,4,2,tp1pp1dp8etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,117.369,sglang,0.5.10,b200_sxm,0.0,730.138
deepseek_v3,b300_sxm,deepseek_v3__b300_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,800,15.964,1,4,2,100,800,1,811.827,44.482,46316.913,15.964,0.998,16347.341,1021.709,22.481,8.869,17.581,16,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,188.932,sglang,0.5.10,b300_sxm,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,134.845,sglang,0.5.10,b300_sxm,0.0,1021.709
deepseek_v3,b300_sxm,deepseek_v3__b300_sxm__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,800,28.638,1,4,2,100,800,1,452.547,24.524,25540.599,28.638,1.79,29325.312,1832.832,40.776,15.91,31.888,16,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,188.932,sglang,0.5.10,b300_sxm,1,1,8,4,2,tp1pp1dp8etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,135.042,sglang,0.5.10,b300_sxm,0.0,1832.832
deepseek_v3,b300_sxm,deepseek_v3__b300_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,3072,45.176,1,4,5,256,1024,3,581.143,61.153,63140.662,45.176,1.412,46259.896,1445.622,16.352,12.389,16.368,32,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,188.932,sglang,0.5.10,b300_sxm,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,267.37,sglang,0.5.10,b300_sxm,0.0,1445.622
deepseek_v3,b300_sxm,deepseek_v3__b300_sxm__silicon,SILICON,deepseek-ai/DeepSeek-V3,4096,1024,0,2592,34.52,1,4,5,216,864,3,938.585,64.674,67100.087,34.52,1.079,35347.968,1104.624,15.462,7.671,13.059,32,1,1,4,4,1,tp1pp1dp4etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,201.007,sglang,0.5.10,b300_sxm,1,1,4,4,1,tp1pp1dp4etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,254.53,sglang,0.5.10,b300_sxm,0.0,1104.624
deepseek_v3,h100_sxm,deepseek_v3__h100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,352,7.038,1,16,1,22,352,1,3682.856,44.916,49631.924,7.038,0.22,7206.912,225.216,22.264,7.82,7.661,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.523,sglang,0.5.10,h100_sxm,0.0,225.216
