model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,4,0.375,1,16,1,1,4,1,4484.518,9.589,14294.065,0.375,0.006,384.369,6.006,104.289,6.422,0.408,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,57.764,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.542,1,16,1,1,8,1,4484.518,13.269,18058.705,0.542,0.008,554.885,8.67,75.364,6.422,0.589,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,60.206,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.526,1,16,1,2,8,1,4484.518,13.671,18469.951,0.526,0.008,538.87,8.42,73.147,6.422,0.572,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,58.099,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.607,1,16,1,3,12,1,4484.518,17.77,22663.228,0.607,0.009,621.773,9.715,56.275,6.422,0.66,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,58.434,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,64,2.388,1,16,1,4,64,1,4484.518,24.098,29136.772,2.388,0.037,2445.64,38.213,41.498,6.422,2.596,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,66.047,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,64,2.341,1,16,1,2,64,1,4484.518,24.58,29629.858,2.341,0.037,2397.594,37.462,40.684,6.422,2.545,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,74.813,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,48,1.751,1,16,1,6,48,1,4484.518,24.651,29702.491,1.751,0.027,1792.778,28.012,40.567,6.422,1.903,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,61.882,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,28,1.018,1,16,1,7,28,1,4484.518,24.741,29794.561,1.018,0.016,1041.94,16.28,40.418,6.422,1.106,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,59.774,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,160,4.929,1,16,1,5,160,1,4484.518,29.189,34344.865,4.929,0.077,5047.665,78.87,34.259,6.422,5.358,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,75.818,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,144,4.337,1,16,1,9,144,1,4484.518,29.862,35033.344,4.337,0.068,4440.965,69.39,33.488,6.422,4.714,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,67.723,sglang,0.5.10,a100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,88,2.656,1,16,1,11,88,1,4484.518,29.796,34965.826,2.656,0.042,2719.785,42.497,33.562,6.422,2.887,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,63.557,sglang,0.5.10,a100_sxm,0.0
