model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,2,0.157,1,16,1,1,2,1,3682.856,11.429,15374.723,0.157,0.005,161.096,5.034,87.499,7.82,0.171,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,52.321,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,4,0.255,1,16,1,1,4,1,3682.856,14.128,18135.8,0.255,0.008,260.956,8.155,70.78,7.82,0.277,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,4,1,4,1,16,tp4pp1dp4etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,53.542,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,4,0.253,1,16,1,2,4,1,3682.856,14.193,18202.295,0.253,0.008,259.072,8.096,70.455,7.82,0.275,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,52.656,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.318,1,16,1,3,6,1,3682.856,16.959,21031.913,0.318,0.01,325.96,10.186,58.967,7.82,0.346,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,52.991,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.376,1,16,1,2,8,1,3682.856,19.135,23257.961,0.376,0.012,385.311,12.041,52.26,7.82,0.409,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,4,1,4,1,16,tp4pp1dp4etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,53.877,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.371,1,16,1,1,8,1,3682.856,19.413,23542.355,0.371,0.012,379.658,11.864,51.512,7.82,0.403,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,2,1,8,1,16,tp2pp1dp8etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,55.935,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.364,1,16,1,4,8,1,3682.856,19.738,23874.83,0.364,0.011,373.064,11.658,50.665,7.82,0.396,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,53.326,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.447,1,16,1,3,12,1,3682.856,24.118,28355.57,0.447,0.014,457.851,14.308,41.463,7.82,0.486,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,4,1,4,1,16,tp4pp1dp4etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,54.212,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,10,0.4,1,16,1,5,10,1,3682.856,22.479,26678.873,0.4,0.013,409.805,12.806,44.486,7.82,0.435,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,53.661,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,24,0.731,1,16,1,3,24,1,3682.856,29.5,33861.356,0.731,0.023,748.954,23.405,33.898,7.82,0.795,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,2,1,8,1,16,tp2pp1dp8etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,56.606,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,20,0.605,1,16,1,5,20,1,3682.856,29.711,34077.209,0.605,0.019,619.889,19.372,33.657,7.82,0.658,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,4,1,4,1,16,tp4pp1dp4etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,54.882,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,16,0.483,1,16,1,1,16,1,3682.856,29.796,34164.164,0.483,0.015,494.592,15.456,33.562,7.82,0.525,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,60.486,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,14,0.449,1,16,1,7,14,1,3682.856,28.027,32354.477,0.449,0.014,459.735,14.367,35.68,7.82,0.488,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,54.331,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,128,3.305,1,16,1,8,128,1,3682.856,34.836,39320.084,3.305,0.103,3383.951,105.748,28.706,7.82,3.592,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,62.832,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,88,2.292,1,16,1,11,88,1,3682.856,34.528,39005.0,2.292,0.072,2346.721,73.335,28.962,7.82,2.491,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,2,1,8,1,16,tp2pp1dp8etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,59.286,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,56,1.441,1,16,1,14,56,1,3682.856,34.957,39443.867,1.441,0.045,1475.297,46.103,28.607,7.82,1.566,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,4,1,4,1,16,tp4pp1dp4etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,57.898,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,30,0.777,1,16,1,15,30,1,3682.856,34.721,39202.439,0.777,0.024,796.058,24.877,28.801,7.82,0.845,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,8,1,2,1,16,tp8pp1dp2etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,57.012,sglang,0.5.10,h100_sxm,0.0
