model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.737,1,1,1,1,1,3,222.952,3.662,3969.178,0.737,0.023,754.606,23.581,273.048,8.073,0.267,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.737,1,1,1,1,1,3,222.952,3.663,3970.201,0.737,0.023,754.606,23.581,273.008,8.073,0.267,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.737,1,1,1,1,1,3,222.952,3.664,3971.224,0.737,0.023,754.606,23.581,272.927,8.073,0.267,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.737,1,1,1,1,1,3,222.952,3.666,3973.27,0.737,0.023,754.606,23.581,272.765,8.073,0.267,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.217,1,1,1,2,2,3,222.952,4.432,4756.888,1.217,0.038,1246.372,38.949,225.651,8.073,0.441,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.217,1,1,1,2,2,3,222.952,4.433,4757.911,1.217,0.038,1246.372,38.949,225.595,8.073,0.441,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.217,1,1,1,2,2,3,222.952,4.435,4759.957,1.217,0.038,1246.372,38.949,225.485,8.073,0.441,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.214,1,1,1,2,2,3,222.952,4.439,4764.049,1.214,0.038,1243.546,38.861,225.263,8.073,0.44,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,1.805,1,1,1,4,4,3,222.952,5.977,6337.423,1.805,0.056,1848.361,57.761,167.319,8.073,0.654,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,1.805,1,1,1,4,4,3,222.952,5.979,6339.469,1.805,0.056,1848.361,57.761,167.258,8.073,0.654,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,h200_sxm,0.0
