model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.513,1,1,1,1,1,3,272.101,5.257,5650.012,0.513,0.016,525.681,16.428,190.221,6.615,0.186,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.513,1,1,1,1,1,3,272.101,5.258,5651.035,0.513,0.016,525.681,16.428,190.193,6.615,0.186,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.513,1,1,1,1,1,3,272.101,5.259,5652.058,0.513,0.016,525.681,16.428,190.137,6.615,0.186,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.513,1,1,1,1,1,3,272.101,5.262,5655.127,0.513,0.016,525.681,16.428,190.025,6.615,0.186,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.853,1,1,1,2,2,3,272.101,6.325,6742.576,0.853,0.027,873.308,27.291,158.106,6.615,0.309,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.853,1,1,1,2,2,3,272.101,6.326,6743.599,0.853,0.027,873.308,27.291,158.067,6.615,0.309,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.853,1,1,1,2,2,3,272.101,6.33,6747.691,0.853,0.027,873.308,27.291,157.989,6.615,0.309,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.853,1,1,1,2,2,3,272.101,6.336,6753.829,0.853,0.027,873.308,27.291,157.834,6.615,0.309,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.096,1,1,1,3,3,3,272.101,7.392,7834.117,1.096,0.034,1122.017,35.063,135.279,6.615,0.397,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.096,1,1,1,3,3,3,272.101,7.394,7836.163,1.096,0.034,1122.017,35.063,135.236,6.615,0.397,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,h200_sxm,0.0
