model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.229,1,1,1,1,1,3,1277.698,11.848,13398.202,0.229,0.007,234.578,7.331,84.399,1.409,0.083,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.226,1,1,1,1,1,3,1277.698,11.852,13402.294,0.226,0.007,231.752,7.242,84.375,1.409,0.082,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.226,1,1,1,1,1,3,1277.698,11.859,13409.455,0.226,0.007,231.752,7.242,84.327,1.409,0.082,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.226,1,1,1,1,1,3,1277.698,11.872,13422.754,0.226,0.007,231.752,7.242,84.23,1.409,0.082,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.328,1,1,1,2,2,3,1277.698,16.449,18105.025,0.328,0.01,336.323,10.51,60.795,1.409,0.119,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.328,1,1,1,2,2,3,1277.698,16.456,18112.186,0.328,0.01,336.323,10.51,60.77,1.409,0.119,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.328,1,1,1,2,2,3,1277.698,16.469,18125.485,0.328,0.01,336.323,10.51,60.72,1.409,0.119,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.328,1,1,1,2,2,3,1277.698,16.496,18153.106,0.328,0.01,336.323,10.51,60.62,1.409,0.119,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.384,1,1,1,3,3,3,1277.698,21.075,22837.423,0.384,0.012,392.847,12.276,47.45,1.409,0.139,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.384,1,1,1,3,3,3,1277.698,21.085,22847.653,0.384,0.012,392.847,12.276,47.427,1.409,0.139,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.384,1,1,1,3,3,3,1277.698,21.105,22868.113,0.384,0.012,392.847,12.276,47.381,1.409,0.139,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.384,1,1,1,3,3,3,1277.698,21.146,22910.056,0.384,0.012,392.847,12.276,47.29,1.409,0.139,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.42,1,1,1,4,4,3,1277.698,25.724,27593.35,0.42,0.013,429.588,13.425,38.874,1.409,0.152,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.42,1,1,1,4,4,3,1277.698,25.737,27606.649,0.42,0.013,429.588,13.425,38.854,1.409,0.152,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.42,1,1,1,4,4,3,1277.698,25.765,27635.293,0.42,0.013,429.588,13.425,38.813,1.409,0.152,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.417,1,1,1,4,4,3,1277.698,25.819,27690.535,0.417,0.013,426.762,13.336,38.731,1.409,0.151,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.732,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,18,0.464,1,1,1,6,6,3,1277.698,34.953,37034.617,0.464,0.014,474.808,14.838,28.61,1.409,0.168,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.402,sglang,0.5.10,rtx_pro_6000_server,0.0
