model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.334,1,1,1,1,1,3,1081.055,8.067,9333.596,0.334,0.01,341.975,10.687,123.966,1.665,0.121,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.334,1,1,1,1,1,3,1081.055,8.069,9335.642,0.334,0.01,341.975,10.687,123.934,1.665,0.121,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.334,1,1,1,1,1,3,1081.055,8.073,9339.734,0.334,0.01,341.975,10.687,123.87,1.665,0.121,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.334,1,1,1,1,1,3,1081.055,8.081,9347.918,0.334,0.01,341.975,10.687,123.743,1.665,0.121,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.491,1,1,1,2,2,3,1081.055,10.964,12297.227,0.491,0.015,503.071,15.721,91.21,1.665,0.178,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.491,1,1,1,2,2,3,1081.055,10.968,12301.319,0.491,0.015,503.071,15.721,91.175,1.665,0.178,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.491,1,1,1,2,2,3,1081.055,10.976,12309.503,0.491,0.015,503.071,15.721,91.106,1.665,0.178,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.491,1,1,1,2,2,3,1081.055,10.993,12326.894,0.491,0.015,503.071,15.721,90.968,1.665,0.178,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.582,1,1,1,3,3,3,1081.055,13.879,15279.272,0.582,0.018,596.337,18.636,72.051,1.665,0.211,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.582,1,1,1,3,3,3,1081.055,13.885,15285.41,0.582,0.018,596.337,18.636,72.018,1.665,0.211,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
