model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,27,3.039,1,1,1,9,9,3,209.201,7.994,8387.063,3.039,0.095,3111.69,97.24,125.1,8.604,1.101,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.868,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,66,6.632,1,1,1,22,22,3,209.201,8.95,9365.051,6.632,0.207,6791.455,212.233,111.733,8.604,2.403,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.408,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,64,5.917,1,1,1,32,32,2,209.201,9.728,10160.945,5.917,0.247,6059.459,252.477,102.799,8.604,3.216,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.361,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,7.744,1,1,1,48,48,2,209.201,10.972,11433.557,7.744,0.323,7929.446,330.394,91.14,8.604,4.276,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,30.486,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,120,7.744,1,1,1,60,60,2,209.201,11.905,12388.016,7.744,0.323,7929.446,330.394,83.995,8.604,4.926,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.829,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,2.119,1,1,1,4,4,7,328.133,11.902,12503.879,2.119,0.066,2169.61,67.8,84.018,5.486,0.329,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.1,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,7.744,1,1,1,72,72,2,209.201,12.839,13343.498,7.744,0.323,7929.446,330.394,77.889,8.604,5.482,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,55,3.846,1,1,1,11,11,5,328.133,12.865,13489.028,3.846,0.16,3937.894,164.079,77.731,5.486,0.836,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.834,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,5.485,1,1,1,84,84,1,209.201,13.772,14297.957,5.485,0.343,5616.681,351.043,72.611,8.604,5.962,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.517,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,54,3.5,1,1,1,18,18,3,328.133,13.877,14524.304,3.5,0.219,3583.672,223.98,72.062,5.486,1.268,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,44.569,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,5.871,1,1,1,96,96,1,209.201,14.705,15252.416,5.871,0.367,6011.412,375.713,68.002,8.604,6.381,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.861,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,4.391,1,1,1,24,24,3,328.133,14.745,15412.268,4.391,0.274,4496.548,281.034,67.822,5.486,1.591,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.912,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,112,6.315,1,1,1,112,112,1,209.201,15.95,16526.051,6.315,0.395,6466.437,404.152,62.697,8.604,6.864,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,42.986,sglang,0.5.10,b300_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,4.937,1,1,1,32,32,3,328.133,15.901,16594.856,4.937,0.309,5055.898,315.994,62.888,5.486,1.967,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,50.037,sglang,0.5.10,b300_sxm,0.0
