model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,27,2.702,1,1,1,9,9,3,328.019,8.986,9520.697,2.702,0.084,2766.889,86.465,111.286,5.487,0.979,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.868,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,54,4.888,1,1,1,18,18,3,328.019,9.936,10492.547,4.888,0.153,5005.271,156.415,100.648,5.487,1.771,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.626,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,4.331,1,1,1,26,26,2,328.019,10.796,11372.327,4.331,0.18,4435.313,184.805,92.628,5.487,2.354,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.189,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,4.938,1,1,1,36,36,2,328.019,11.871,12472.052,4.938,0.206,5056.819,210.701,84.237,5.487,2.964,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.142,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,4.938,1,1,1,44,44,2,328.019,12.732,13352.855,4.938,0.206,5056.819,210.701,78.544,5.487,3.378,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.704,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,3.441,1,1,1,52,52,1,328.019,13.592,14232.635,3.441,0.215,3523.379,220.211,73.573,5.487,3.74,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.267,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,64,3.868,1,1,1,64,64,1,328.019,14.882,15552.305,3.868,0.242,3960.504,247.532,67.193,5.487,4.204,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.611,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,35,2.125,1,1,1,5,5,7,486.128,14.821,15648.011,2.125,0.066,2176.205,68.006,67.473,3.703,0.33,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.491,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,4.113,1,1,1,72,72,1,328.019,15.743,16433.108,4.113,0.257,4212.04,263.252,63.521,5.487,4.471,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,h100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,55,3.1,1,1,1,11,11,5,486.128,15.961,16814.231,3.1,0.129,3174.81,132.284,62.654,3.703,0.674,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.834,sglang,0.5.10,h100_sxm,0.0
