model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,27,0.988,1,1,1,9,9,3,1569.02,24.575,26709.245,0.988,0.031,1011.794,31.619,40.693,1.147,0.358,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.868,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,1.032,1,1,1,20,20,2,1569.02,29.272,31514.276,1.032,0.043,1057.075,44.045,34.162,1.147,0.668,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.017,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,32,0.838,1,1,1,32,32,1,1569.02,34.33,36688.61,0.838,0.052,858.235,53.64,29.129,1.147,0.911,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.361,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,1.003,1,1,1,44,44,1,1569.02,39.458,41934.554,1.003,0.063,1026.867,64.179,25.343,1.147,1.09,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.704,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,14,0.316,1,1,1,2,2,7,1961.471,39.611,42483.524,0.316,0.01,323.133,10.098,25.246,0.918,0.049,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.319,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,1.032,1,1,1,56,56,1,1569.02,44.586,47180.498,1.032,0.065,1057.075,66.067,22.429,1.147,1.228,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.048,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,45,0.826,1,1,1,9,9,5,1961.471,44.465,47449.166,0.826,0.034,846.029,35.251,22.49,0.918,0.198,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.053,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,68,1.032,1,1,1,68,68,1,1569.02,49.713,52425.419,1.032,0.065,1057.075,66.067,20.115,1.147,1.337,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,34.392,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,0.826,1,1,1,16,16,3,1961.471,49.293,52388.21,0.826,0.052,846.029,52.877,20.287,0.918,0.317,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.787,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,1.571,1,1,2,24,24,4,1961.471,54.885,58108.826,1.571,0.065,1609.073,67.045,18.22,0.918,0.427,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.912,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,80,1.032,1,1,1,80,80,1,1569.02,54.841,57671.363,1.032,0.065,1057.075,66.067,18.235,1.147,1.426,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.736,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,150,2.282,1,1,3,30,30,5,1961.471,59.079,62399.288,2.282,0.071,2336.358,73.011,16.927,0.918,0.496,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.256,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,92,1.032,1,1,1,92,92,1,1569.02,59.969,62917.307,1.032,0.065,1057.075,66.067,16.675,1.147,1.5,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.079,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,180,2.479,1,1,3,36,36,5,1961.471,63.273,66689.75,2.479,0.077,2538.086,79.315,15.805,0.918,0.556,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,51.6,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,100,1.032,1,1,1,100,100,1,1569.02,63.387,66413.921,1.032,0.065,1057.075,66.067,15.776,1.147,1.542,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.642,sglang,0.5.10,rtx_pro_6000_server,0.0
