model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,224,3.584,1,8,1,7,224,1,3616.182,54.732,59607.018,3.584,0.056,3669.811,57.341,18.271,3.982,4.001,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.488,sglang,0.5.10,a100_sxm,0.0,57.341
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,192,3.191,1,8,1,12,192,1,3616.182,54.123,58984.011,3.191,0.05,3267.133,51.049,18.476,3.982,3.468,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.728,sglang,0.5.10,a100_sxm,0.0,51.049
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,160,2.88,1,8,1,5,160,1,3616.182,49.963,54728.331,2.88,0.045,2948.71,46.074,20.015,3.982,3.13,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,75.818,sglang,0.5.10,a100_sxm,0.0,46.074
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,144,2.627,1,8,1,9,144,1,3616.182,49.31,54060.312,2.627,0.041,2689.638,42.026,20.28,3.982,2.855,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,67.723,sglang,0.5.10,a100_sxm,0.0,42.026
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,96,1.94,1,8,1,6,96,1,3616.182,44.497,49136.613,1.94,0.03,1986.847,31.044,22.473,3.982,2.109,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,66.718,sglang,0.5.10,a100_sxm,0.0,31.044
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,64,1.344,1,8,1,2,64,1,3616.182,42.809,47409.789,1.344,0.021,1376.379,21.506,23.36,3.982,1.461,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,74.813,sglang,0.5.10,a100_sxm,0.0,21.506
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,48,1.087,1,8,1,3,48,1,3616.182,39.684,44212.914,1.087,0.017,1113.539,17.399,25.199,3.982,1.182,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,65.712,sglang,0.5.10,a100_sxm,0.0,17.399
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,24,0.546,1,8,1,6,24,1,3616.182,39.579,44105.499,0.546,0.009,558.653,8.729,25.266,3.982,0.593,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,59.439,sglang,0.5.10,a100_sxm,0.0,8.729
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.355,1,8,1,3,12,1,3616.182,30.392,34707.198,0.355,0.006,363.643,5.682,32.903,3.982,0.386,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,58.434,sglang,0.5.10,a100_sxm,0.0,5.682
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.309,1,8,1,1,8,1,3616.182,23.266,27417.3,0.309,0.005,316.539,4.946,42.981,3.982,0.336,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,60.206,sglang,0.5.10,a100_sxm,0.0,4.946
