model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,3,0.27,1,1,1,1,1,3,503.977,9.999,10732.954,0.27,0.008,276.972,8.655,100.007,3.572,0.098,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.468,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,15,1.25,1,1,1,5,5,3,503.977,10.784,11536.009,1.25,0.039,1280.287,40.009,92.733,3.572,0.453,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.093,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,30,2.269,1,1,1,10,10,3,503.977,11.887,12664.378,2.269,0.071,2323.169,72.599,84.124,3.572,0.822,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.874,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,45,3.127,1,1,1,15,15,3,503.977,12.943,13744.666,3.127,0.098,3202.13,100.067,77.264,3.572,1.133,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.656,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,54,3.215,1,1,1,18,18,3,503.977,13.607,14423.938,3.215,0.1,3291.955,102.874,73.494,3.572,1.293,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.124,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,2.891,1,1,1,24,24,2,503.977,14.935,15782.482,2.891,0.12,2960.015,123.334,66.959,3.572,1.571,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.062,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,3.183,1,1,1,28,28,2,503.977,15.82,16687.837,3.183,0.133,3259.597,135.817,63.212,3.572,1.73,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.687,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,64,3.215,1,1,1,32,32,2,503.977,16.705,17593.192,3.215,0.134,3291.955,137.165,59.862,3.572,1.873,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.312,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,3.215,1,1,1,36,36,2,503.977,17.591,18499.57,3.215,0.134,3291.955,137.165,56.849,3.572,2.001,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,14,0.715,1,1,1,2,2,7,865.463,17.597,18867.194,0.715,0.022,731.996,22.875,56.827,2.08,0.111,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.565,sglang,0.5.10,a100_sxm,0.0
