model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,18,2.321,1,1,1,6,6,3,370.127,6.973,7503.506,2.321,0.073,2376.868,74.277,143.419,4.863,0.841,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.249,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,39,4.377,1,1,1,13,13,3,370.127,7.905,8456.942,4.377,0.137,4481.741,140.054,126.509,4.863,1.608,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.343,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,40,4.085,1,1,1,20,20,2,370.127,8.807,9379.688,4.085,0.17,4182.835,174.285,113.551,4.863,2.22,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.437,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,4.377,1,1,1,28,28,2,370.127,9.871,10468.16,4.377,0.182,4481.741,186.739,101.303,4.863,2.773,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.687,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,36,2.961,1,1,1,36,36,1,370.127,10.936,11557.655,2.961,0.185,3031.613,189.476,91.439,4.863,3.218,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,7,0.58,1,1,1,1,1,7,605.804,10.843,11698.193,0.58,0.018,593.51,18.547,92.226,2.971,0.09,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.252,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,40,3.136,1,1,1,40,40,1,370.127,11.469,12102.914,3.136,0.196,3211.551,200.722,87.194,4.863,3.409,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,18.562,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,35,2.66,1,1,1,5,5,7,605.804,11.827,12704.825,2.66,0.083,2723.553,85.111,84.551,2.971,0.413,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.502,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,3.444,1,1,1,48,48,1,370.127,12.533,13191.386,3.444,0.215,3527.148,220.447,79.786,4.863,3.744,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,19.812,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,27,1.896,1,1,1,9,9,3,605.804,12.801,13701.227,1.896,0.119,1941.627,121.352,78.121,2.971,0.687,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.752,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,3.704,1,1,1,56,56,1,370.127,13.598,14280.881,3.704,0.231,3792.814,237.051,73.539,4.863,4.026,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.062,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,39,2.542,1,1,1,13,13,3,605.804,13.798,14721.158,2.542,0.159,2602.967,162.685,72.473,2.971,0.921,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.002,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,64,3.926,1,1,1,64,64,1,370.127,14.663,15370.376,3.926,0.245,4019.855,251.241,68.198,4.863,4.267,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,2.674,1,1,1,16,16,3,605.804,14.546,15486.362,2.674,0.167,2738.074,171.13,68.746,2.971,1.075,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.94,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,4.117,1,1,1,72,72,1,370.127,15.728,16459.871,4.117,0.257,4215.808,263.488,63.581,4.863,4.475,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.562,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,80,4.629,1,1,2,20,20,4,605.804,15.544,16507.316,4.629,0.193,4740.547,197.523,64.334,2.971,1.258,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.19,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,80,4.284,1,1,1,80,80,1,370.127,16.793,17549.366,4.284,0.268,4387.267,274.204,59.549,4.863,4.657,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.812,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,5.218,1,1,2,24,24,4,605.804,16.541,17527.247,5.218,0.217,5343.478,222.645,60.454,2.971,1.418,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.44,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,88,4.377,1,1,1,88,88,1,370.127,17.858,18638.861,4.377,0.274,4481.741,280.109,55.999,4.863,4.817,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.062,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,140,7.181,1,1,3,28,28,5,605.804,17.539,18548.201,7.181,0.224,7352.934,229.779,57.016,2.971,1.561,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.69,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,4.377,1,1,1,96,96,1,370.127,18.922,19727.333,4.377,0.274,4481.741,280.109,52.847,4.863,4.959,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.312,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,160,7.765,1,1,3,32,32,5,605.804,18.537,19569.155,7.765,0.243,7951.155,248.474,53.947,2.971,1.688,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.94,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,104,4.377,1,1,1,104,104,1,370.127,19.987,20816.828,4.377,0.274,4481.741,280.109,50.032,4.863,5.086,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.562,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,180,8.022,1,1,3,36,36,5,605.804,19.534,20589.086,8.022,0.251,8214.221,256.694,51.192,2.971,1.801,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.19,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,15,0.676,1,1,1,1,1,15,1077.158,19.893,21427.697,0.676,0.021,692.429,21.638,50.269,1.671,0.049,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.772,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,136,4.377,1,1,1,136,136,1,370.127,24.247,25174.808,4.377,0.274,4481.741,280.109,41.243,4.863,5.483,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.562,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,2.053,1,1,1,56,56,1,605.804,24.522,25691.81,2.053,0.257,2102.723,262.84,40.78,2.971,2.232,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.44,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,33,1.203,1,1,1,11,11,3,1077.158,24.681,26325.821,1.203,0.15,1232.241,154.03,40.517,1.671,0.436,8,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,42.022,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,76,2.317,1,1,1,76,76,1,605.804,29.51,30794.534,2.317,0.29,2372.157,296.52,33.887,2.971,2.518,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.69,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,176,4.377,1,1,1,176,176,1,370.127,29.571,30621.26,4.377,0.274,4481.741,280.109,33.817,4.863,5.818,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.812,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,242,7.256,1,1,5,22,22,11,1077.158,29.983,31749.767,7.256,0.227,7430.185,232.193,33.353,1.671,0.717,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,48.897,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,2.502,1,1,1,96,96,1,605.804,34.497,35896.235,2.502,0.313,2562.458,320.307,28.988,2.971,2.72,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.94,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,216,4.377,1,1,1,216,216,1,370.127,34.895,36067.712,4.377,0.274,4481.741,280.109,28.658,4.863,6.051,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.062,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,160,4.135,1,1,3,32,32,5,1077.158,34.802,36679.604,4.135,0.258,4234.65,264.666,28.734,1.671,0.899,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,55.147,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,116,2.642,1,1,1,116,116,1,605.804,39.485,40998.959,2.642,0.33,2705.654,338.207,25.326,2.971,2.872,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,56.19,sglang,0.5.10,a100_sxm,0.0
