model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,12,0.988,1,1,1,4,4,3,456.709,10.915,11622.754,0.988,0.031,1011.794,31.619,91.615,3.941,0.358,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.937,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,27,2.029,1,1,1,9,9,3,456.709,11.971,12703.042,2.029,0.063,2077.286,64.915,83.537,3.941,0.735,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.718,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,39,2.724,1,1,1,13,13,3,456.709,12.879,13631.926,2.724,0.085,2789.499,87.172,77.647,3.941,0.987,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.343,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,3.18,1,1,1,16,16,3,456.709,13.574,14342.911,3.18,0.099,3255.828,101.745,73.671,3.941,1.152,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.812,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,66,3.547,1,1,1,22,22,3,456.709,14.975,15776.134,3.547,0.111,3632.026,113.501,66.777,3.941,1.436,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.749,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,52,2.951,1,1,1,26,26,2,456.709,15.848,16669.213,2.951,0.123,3022.193,125.925,63.099,3.941,1.604,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.374,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,64,3.408,1,1,1,32,32,2,456.709,16.889,17734.156,3.408,0.142,3489.464,145.394,59.212,3.941,1.852,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.312,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,21,1.146,1,1,1,3,3,7,693.551,16.472,17544.407,1.146,0.036,1173.832,36.682,60.709,2.595,0.178,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.877,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,3.547,1,1,1,36,36,2,456.709,17.937,18806.26,3.547,0.148,3632.026,151.334,55.751,3.941,1.962,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,35,1.81,1,1,1,5,5,7,693.551,17.369,18462.038,1.81,0.057,1853.071,57.908,57.575,2.595,0.281,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.502,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,40,1.927,1,1,1,8,8,5,693.551,18.645,19767.386,1.927,0.08,1973.658,82.236,53.633,2.595,0.419,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.44,sglang,0.5.10,a100_sxm,0.0
