model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,33,5.956,1,1,1,11,11,3,114.404,4.982,5210.99,5.956,0.186,6099.026,190.595,200.74,15.734,2.158,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.031,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,90,13.546,1,1,1,30,30,3,114.404,5.975,6226.829,13.546,0.423,13871.186,433.475,167.351,15.734,4.908,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.999,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,12.435,1,1,1,48,48,2,114.404,6.943,7217.093,12.435,0.518,12733.153,530.548,144.031,15.734,6.758,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,19.812,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,49,6.376,1,1,1,7,7,7,178.245,6.91,7247.175,6.376,0.199,6528.614,204.019,144.711,10.098,0.99,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.127,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,14.161,1,1,1,64,64,2,114.404,7.803,8096.873,14.161,0.59,14500.454,604.186,128.156,15.734,8.018,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,54,6.072,1,1,1,18,18,3,178.245,7.999,8361.222,6.072,0.38,6217.728,388.608,125.014,10.098,2.2,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.565,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,168,14.161,1,1,1,84,84,2,114.404,8.878,9196.598,14.161,0.59,14500.454,604.186,112.639,15.734,9.249,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.437,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,78,7.957,1,1,1,26,26,3,178.245,8.816,9197.013,7.957,0.497,8148.05,509.253,113.436,10.098,2.883,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.065,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,208,14.161,1,1,1,104,104,2,114.404,9.953,10296.323,14.161,0.59,14500.454,604.186,100.473,15.734,10.214,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.562,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,108,9.088,1,1,1,36,36,3,178.245,9.836,10240.473,9.088,0.568,9306.317,581.645,101.666,10.098,3.578,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.19,sglang,0.5.10,b200_sxm,0.0
