model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,18,2.713,1,1,1,6,6,3,184.05,5.964,6285.222,2.713,0.085,2778.194,86.819,167.684,9.78,0.983,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.249,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,6.282,1,1,1,16,16,3,184.05,6.872,7214.106,6.282,0.196,6432.522,201.016,145.511,9.78,2.276,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.812,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,84,8.802,1,1,1,28,28,3,184.05,7.919,8285.187,8.802,0.275,9013.248,281.664,126.275,9.78,3.456,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.687,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,7.492,1,1,1,36,36,2,184.05,8.641,9023.793,7.492,0.312,7672.3,319.679,115.724,9.78,4.072,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,7,0.702,1,1,1,1,1,7,275.679,8.958,9439.713,0.702,0.022,718.807,22.463,111.637,6.529,0.109,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.252,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,8.802,1,1,1,48,48,2,184.05,9.724,10131.702,8.802,0.367,9013.248,375.552,102.836,9.78,4.825,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,19.812,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,49,4.424,1,1,1,7,7,7,275.679,9.958,10462.713,4.424,0.138,4530.463,141.577,100.425,6.529,0.687,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.127,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,120,8.802,1,1,1,60,60,2,184.05,10.807,11239.611,8.802,0.367,9013.248,375.552,92.531,9.78,5.427,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.687,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,65,5.341,1,1,1,13,13,5,275.679,10.942,11469.345,5.341,0.223,5468.774,227.866,91.394,6.529,1.161,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.002,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,144,8.802,1,1,1,72,72,2,184.05,11.89,12347.52,8.802,0.367,9013.248,375.552,84.103,9.78,5.919,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.562,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,54,4.121,1,1,1,18,18,3,275.679,11.788,12334.803,4.121,0.258,4219.576,263.724,84.829,6.529,1.493,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.565,sglang,0.5.10,h100_sxm,0.0
