model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,24,3.149,1,1,1,8,8,3,175.048,6.854,7186.69,3.149,0.098,3224.74,100.773,145.899,10.283,1.141,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.562,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,54,6.18,1,1,1,18,18,3,175.048,7.859,8214.805,6.18,0.193,6327.951,197.748,127.246,10.283,2.239,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.124,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,7.289,1,1,1,24,24,3,175.048,8.885,9264.403,7.289,0.228,7464.1,233.253,112.552,10.283,2.641,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.062,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,108,9.255,1,1,1,36,36,3,175.048,9.943,10346.737,9.255,0.289,9476.813,296.15,100.569,10.283,3.539,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,49,4.476,1,1,1,7,7,7,265.361,9.85,10341.911,4.476,0.14,4583.219,143.226,101.521,6.783,0.695,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.127,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,104,8.534,1,1,1,52,52,2,175.048,10.96,11387.128,8.534,0.356,8738.734,364.114,91.239,10.283,4.638,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.437,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,75,6.105,1,1,1,15,15,5,265.361,10.976,11493.809,6.105,0.254,6251.213,260.467,91.109,6.783,1.336,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.627,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,9.255,1,1,1,64,64,2,175.048,11.649,12091.975,9.255,0.386,9476.813,394.867,85.847,10.283,5.371,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,66,4.951,1,1,1,22,22,3,265.361,11.987,12528.062,4.951,0.309,5070.275,316.892,83.422,6.783,1.794,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.815,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,168,9.255,1,1,1,84,84,2,175.048,12.904,13375.84,9.255,0.386,9476.813,394.867,77.498,10.283,6.363,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.437,sglang,0.5.10,h100_sxm,0.0
