model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,12,1.802,1,1,1,4,4,3,205.007,5.985,6327.662,1.802,0.056,1845.535,57.673,167.092,8.78,0.653,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.937,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,42,5.47,1,1,1,14,14,3,205.007,6.904,7267.799,5.47,0.171,5601.608,175.05,144.842,8.78,1.982,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.499,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,78,7.902,1,1,1,26,26,3,205.007,7.979,8367.524,7.902,0.247,8091.648,252.864,125.324,8.78,3.185,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.374,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,7.268,1,1,1,36,36,2,205.007,8.909,9318.914,7.268,0.303,7442.432,310.101,112.247,8.78,3.95,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,14,1.404,1,1,1,2,2,7,322.303,8.962,9490.429,1.404,0.044,1437.614,44.925,111.577,5.585,0.218,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.565,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,88,7.902,1,1,1,44,44,2,205.007,9.653,10080.026,7.902,0.329,8091.648,337.152,103.599,8.78,4.456,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,19.187,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,49,4.482,1,1,1,7,7,7,322.303,9.83,10378.393,4.482,0.14,4589.814,143.432,101.731,5.585,0.696,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.127,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,112,7.902,1,1,1,56,56,2,205.007,10.768,11220.671,7.902,0.329,8091.648,337.152,92.866,8.78,5.084,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.062,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,65,5.026,1,1,1,13,13,5,322.303,10.843,11414.692,5.026,0.209,5147.136,214.464,92.228,5.585,1.172,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.002,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,136,7.902,1,1,1,68,68,2,205.007,11.884,12362.339,7.902,0.329,8091.648,337.152,84.149,8.78,5.593,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.937,sglang,0.5.10,h200_sxm,0.0
