model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,18,4.085,1,1,1,6,6,3,157.838,3.962,4210.964,4.085,0.128,4182.835,130.714,252.389,11.404,1.48,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.249,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,8.703,1,1,1,24,24,2,157.838,4.959,5230.895,8.703,0.363,8912.077,371.337,201.634,11.404,4.73,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.062,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,80,10.264,1,1,1,40,40,2,157.838,5.861,6153.641,10.264,0.428,10509.926,437.914,170.613,11.404,6.671,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,18.562,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,28,4.257,1,1,1,4,4,7,232.256,5.913,6281.255,4.257,0.133,4359.004,136.219,169.111,7.75,0.661,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.19,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,60,7.722,1,1,1,60,60,1,157.838,6.988,7306.562,7.722,0.483,7906.877,494.18,143.095,11.404,8.393,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.687,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,42,5.459,1,1,1,14,14,3,232.256,6.919,7310.393,5.459,0.341,5590.303,349.394,144.536,7.75,1.978,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.315,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,76,8.663,1,1,1,76,76,1,157.838,7.89,8229.308,8.663,0.541,8870.625,554.414,126.741,11.404,9.416,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.187,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,10.867,1,1,2,24,24,4,232.256,7.946,8361.014,10.867,0.453,11127.849,463.66,125.855,7.75,2.953,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.44,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,92,9.411,1,1,1,92,92,1,157.838,8.792,9152.054,9.411,0.588,9636.536,602.284,113.742,11.404,10.229,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.687,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,13.13,1,1,2,32,32,4,232.256,8.767,9200.897,13.13,0.547,13445.366,560.224,114.061,7.75,3.568,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.94,sglang,0.5.10,h200_sxm,0.0
