case_id,model_key,model_path,system,mode,analytical_level,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,series,error_type,error
deepseek_v3__a100_sxm__analytical__high,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,64,success,57.0,57.341,3.584,3.499662399291992,ANALYTICAL-high,,
deepseek_v3__a100_sxm__analytical__low,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,64,success,46.0,92.477,5.78,3.6887128353118896,ANALYTICAL-low,,
deepseek_v3__a100_sxm__analytical__standard,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,64,success,49.0,74.045,4.628,3.8999812602996826,ANALYTICAL-standard,,
deepseek_v3__a100_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,64,skipped,,,,0.017234325408935547,SILICON,RuntimeError,"No results found for any parallel configuration. Showing last exception: Error loading silicon data for op PerfDataFilename.wideep_context_mla: File does not exist at /home/ai_lab/ljc/scale-up-sim/aiconfigurator/src/aiconfigurator/systems/data/a100_sxm/sglang/0.5.10/wideep_context_mla_perf.txt. This combination of model, system, backend, and backend version is not supported by AIC in SILICON mode. Failed to query wideep context mla data for b=1, s=4096, prefix=0, tp_size=8, kvcache_quant_mode=<KVCacheQuantMode.bfloat16: QuantMapping(memory=2, compute=0, name='bfloat16')>, fmha_quant_mode=<FMHAQuantMode.bfloat16: QuantMapping(memory=2, compute=1, name='bfloat16')>. Consider using HYBRID mode."
deepseek_v3__b200_sxm__analytical__high,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,105.0,995.504,23.332,8.69607424736023,ANALYTICAL-high,,
deepseek_v3__b200_sxm__analytical__low,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,107.0,1721.298,40.343,9.120641469955444,ANALYTICAL-low,,
deepseek_v3__b200_sxm__analytical__standard,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,108.0,1402.561,32.873,8.758431911468506,ANALYTICAL-standard,,
deepseek_v3__b200_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,118.0,973.517,22.817,3.6742265224456787,SILICON,,
deepseek_v3__b300_sxm__analytical__high,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,143.0,1171.516,27.457,10.285595178604126,ANALYTICAL-high,,
deepseek_v3__b300_sxm__analytical__low,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,130.0,1944.296,45.569,10.4982168674469,ANALYTICAL-low,,
deepseek_v3__b300_sxm__analytical__standard,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,136.0,1621.241,45.176,10.396503686904907,ANALYTICAL-standard,,
deepseek_v3__b300_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,162.0,1104.624,34.52,6.641273736953735,SILICON,,
deepseek_v3__h100_sxm__analytical__high,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,48.0,225.216,7.038,6.109019994735718,ANALYTICAL-high,,
deepseek_v3__h100_sxm__analytical__low,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,58.0,276.422,8.638,6.1533966064453125,ANALYTICAL-low,,
