case_id,model_key,model_path,system,mode,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,best_model,best_isl,best_osl,best_prefix,best_concurrency,best_request_rate,best_(p)bs,best_(p)global_bs,best_(p)workers,best_(d)bs,best_(d)global_bs,best_(d)workers,best_ttft,best_tpot,best_request_latency,best_seq/s,best_seq/s/gpu,best_tokens/s,best_tokens/s/gpu,best_tokens/s/user,best_(p)seq/s/worker,best_(d)seq/s/worker,best_num_total_gpus,best_(p)tp,best_(p)pp,best_(p)dp,best_(p)moe_tp,best_(p)moe_ep,best_(p)parallel,best_(p)gemm,best_(p)kvcache,best_(p)fmha,best_(p)moe,best_(p)comm,best_(p)memory,best_(p)backend,best_(p)version,best_(p)system,best_(d)tp,best_(d)pp,best_(d)dp,best_(d)moe_tp,best_(d)moe_ep,best_(d)parallel,best_(d)gemm,best_(d)kvcache,best_(d)fmha,best_(d)moe,best_(d)comm,best_(d)memory,best_(d)backend,best_(d)version,best_(d)system,best_power_w
deepseek_v3__a100_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,64,success,49,74.045,4.628,3.9271652698516846,deepseek-ai/DeepSeek-V3,4096,1024,0,224,4.628,1,8,1,7,224,1,2800.611,39.339,43044.408,4.628,0.072,4738.867,74.045,25.42,5.142,5.566,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,76.488,sglang,0.5.10,a100_sxm,0.0
deepseek_v3__a100_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,64,success,51,90.763,5.673,3.0130503177642822,deepseek-ai/DeepSeek-V3,4096,1024,0,384,5.673,1,16,1,12,384,1,4569.196,59.084,65012.128,5.673,0.089,5808.845,90.763,16.925,6.303,6.353,64,2,1,16,1,32,tp2pp1dp16etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,68.924,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,78.164,sglang,0.5.10,a100_sxm,0.0
deepseek_v3__b200_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,108,1402.561,32.873,10.064887762069702,deepseek-ai/DeepSeek-V3,4096,1024,0,1856,32.873,1,8,2,232,1856,1,637.927,50.776,52581.775,32.873,1.37,33661.46,1402.561,19.694,22.573,35.731,24,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,179.221,sglang,0.5.10,b200_sxm,0.0
deepseek_v3__b200_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,92,1825.69,28.526,8.867525577545166,deepseek-ai/DeepSeek-V3,4096,1024,0,960,28.526,1,8,1,120,960,1,454.309,29.756,30894.697,28.526,1.783,29211.034,1825.69,33.607,31.696,31.537,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,141.486,sglang,0.5.10,b200_sxm,0.0
deepseek_v3__b200_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,118,973.517,22.817,9.459709882736206,deepseek-ai/DeepSeek-V3,4096,1024,0,1792,22.817,1,8,2,224,1792,1,1136.027,68.794,71512.289,22.817,0.951,23364.403,973.517,14.536,12.676,25.463,24,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,137.045,sglang,0.5.10,b200_sxm,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,176.746,sglang,0.5.10,b200_sxm,0.0
deepseek_v3__b300_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,136,1621.241,45.176,11.31994891166687,deepseek-ai/DeepSeek-V3,4096,1024,0,3968,37.998,1,4,4,496,3968,1,581.143,93.912,96653.119,37.998,1.583,38909.788,1621.241,10.648,12.389,41.302,24,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,188.932,sglang,0.5.10,b300_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,268.17,sglang,0.5.10,b300_sxm,0.0
deepseek_v3__b300_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,106,2206.656,51.719,9.624128341674805,deepseek-ai/DeepSeek-V3,4096,1024,0,1600,34.479,1,4,2,200,1600,1,375.881,39.583,40869.29,34.479,2.155,35306.496,2206.656,25.263,19.155,39.512,16,1,1,4,1,4,tp1pp1dp4etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,188.932,sglang,0.5.10,b300_sxm,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,168.636,sglang,0.5.10,b300_sxm,0.0
deepseek_v3__b300_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,162,1104.624,34.52,7.12629508972168,deepseek-ai/DeepSeek-V3,4096,1024,0,2592,34.52,1,4,5,216,864,3,938.585,64.674,67100.087,34.52,1.079,35347.968,1104.624,15.462,7.671,13.059,32,1,1,4,4,1,tp1pp1dp4etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,201.007,sglang,0.5.10,b300_sxm,1,1,4,4,1,tp1pp1dp4etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,254.53,sglang,0.5.10,b300_sxm,0.0
deepseek_v3__h100_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,45,255.571,7.987,6.10758113861084,deepseek-ai/DeepSeek-V3,4096,1024,0,416,7.987,1,16,1,26,416,1,3245.551,34.992,39042.367,7.987,0.25,8178.278,255.571,28.578,8.874,11.621,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,68.863,sglang,0.5.10,h100_sxm,0.0
deepseek_v3__h100_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,51,259.459,8.108,5.306109428405762,deepseek-ai/DeepSeek-V3,4096,1024,0,416,8.108,1,16,1,26,416,1,3196.811,43.97,48178.121,8.108,0.253,8302.694,259.459,22.743,9.009,9.248,32,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,67.764,sglang,0.5.10,h100_sxm,1,1,16,1,16,tp1pp1dp16etp1ep16,fp8,bfloat16,bfloat16,fp8_block,half,68.863,sglang,0.5.10,h100_sxm,0.0
