model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.591,1,1,1,1,1,3,161.66,4.571,4837.793,0.591,0.018,604.815,18.9,218.794,11.134,0.214,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.591,1,1,1,1,1,3,161.66,4.571,4837.793,0.591,0.018,604.815,18.9,218.771,11.134,0.214,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.591,1,1,1,1,1,3,161.66,4.572,4838.816,0.591,0.018,604.815,18.9,218.727,11.134,0.214,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.591,1,1,1,1,1,3,161.66,4.574,4840.862,0.591,0.018,604.815,18.9,218.637,11.134,0.214,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.383,1,1,1,3,3,3,161.66,5.853,6149.279,1.383,0.043,1415.946,44.248,170.863,11.134,0.501,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.383,1,1,1,3,3,3,161.66,5.85,6146.21,1.383,0.043,1415.946,44.248,170.944,11.134,0.501,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.383,1,1,1,3,3,3,161.66,5.848,6144.164,1.383,0.043,1415.946,44.248,170.985,11.134,0.501,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.383,1,1,1,3,3,3,161.66,5.858,6154.394,1.383,0.043,1415.946,44.248,170.699,11.134,0.501,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,7,1.179,1,1,1,1,1,7,234.216,5.343,5700.105,1.179,0.037,1206.804,37.713,187.17,7.685,0.183,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,4,1,tp4pp1dp1etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,171.539,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,14,1.919,1,1,1,2,2,7,234.216,6.556,6941.004,1.919,0.06,1965.179,61.412,152.538,7.685,0.298,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,171.874,sglang,0.5.10,b200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,14,1.919,1,1,1,2,2,7,234.216,6.558,6943.05,1.919,0.06,1965.179,61.412,152.494,7.685,0.298,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b200_sxm,4,1,1,2,2,tp4pp1dp1etp2ep2,fp8,bfloat16,bfloat16,fp8_block,half,171.874,sglang,0.5.10,b200_sxm,0.0
