model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.684,1,1,1,1,1,3,121.885,1.602,1760.731,1.684,0.053,1724.006,53.875,624.344,14.768,0.61,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.684,1,1,1,1,1,3,121.885,1.602,1760.731,1.684,0.053,1724.006,53.875,624.213,14.768,0.61,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.684,1,1,1,1,1,3,121.885,1.603,1761.754,1.684,0.053,1724.006,53.875,623.952,14.768,0.61,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.681,1,1,1,1,1,3,121.885,1.604,1762.777,1.681,0.053,1721.18,53.787,623.431,14.768,0.609,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,7,2.254,1,1,1,1,1,7,188.442,2.796,3048.75,2.254,0.07,2308.096,72.128,357.601,9.552,0.35,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b300_sxm,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,171.539,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,7,2.248,1,1,1,1,1,7,188.442,2.797,3049.773,2.248,0.07,2301.501,71.922,357.515,9.552,0.349,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b300_sxm,4,1,1,2,2,tp4pp1dp1etp2ep2,fp8,bfloat16,bfloat16,fp8_block,half,171.539,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,7,2.248,1,1,1,1,1,7,188.442,2.798,3050.796,2.248,0.07,2301.501,71.922,357.344,9.552,0.349,32,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8,bfloat16,bfloat16,fp8_block,half,173.911,sglang,0.5.10,b300_sxm,4,1,1,4,1,tp4pp1dp1etp4ep1,fp8,bfloat16,bfloat16,fp8_block,half,171.539,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.993,1,1,1,2,2,3,121.885,2.709,2893.192,1.993,0.062,2040.545,63.767,369.136,14.768,0.722,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.99,1,1,1,2,2,3,121.885,2.71,2894.215,1.99,0.062,2037.719,63.679,369.045,14.768,0.721,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,b300_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,2.12,1,1,1,3,3,3,121.885,3.816,4025.653,2.12,0.066,2170.552,67.83,262.029,14.768,0.768,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,b300_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,b300_sxm,0.0
