model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,1,0.309,1,1,1,1,1,1,404.051,5.822,6359.957,0.309,0.01,316.539,9.892,171.751,8.91,0.336,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,2,4,tp8pp2dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,47.423,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,1,0.301,1,1,1,1,1,1,404.051,5.977,6518.522,0.301,0.009,308.06,9.627,167.31,8.91,0.327,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,4,2,tp8pp2dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,47.423,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,1,0.293,1,1,1,1,1,1,404.051,6.128,6672.995,0.293,0.009,300.524,9.391,163.189,8.91,0.319,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,1,8,tp8pp2dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,47.423,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,1,0.283,1,1,1,1,1,1,404.051,6.344,6893.963,0.283,0.009,290.161,9.068,157.629,8.91,0.308,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,47.423,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,2,0.494,1,1,1,2,2,1,404.051,7.285,7856.606,0.494,0.015,505.897,15.809,137.275,8.91,0.537,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,4,2,tp8pp2dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,47.759,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,2,0.485,1,1,1,2,2,1,404.051,7.418,7992.665,0.485,0.015,496.476,15.515,134.8,8.91,0.527,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,2,4,tp8pp2dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,47.759,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,2,0.474,1,1,1,2,2,1,404.051,7.595,8173.736,0.474,0.015,485.171,15.162,131.661,8.91,0.515,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,47.759,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,2,0.45,1,1,1,2,2,1,404.051,7.99,8577.821,0.45,0.014,460.677,14.396,125.158,8.91,0.489,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,1,8,tp8pp2dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,47.759,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.605,1,1,1,3,3,1,404.051,8.92,9529.211,0.605,0.019,619.889,19.372,112.107,8.91,0.658,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,48.094,sglang,0.5.10,h100_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.595,1,1,1,3,3,1,404.051,9.059,9671.408,0.595,0.019,609.526,19.048,110.391,8.91,0.647,32,8,2,1,8,1,tp8pp2dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,52.815,sglang,0.5.10,h100_sxm,8,2,1,4,2,tp8pp2dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,48.094,sglang,0.5.10,h100_sxm,0.0
