model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.098,1,1,1,1,1,3,220.964,2.453,2730.383,1.098,0.034,1124.844,35.151,407.592,8.146,0.398,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.098,1,1,1,1,1,3,220.964,2.454,2731.406,1.098,0.034,1124.844,35.151,407.502,8.146,0.398,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.098,1,1,1,1,1,3,220.964,2.455,2732.429,1.098,0.034,1124.844,35.151,407.323,8.146,0.398,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,1.098,1,1,1,1,1,3,220.964,2.457,2734.475,1.098,0.034,1124.844,35.151,406.965,8.146,0.398,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.272,1,1,1,2,2,3,220.964,4.243,4561.553,1.272,0.04,1302.897,40.716,235.667,8.146,0.461,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.272,1,1,1,2,2,3,220.964,4.244,4562.576,1.272,0.04,1302.897,40.716,235.607,8.146,0.461,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.27,1,1,1,2,2,3,220.964,4.247,4565.645,1.27,0.04,1300.07,40.627,235.487,8.146,0.46,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,1.27,1,1,1,2,2,3,220.964,4.251,4569.737,1.27,0.04,1300.07,40.627,235.247,8.146,0.46,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.341,1,1,1,3,3,3,220.964,6.033,6392.723,1.341,0.042,1373.553,42.924,165.752,8.146,0.486,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,h200_sxm,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,1.341,1,1,1,3,3,3,220.964,6.035,6394.769,1.341,0.042,1373.553,42.924,165.707,8.146,0.486,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,h200_sxm,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,h200_sxm,0.0
