model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.431,1,1,1,1,1,3,1003.153,6.268,7415.317,0.431,0.013,440.893,13.778,159.542,1.794,0.156,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.431,1,1,1,1,1,3,1003.153,6.269,7416.34,0.431,0.013,440.893,13.778,159.505,1.794,0.156,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.431,1,1,1,1,1,3,1003.153,6.272,7419.409,0.431,0.013,440.893,13.778,159.431,1.794,0.156,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,3,0.431,1,1,1,1,1,3,1003.153,6.278,7425.547,0.431,0.013,440.893,13.778,159.284,1.794,0.156,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,89.727,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.486,1,1,1,2,2,3,1003.153,11.126,12385.051,0.486,0.015,497.418,15.544,89.88,1.794,0.176,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.486,1,1,1,2,2,3,1003.153,11.129,12388.12,0.486,0.015,497.418,15.544,89.856,1.794,0.176,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.486,1,1,1,2,2,3,1003.153,11.135,12394.258,0.486,0.015,497.418,15.544,89.81,1.794,0.176,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,4,2,tp8pp1dp1etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,6,0.483,1,1,1,2,2,3,1003.153,11.146,12405.511,0.483,0.015,494.592,15.456,89.716,1.794,0.175,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,8,1,tp8pp1dp1etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,90.062,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.505,1,1,1,3,3,3,1003.153,15.984,17354.785,0.505,0.016,517.202,16.163,62.563,1.794,0.183,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
deepseek-ai/DeepSeek-V3,4096,1024,0,9,0.505,1,1,1,3,3,3,1003.153,15.988,17358.877,0.505,0.016,517.202,16.163,62.546,1.794,0.183,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,2,4,tp8pp1dp1etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,90.397,sglang,0.5.10,rtx_pro_6000_server,0.0
