model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,3,0.182,1,1,1,1,1,3,820.363,14.886,16048.741,0.182,0.006,186.532,5.829,67.176,2.194,0.066,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.306,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,15,0.856,1,1,1,5,5,3,820.363,15.771,16954.096,0.856,0.027,876.134,27.379,63.409,2.194,0.31,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.087,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,30,1.59,1,1,1,10,10,3,820.363,16.982,18192.949,1.59,0.05,1627.914,50.872,58.885,2.194,0.576,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.064,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,42,1.975,1,1,1,14,14,3,820.363,17.907,19139.224,1.975,0.062,2021.99,63.187,55.846,2.194,0.764,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.845,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,36,1.715,1,1,1,18,18,2,820.363,18.878,20132.557,1.715,0.071,1756.037,73.168,52.972,2.194,0.932,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.626,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,1.975,1,1,1,22,22,2,820.363,19.849,21125.89,1.975,0.082,2021.99,84.25,50.379,2.194,1.083,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.408,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,1.485,1,1,1,40,40,1,820.363,24.221,25598.446,1.485,0.093,1520.517,95.032,41.287,2.194,1.614,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.923,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,60,1.856,1,1,1,60,60,1,820.363,29.078,30567.157,1.856,0.116,1900.175,118.761,34.39,2.194,2.017,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.829,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,35,1.063,1,1,1,7,7,5,1376.381,29.619,31676.618,1.063,0.044,1088.102,45.338,33.763,1.308,0.231,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.272,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,1.975,1,1,1,84,84,1,820.363,34.907,36530.224,1.975,0.123,2021.99,126.374,28.648,2.194,2.352,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.517,sglang,0.5.10,a100_sxm,0.0
