model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,12,0.836,1,1,1,4,4,3,805.707,12.919,14021.844,0.836,0.026,856.351,26.761,77.406,2.234,0.303,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.892,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,30,1.946,1,1,1,10,10,3,805.707,13.87,14994.717,1.946,0.061,1992.499,62.266,72.099,2.234,0.705,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.064,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,32,1.941,1,1,1,16,16,2,805.707,14.821,15967.59,1.941,0.081,1987.789,82.825,67.473,2.234,1.055,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,2.011,1,1,1,22,22,2,805.707,15.772,16940.463,2.011,0.084,2058.854,85.786,63.405,2.234,1.364,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.408,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,1.506,1,1,1,28,28,1,805.707,16.723,17913.336,1.506,0.094,1542.185,96.387,59.799,2.234,1.637,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.579,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,36,1.8,1,1,1,36,36,1,805.707,17.99,19209.477,1.8,0.112,1842.708,115.169,55.585,2.234,1.956,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.142,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,1.931,1,1,1,40,40,1,805.707,18.624,19858.059,1.931,0.121,1977.426,123.589,53.693,2.234,2.099,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.923,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,2.011,1,1,1,48,48,1,805.707,19.892,21155.223,2.011,0.126,2058.854,128.678,50.271,2.234,2.359,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,30.486,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,80,2.011,1,1,1,80,80,1,805.707,24.964,26343.879,2.011,0.126,2058.854,128.678,40.058,2.234,3.133,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.736,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,1.011,1,1,1,4,4,7,1377.401,24.92,26870.561,1.011,0.032,1035.346,32.355,40.128,1.307,0.157,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.1,sglang,0.5.10,a100_sxm,0.0
