model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,3,0.146,1,1,1,1,1,3,887.875,18.6,19915.675,0.146,0.005,149.791,4.681,53.764,2.027,0.053,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.306,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,15,0.69,1,1,1,5,5,3,887.875,19.579,20917.192,0.69,0.022,706.56,22.08,51.076,2.027,0.25,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.087,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,1.824,1,1,1,16,16,3,887.875,23.286,24709.453,1.824,0.057,1868.083,58.378,42.944,2.027,0.672,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,1.824,1,1,1,36,36,2,887.875,28.846,30397.333,1.824,0.076,1868.083,77.837,34.667,2.027,1.22,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.142,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,1.371,1,1,1,52,52,1,887.875,34.107,35779.336,1.371,0.086,1403.699,87.731,29.319,2.027,1.49,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.267,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,1.049,1,1,1,8,8,5,1430.12,34.263,36481.169,1.049,0.044,1073.971,44.749,29.186,1.259,0.228,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.662,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,64,1.478,1,1,1,64,64,1,887.875,38.964,40748.047,1.478,0.092,1512.98,94.561,25.664,2.027,1.606,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.611,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,1.133,1,1,1,16,16,3,1430.12,37.769,40067.807,1.133,0.071,1160.294,72.518,26.477,1.259,0.414,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.787,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,1.936,1,1,2,24,24,4,1430.12,44.636,47092.748,1.936,0.081,1982.136,82.589,22.404,1.259,0.526,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.912,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,1.584,1,1,1,88,88,1,887.875,49.958,51994.909,1.584,0.099,1622.262,101.391,20.017,2.027,1.722,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.298,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,120,2.212,1,1,2,30,30,4,1430.12,48.776,51327.968,2.212,0.092,2264.76,94.365,20.502,1.259,0.601,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.256,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,112,1.824,1,1,1,112,112,1,887.875,54.991,57143.668,1.824,0.114,1868.083,116.755,18.185,2.027,1.991,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,42.986,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,200,3.344,1,1,3,40,40,5,1430.12,53.766,56432.738,3.344,0.105,3424.461,107.014,18.599,1.259,0.727,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,53.162,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,30,0.497,1,1,1,2,2,15,2564.055,54.731,58553.868,0.497,0.016,508.723,15.898,18.271,0.702,0.036,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.905,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,124,1.824,1,1,1,124,124,1,887.875,58.959,61202.932,1.824,0.114,1868.083,116.755,16.961,2.027,2.056,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,45.329,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,240,3.399,1,1,3,48,48,5,1430.12,57.873,60634.199,3.399,0.106,3480.883,108.778,17.279,1.259,0.811,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,56.287,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,70,1.067,1,1,2,7,7,10,2564.055,59.023,62944.584,1.067,0.044,1092.813,45.534,16.943,0.702,0.116,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,75.811,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,136,1.824,1,1,1,136,136,1,887.875,63.646,65997.733,1.824,0.114,1868.083,116.755,15.712,2.027,2.089,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,47.673,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,300,3.399,1,1,3,60,60,5,1430.12,64.347,67257.101,3.399,0.106,3480.883,108.778,15.541,1.259,0.911,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,60.975,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,130,1.866,1,1,3,10,10,13,2564.055,62.852,66861.651,1.866,0.058,1910.538,59.704,15.91,0.702,0.156,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,78.155,sglang,0.5.10,a100_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,152,1.824,1,1,1,152,152,1,887.875,68.423,70884.604,1.824,0.114,1868.083,116.755,14.615,2.027,2.172,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,50.798,sglang,0.5.10,a100_sxm,0.0
