model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,18,4.082,1,1,1,6,6,3,152.224,3.965,4208.419,4.082,0.128,4180.009,130.625,252.201,11.825,1.479,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.283,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,60,10.642,1,1,1,30,30,2,152.224,4.974,5240.626,10.642,0.443,10897.92,454.08,201.059,11.825,5.896,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.97,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,7.929,1,1,1,52,52,1,152.224,5.898,6185.878,7.929,0.496,8118.845,507.428,169.543,11.825,8.618,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.267,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,76,9.896,1,1,1,76,76,1,152.224,6.907,7218.085,9.896,0.618,10133.012,633.313,144.785,11.825,10.756,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.954,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,3.626,1,1,1,4,4,7,228.191,6.939,7326.788,3.626,0.113,3712.737,116.023,144.114,7.888,0.563,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.1,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,100,10.642,1,1,1,100,100,1,152.224,7.915,8249.269,10.642,0.665,10897.92,681.12,126.337,11.825,12.35,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.642,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,54,6.094,1,1,1,18,18,3,228.191,7.968,8379.455,6.094,0.381,6240.338,390.021,125.508,7.888,2.208,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,44.569,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,124,10.642,1,1,1,124,124,1,152.224,8.924,9281.476,10.642,0.665,10897.92,681.12,112.058,11.825,13.583,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,45.329,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,128,12.795,1,1,2,32,32,4,228.191,8.996,9431.099,12.795,0.533,13102.449,545.935,111.157,7.888,3.477,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,50.037,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,10.642,1,1,1,144,144,1,152.224,9.764,10140.796,10.642,0.665,10897.92,681.12,102.413,11.825,14.416,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.236,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,220,20.028,1,1,3,44,44,5,228.191,9.878,10333.385,20.028,0.626,20509.082,640.909,101.236,7.888,4.354,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,54.725,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,280,21.298,1,1,3,56,56,5,228.191,10.76,11235.671,21.298,0.666,21808.742,681.523,92.94,7.888,5.088,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,59.412,sglang,0.5.10,b200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,168,10.642,1,1,1,168,168,1,152.224,10.773,11173.003,10.642,0.665,10897.92,681.12,92.825,11.825,15.244,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,53.923,sglang,0.5.10,b200_sxm,0.0
