model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,12,1.811,1,1,1,4,4,3,318.049,5.957,6412.06,1.811,0.057,1854.013,57.938,167.868,5.66,0.656,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.892,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,36,4.644,1,1,1,18,18,2,318.049,6.97,7448.359,4.644,0.194,4755.62,198.151,143.473,5.66,2.524,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.626,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,32,3.605,1,1,1,32,32,1,318.049,7.983,8484.658,3.605,0.225,3691.069,230.692,125.269,5.66,3.918,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.361,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,4.47,1,1,1,44,44,1,318.049,8.851,9372.622,4.47,0.279,4577.567,286.098,112.982,5.66,4.859,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.704,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,5.094,1,1,1,56,56,1,318.049,9.719,10260.586,5.094,0.318,5216.256,326.016,102.889,5.66,5.632,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.048,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,5.094,1,1,1,72,72,1,318.049,10.877,11445.22,5.094,0.318,5216.256,326.016,91.939,5.66,6.471,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,21,1.726,1,1,1,3,3,7,491.546,10.928,11670.89,1.726,0.054,1767.342,55.229,91.509,3.662,0.268,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.709,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,5.094,1,1,1,84,84,1,318.049,11.745,12333.184,5.094,0.318,5216.256,326.016,85.143,5.66,6.991,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.517,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,33,2.49,1,1,1,11,11,3,491.546,11.923,12688.775,2.49,0.156,2549.268,159.329,83.869,3.662,0.902,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.834,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,100,5.094,1,1,1,100,100,1,318.049,12.903,13517.818,5.094,0.318,5216.256,326.016,77.504,5.66,7.576,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.642,sglang,0.5.10,h200_sxm,0.0
