model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,9,0.905,1,1,1,3,3,3,333.594,8.936,9475.122,0.905,0.028,927.007,28.969,111.911,5.396,0.328,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.697,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,33,2.973,1,1,1,11,11,3,333.594,9.984,10547.226,2.973,0.093,3043.86,95.121,100.157,5.396,1.077,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.259,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,3.991,1,1,1,16,16,3,333.594,10.813,11395.293,3.991,0.125,4086.743,127.711,92.484,5.396,1.446,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,60,4.504,1,1,1,30,30,2,333.594,11.978,12587.088,4.504,0.188,4612.424,192.184,83.49,5.396,2.448,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.97,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,80,4.856,1,1,1,40,40,2,333.594,12.795,13422.879,4.856,0.202,4972.954,207.206,78.157,5.396,3.056,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.923,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,3.663,1,1,1,56,56,1,333.594,13.751,14400.867,3.663,0.229,3750.42,234.401,72.722,5.396,3.981,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.048,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,50,2.984,1,1,1,10,10,5,543.031,13.94,14803.651,2.984,0.124,3055.104,127.296,71.735,3.315,0.701,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.444,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,4.37,1,1,1,72,72,1,333.594,14.816,15490.362,4.37,0.273,4474.88,279.68,67.496,5.396,4.75,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,42,2.57,1,1,1,14,14,3,543.031,14.702,15583.177,2.57,0.161,2631.229,164.452,68.019,3.315,0.931,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.006,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,80,4.7,1,1,1,80,80,1,333.594,15.306,15991.632,4.7,0.294,4813.087,300.818,65.333,5.396,5.109,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.736,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,4.95,1,1,2,22,22,4,543.031,15.988,16898.755,4.95,0.206,5068.39,211.183,62.548,3.315,1.345,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.131,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,104,4.856,1,1,1,104,104,1,333.594,16.792,17511.81,4.856,0.304,4972.954,310.81,59.554,5.396,6.054,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.423,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,112,5.965,1,1,2,28,28,4,543.031,16.881,17812.294,5.965,0.249,6108.447,254.519,59.236,3.315,1.621,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,48.475,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,116,4.856,1,1,1,116,116,1,333.594,17.738,18479.568,4.856,0.304,4972.954,310.81,56.375,5.396,6.392,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.767,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,180,8.95,1,1,3,36,36,5,543.031,17.815,18767.776,8.95,0.28,9165.312,286.416,56.134,3.315,1.975,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,51.6,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,128,4.856,1,1,1,128,128,1,333.594,18.536,19295.922,4.856,0.304,4972.954,310.81,53.95,5.396,6.75,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.111,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,220,8.95,1,1,3,44,44,5,543.031,18.655,19627.096,8.95,0.28,9165.312,286.416,53.604,3.315,2.306,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,54.725,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,4.856,1,1,1,144,144,1,333.594,19.648,20433.498,4.856,0.304,4972.954,310.81,50.896,5.396,7.164,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.236,sglang,0.5.10,h200_sxm,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,2.371,1,1,1,52,52,1,543.031,19.726,20722.729,2.371,0.296,2427.74,303.468,50.695,3.315,2.577,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,57.85,sglang,0.5.10,h200_sxm,0.0
