model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,12,0.72,1,1,1,4,4,3,1399.21,14.996,16740.118,0.72,0.023,737.649,23.052,66.685,1.286,0.261,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.892,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,21,1.157,1,1,1,7,7,3,1399.21,15.84,17603.53,1.157,0.036,1185.178,37.037,63.132,1.286,0.432,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.478,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,22,1.157,1,1,1,11,11,2,1399.21,16.965,18754.405,1.157,0.048,1185.178,49.382,58.944,1.286,0.634,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.259,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,1.157,1,1,1,14,14,2,1399.21,17.809,19617.817,1.157,0.048,1185.178,49.382,56.151,1.286,0.768,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.845,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,18,0.855,1,1,1,18,18,1,1399.21,18.935,20769.715,0.855,0.053,875.192,54.7,52.813,1.286,0.929,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.626,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,20,0.923,1,1,1,20,20,1,1399.21,19.497,21344.641,0.923,0.058,944.906,59.057,51.289,1.286,1.003,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.017,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,36,1.157,1,1,1,36,36,1,1399.21,23.999,25950.187,1.157,0.072,1185.178,74.074,41.669,1.286,1.466,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.142,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,1.157,1,1,1,56,56,1,1399.21,29.625,31705.585,1.157,0.072,1185.178,74.074,33.755,1.286,1.848,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.048,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,35,0.973,1,1,1,7,7,5,1665.837,29.819,32170.674,0.973,0.041,996.25,41.51,33.536,1.081,0.229,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.272,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,1.897,1,1,2,72,72,1,1399.21,34.127,36311.131,1.897,0.079,1942.569,80.94,29.303,1.286,2.062,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.173,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,72,1.888,1,1,2,18,18,4,1665.837,34.311,36765.99,1.888,0.079,1933.148,80.548,29.145,1.081,0.513,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,44.569,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,150,2.919,1,1,3,30,30,5,1665.837,39.211,41778.69,2.919,0.091,2988.749,93.398,25.503,1.081,0.748,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.256,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,92,2.081,1,1,2,92,92,1,1399.21,39.753,42066.529,2.081,0.087,2130.985,88.791,25.155,1.286,2.262,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.079,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,0.88,1,1,1,44,44,1,1665.837,44.928,47627.181,0.88,0.11,901.571,112.696,22.258,1.081,0.957,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,54.725,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,2.195,1,1,2,108,108,1,1399.21,44.255,46672.075,2.195,0.091,2247.803,93.658,22.597,1.286,2.386,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,42.204,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,0.973,1,1,1,56,56,1,1665.837,49.828,52639.881,0.973,0.122,996.25,124.531,20.069,1.081,1.099,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,59.412,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,128,2.307,1,1,2,128,128,1,1399.21,49.881,52427.473,2.307,0.096,2362.737,98.447,20.048,1.286,2.508,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.111,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,68,0.973,1,1,1,68,68,1,1665.837,54.728,57652.581,0.973,0.122,996.25,124.531,18.272,1.081,1.215,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,64.1,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,144,2.315,1,1,2,144,144,1,1399.21,54.383,57033.019,2.315,0.096,2370.355,98.765,18.388,1.286,2.588,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.236,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,30,0.497,1,1,1,2,2,15,2082.098,54.433,57767.057,0.497,0.016,508.723,15.898,18.371,0.865,0.036,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.905,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,80,0.973,1,1,1,80,80,1,1665.837,59.628,62665.281,0.973,0.122,996.25,124.531,16.771,1.081,1.311,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,68.787,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,160,2.315,1,1,2,160,160,1,1399.21,58.884,61637.542,2.315,0.096,2370.355,98.765,16.983,1.286,2.656,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,52.361,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,100,1.509,1,1,2,10,10,10,2082.098,59.608,63061.082,1.509,0.063,1545.011,64.375,16.776,0.865,0.164,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,78.155,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,92,0.973,1,1,1,92,92,1,1665.837,64.528,67677.981,0.973,0.122,996.25,124.531,15.497,1.081,1.394,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,73.475,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,176,2.315,1,1,2,176,176,1,1399.21,63.385,66242.065,2.315,0.096,2370.355,98.765,15.777,1.286,2.714,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,55.486,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,162,2.252,1,1,3,18,18,9,2082.098,64.782,68354.084,2.252,0.094,2306.212,96.092,15.436,0.865,0.272,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,84.405,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,312,4.041,1,1,5,104,104,3,1665.837,69.429,72691.704,4.041,0.126,4137.615,129.3,14.403,1.081,1.464,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,78.162,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,286,3.674,1,1,5,26,26,11,2082.098,69.957,73648.109,3.674,0.115,3761.725,117.554,14.295,0.865,0.363,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,90.655,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,192,2.315,1,1,2,192,192,1,1399.21,67.886,70846.588,2.315,0.096,2370.355,98.765,14.73,1.286,2.765,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,58.611,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,348,4.212,1,1,5,116,116,3,1665.837,74.329,77704.404,4.212,0.132,4312.842,134.776,13.454,1.081,1.526,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,82.85,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,256,3.114,1,1,4,32,32,8,2082.098,73.838,77618.372,3.114,0.13,3188.736,132.864,13.543,0.865,0.424,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,95.342,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,216,2.315,1,1,2,216,216,1,1399.21,74.638,77753.884,2.315,0.096,2370.355,98.765,13.398,1.286,2.829,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,63.298,sglang,0.5.10,rtx_pro_6000_server,0.0
