model_key,system,mode,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,1.133,1,1,1,108,108,1,1430.12,83.323,86669.549,1.133,0.142,1160.294,145.037,12.002,1.259,1.267,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,a100_sxm,0.0,145.037
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,112,1.824,1,1,1,112,112,1,887.875,54.991,57143.668,1.824,0.114,1868.083,116.755,18.185,2.027,1.991,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,42.986,sglang,0.5.10,a100_sxm,0.0,116.755
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,200,3.344,1,1,3,40,40,5,1430.12,53.766,56432.738,3.344,0.105,3424.461,107.014,18.599,1.259,0.727,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,53.162,sglang,0.5.10,a100_sxm,0.0,107.014
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,88,1.584,1,1,1,88,88,1,887.875,49.958,51994.909,1.584,0.099,1622.262,101.391,20.017,2.027,1.722,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.298,sglang,0.5.10,a100_sxm,0.0,101.391
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,64,1.478,1,1,1,64,64,1,887.875,38.964,40748.047,1.478,0.092,1512.98,94.561,25.664,2.027,1.606,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.611,sglang,0.5.10,a100_sxm,0.0,94.561
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,52,1.371,1,1,1,52,52,1,887.875,34.107,35779.336,1.371,0.086,1403.699,87.731,29.319,2.027,1.49,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.267,sglang,0.5.10,a100_sxm,0.0,87.731
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,1.824,1,1,1,16,16,3,887.875,23.286,24709.453,1.824,0.057,1868.083,58.378,42.944,2.027,0.672,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,a100_sxm,0.0,58.378
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,15,0.69,1,1,1,5,5,3,887.875,19.579,20917.192,0.69,0.022,706.56,22.08,51.076,2.027,0.25,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.087,sglang,0.5.10,a100_sxm,0.0,22.08
llama31_70b,a100_sxm,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,3,0.146,1,1,1,1,1,3,887.875,18.6,19915.675,0.146,0.005,149.791,4.681,53.764,2.027,0.053,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.306,sglang,0.5.10,a100_sxm,0.0,4.681
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,324,5.363,1,1,5,108,108,3,1377.401,54.331,56958.014,5.363,0.168,5491.384,171.606,18.406,1.307,1.943,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,a100_sxm,0.0,171.606
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,276,4.985,1,1,5,92,92,3,1377.401,49.806,52328.939,4.985,0.156,5104.189,159.506,20.078,1.307,1.806,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,73.475,sglang,0.5.10,a100_sxm,0.0,159.506
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,1.176,1,1,1,56,56,1,1377.401,39.626,41914.799,1.176,0.147,1204.531,150.566,25.236,1.307,1.381,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,59.412,sglang,0.5.10,a100_sxm,0.0,150.566
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,2.011,1,1,1,48,48,1,805.707,19.892,21155.223,2.011,0.126,2058.854,128.678,50.271,2.234,2.359,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,30.486,sglang,0.5.10,a100_sxm,0.0,128.678
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,1.931,1,1,1,40,40,1,805.707,18.624,19858.059,1.931,0.121,1977.426,123.589,53.693,2.234,2.099,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.923,sglang,0.5.10,a100_sxm,0.0,123.589
