model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,6,0.682,1,1,1,2,2,3,410.162,7.925,8517.437,0.682,0.021,698.081,21.815,126.187,4.389,0.247,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.624,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,24,2.432,1,1,1,8,8,3,410.162,8.872,9486.218,2.432,0.076,2489.917,77.81,112.712,4.389,0.881,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.562,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,45,3.95,1,1,1,15,15,3,410.162,9.975,10614.587,3.95,0.123,4044.902,126.403,100.253,4.389,1.47,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.656,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,40,3.336,1,1,1,20,20,2,410.162,10.785,11443.217,3.336,0.139,3415.982,142.333,92.723,4.389,1.813,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.437,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,52,3.95,1,1,1,26,26,2,410.162,11.757,12437.573,3.95,0.165,4044.902,168.538,85.057,4.389,2.162,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.374,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,64,3.95,1,1,1,32,32,2,410.162,12.729,13431.929,3.95,0.165,4044.902,168.538,78.562,4.389,2.457,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.312,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,3.95,1,1,1,36,36,2,410.162,13.377,14094.833,3.95,0.165,4044.902,168.538,74.756,4.389,2.631,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,14,0.921,1,1,1,2,2,7,682.623,13.707,14704.884,0.921,0.029,943.022,29.469,72.956,2.637,0.143,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.565,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,44,2.697,1,1,1,44,44,1,410.162,14.673,15420.641,2.697,0.169,2761.236,172.577,68.153,4.389,2.931,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,19.187,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,30,1.808,1,1,1,6,6,5,682.623,14.93,15956.013,1.808,0.075,1851.187,77.133,66.98,2.637,0.393,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.815,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,52,2.928,1,1,1,52,52,1,410.162,15.969,16746.449,2.928,0.183,2998.641,187.415,62.622,4.389,3.183,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.437,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,45,2.373,1,1,1,9,9,5,682.623,15.806,16852.161,2.373,0.099,2430.259,101.261,63.265,2.637,0.557,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.752,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,3.03,1,1,1,56,56,1,410.162,16.617,17409.353,3.03,0.189,3103.212,193.951,60.18,4.389,3.294,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.062,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,36,1.935,1,1,1,12,12,3,682.623,16.727,17794.344,1.935,0.121,1981.194,123.825,59.784,2.637,0.701,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.69,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,64,3.214,1,1,1,64,64,1,410.162,17.913,18735.161,3.214,0.201,3290.685,205.668,55.826,4.389,3.493,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,2.373,1,1,1,16,16,3,682.623,17.954,19049.565,2.373,0.148,2430.259,151.891,55.697,2.637,0.871,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.94,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,68,3.295,1,1,1,68,68,1,410.162,18.561,19398.065,3.295,0.206,3373.588,210.849,53.877,4.389,3.581,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.937,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,54,2.373,1,1,1,18,18,3,682.623,18.568,19677.687,2.373,0.148,2430.259,151.891,53.856,2.637,0.948,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.565,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,76,3.442,1,1,1,76,76,1,410.162,19.857,20723.873,3.442,0.215,3524.321,220.27,50.36,4.389,3.741,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.187,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,88,3.996,1,1,2,22,22,4,682.623,19.795,20932.908,3.996,0.167,4092.396,170.516,50.517,2.637,1.086,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.815,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,104,3.835,1,1,1,104,104,1,410.162,24.393,25364.201,3.835,0.24,3926.589,245.412,40.995,4.389,4.168,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.562,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,180,6.721,1,1,3,36,36,5,682.623,24.091,25327.716,6.721,0.21,6881.894,215.059,41.51,2.637,1.461,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,31.19,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,15,0.552,1,1,1,1,1,15,1227.544,24.69,26485.414,0.552,0.017,565.248,17.664,40.502,1.466,0.04,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,a100_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,35.772,sglang,0.5.10,a100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,136,3.95,1,1,1,136,136,1,410.162,29.577,30667.433,3.95,0.247,4044.902,252.806,33.81,4.389,4.495,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.562,sglang,0.5.10,a100_sxm,0.0
