model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,6,1.352,1,1,1,2,2,3,165.307,3.991,4248.1,1.352,0.042,1384.858,43.277,250.533,10.889,0.49,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.624,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,8.636,1,1,1,16,16,3,165.307,4.999,5279.284,8.636,0.27,8843.305,276.353,200.035,10.889,3.129,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.812,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,8.589,1,1,1,28,28,2,165.307,5.863,6163.156,8.589,0.358,8795.259,366.469,170.567,10.889,4.668,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.687,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,80,9.8,1,1,1,40,40,2,165.307,6.726,7046.005,9.8,0.408,10035.302,418.138,148.666,10.889,5.813,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,18.562,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,112,9.8,1,1,1,56,56,2,165.307,7.878,8224.501,9.8,0.408,10035.302,418.138,126.935,10.889,6.949,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.062,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,42,4.804,1,1,1,6,6,7,249.034,7.867,8296.975,4.804,0.15,4919.542,153.736,127.116,7.228,0.746,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.815,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,68,6.996,1,1,1,68,68,1,165.307,8.742,9108.373,6.996,0.437,7163.576,447.724,114.394,10.889,7.604,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.937,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,70,6.505,1,1,1,14,14,5,249.034,8.93,9384.424,6.505,0.271,6661.325,277.555,111.987,7.228,1.533,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.315,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,84,7.636,1,1,1,84,84,1,165.307,9.893,10285.846,7.636,0.477,7819.264,488.704,101.078,10.889,8.3,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.437,sglang,0.5.10,h100_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,66,5.94,1,1,1,22,22,3,249.034,9.992,10470.85,5.94,0.371,6082.068,380.129,100.077,7.228,2.152,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.815,sglang,0.5.10,h100_sxm,0.0
