model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,24,4.347,1,1,1,8,8,3,172.334,4.964,5250.506,4.347,0.136,4451.328,139.104,201.463,10.445,1.575,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.562,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,66,9.401,1,1,1,22,22,3,172.334,5.889,6196.781,9.401,0.294,9626.112,300.816,169.82,10.445,3.652,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.749,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,9.401,1,1,1,36,36,2,172.334,6.848,7177.838,9.401,0.392,9626.112,401.088,146.027,10.445,5.139,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,7,0.914,1,1,1,1,1,7,259.537,6.886,7303.915,0.914,0.029,936.428,29.263,145.225,6.935,0.142,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.252,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,104,9.401,1,1,1,52,52,2,172.334,7.945,8300.069,9.401,0.392,9626.112,401.088,125.872,10.445,6.398,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.437,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,50,5.63,1,1,1,10,10,5,259.537,7.986,8429.215,5.63,0.235,5765.53,240.23,125.215,6.935,1.224,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.065,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,64,6.565,1,1,1,64,64,1,172.334,8.767,9140.975,6.565,0.41,6722.683,420.168,114.065,10.445,7.136,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,48,4.935,1,1,1,16,16,3,259.537,8.748,9208.741,4.935,0.308,5053.317,315.832,114.317,6.935,1.788,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.94,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,80,7.294,1,1,1,80,80,1,172.334,9.863,10262.183,7.294,0.456,7468.81,466.801,101.384,10.445,7.928,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.812,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,6.241,1,1,1,24,24,3,259.537,9.763,10247.086,6.241,0.39,6391.296,399.456,102.43,6.935,2.403,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.44,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,7.877,1,1,1,96,96,1,172.334,10.96,11384.414,7.877,0.492,8066.089,504.131,91.241,10.445,8.562,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.312,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,10.679,1,1,2,32,32,4,259.537,10.778,11285.431,10.679,0.445,10935.665,455.653,92.783,6.935,2.902,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.94,sglang,0.5.10,h200_sxm,0.0
