model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,24,3.602,1,1,1,8,8,3,175.576,5.993,6306.415,3.602,0.113,3688.243,115.258,166.855,10.252,1.305,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.562,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,54,6.988,1,1,1,18,18,3,175.576,6.948,7283.38,6.988,0.218,7156.04,223.626,143.93,10.252,2.532,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.124,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,84,9.227,1,1,1,28,28,3,175.576,7.93,8287.966,9.227,0.288,9448.243,295.258,126.098,10.252,3.451,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.687,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,35,3.973,1,1,1,5,5,7,267.098,7.921,8370.281,3.973,0.124,4068.844,127.151,126.249,6.739,0.617,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.502,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,9.227,1,1,1,48,48,2,175.576,8.893,9273.115,9.227,0.384,9448.243,393.677,112.453,10.252,5.276,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,19.812,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,42,4.253,1,1,1,14,14,3,267.098,8.881,9352.361,4.253,0.266,4355.236,272.202,112.597,6.739,1.541,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.315,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,9.227,1,1,1,64,64,2,175.576,9.64,10037.296,9.227,0.384,9448.243,393.677,103.738,10.252,6.49,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,6.065,1,1,1,24,24,3,267.098,9.928,10423.442,6.065,0.379,6210.662,388.166,100.725,6.739,2.363,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.44,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,92,7.533,1,1,1,92,92,1,175.576,10.983,11411.185,7.533,0.471,7713.751,482.109,91.05,10.252,8.188,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.687,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,10.86,1,1,2,32,32,4,267.098,10.6,11110.898,10.86,0.452,11120.312,463.346,94.344,6.739,2.951,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.94,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,116,8.697,1,1,1,116,116,1,175.576,11.996,12447.484,8.697,0.544,8905.482,556.593,83.361,10.252,9.453,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,30.437,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,220,16.712,1,1,3,44,44,5,267.098,11.839,12378.395,16.712,0.522,17112.883,534.778,84.467,6.739,3.633,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.69,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,9.226,1,1,1,128,128,1,175.576,12.477,12939.547,9.226,0.577,9447.178,590.449,80.149,10.252,10.028,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.312,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,280,18.195,1,1,3,56,56,5,267.098,12.945,13509.833,18.195,0.569,18631.987,582.25,77.248,6.739,4.229,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.44,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,35,2.473,1,1,1,5,5,7,467.01,12.724,13483.662,2.473,0.155,2532.311,158.269,78.593,3.854,0.384,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.272,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,144,9.227,1,1,1,144,144,1,175.576,13.965,14461.771,9.227,0.577,9448.243,590.515,71.608,10.252,10.08,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,h200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,34.812,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,340,18.195,1,1,3,68,68,5,267.098,13.875,14461.223,18.195,0.569,18631.987,582.25,72.072,6.739,4.791,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.19,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,126,8.106,1,1,3,14,14,9,467.01,13.983,14771.619,8.106,0.338,8300.667,345.861,71.513,3.854,0.979,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.897,sglang,0.5.10,h200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,76,4.637,1,1,1,76,76,1,267.098,14.742,15348.164,4.637,0.58,4748.083,593.51,67.836,6.739,5.04,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.69,sglang,0.5.10,h200_sxm,0.0
