model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,3,0.395,1,1,1,1,1,3,696.377,6.833,7686.536,0.395,0.012,404.152,12.63,146.349,2.585,0.143,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.468,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,21,2.327,1,1,1,7,7,3,696.377,7.937,8815.928,2.327,0.073,2382.336,74.448,125.992,2.585,0.862,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,13.406,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,24,2.327,1,1,1,12,12,2,696.377,8.857,9757.088,2.327,0.097,2382.336,99.264,112.905,2.585,1.324,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.187,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,18,1.625,1,1,1,18,18,1,696.377,9.961,10886.48,1.625,0.102,1663.713,103.982,100.392,2.585,1.766,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.124,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,22,1.849,1,1,1,22,22,1,696.377,10.697,11639.408,1.849,0.116,1893.581,118.349,93.484,2.585,2.01,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,15.749,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,28,2.133,1,1,1,28,28,1,696.377,11.801,12768.8,2.133,0.133,2184.684,136.543,84.739,2.585,2.319,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,16.687,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,32,2.295,1,1,1,32,32,1,696.377,12.537,13521.728,2.295,0.143,2350.49,146.906,79.764,2.585,2.495,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.312,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,7,0.483,1,1,1,1,1,7,821.216,12.963,14082.365,0.483,0.015,494.592,15.456,77.14,2.192,0.075,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.252,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,36,2.327,1,1,1,36,36,1,696.377,13.273,14274.656,2.327,0.145,2382.336,148.896,75.341,2.585,2.651,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,rtx_pro_6000_server,0.0
Qwen/Qwen3-32B,4096,1024,0,28,1.823,1,1,1,4,4,7,821.216,13.836,14975.444,1.823,0.057,1866.26,58.321,72.277,2.192,0.283,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.19,sglang,0.5.10,rtx_pro_6000_server,0.0
