scope,model_key,system,mode,bottleneck,points
returned,deepseek_v3,a100_sxm,ANALYTICAL,decode,34
returned,deepseek_v3,a100_sxm,ANALYTICAL,prefill,15
returned,deepseek_v3,a100_sxm,EMPIRICAL,decode,45
returned,deepseek_v3,a100_sxm,EMPIRICAL,prefill,6
returned,deepseek_v3,b200_sxm,ANALYTICAL,decode,77
returned,deepseek_v3,b200_sxm,ANALYTICAL,prefill,31
returned,deepseek_v3,b200_sxm,EMPIRICAL,decode,78
returned,deepseek_v3,b200_sxm,EMPIRICAL,prefill,14
returned,deepseek_v3,b200_sxm,SILICON,decode,88
returned,deepseek_v3,b200_sxm,SILICON,prefill,30
returned,deepseek_v3,b300_sxm,ANALYTICAL,decode,97
returned,deepseek_v3,b300_sxm,ANALYTICAL,prefill,39
returned,deepseek_v3,b300_sxm,EMPIRICAL,decode,68
returned,deepseek_v3,b300_sxm,EMPIRICAL,prefill,38
returned,deepseek_v3,b300_sxm,SILICON,decode,119
returned,deepseek_v3,b300_sxm,SILICON,prefill,43
returned,deepseek_v3,h100_sxm,ANALYTICAL,decode,37
returned,deepseek_v3,h100_sxm,ANALYTICAL,prefill,8
returned,deepseek_v3,h100_sxm,EMPIRICAL,decode,45
returned,deepseek_v3,h100_sxm,EMPIRICAL,prefill,6
returned,deepseek_v3,h100_sxm,SILICON,decode,62
returned,deepseek_v3,h200_sxm,ANALYTICAL,decode,69
returned,deepseek_v3,h200_sxm,ANALYTICAL,prefill,21
returned,deepseek_v3,h200_sxm,EMPIRICAL,decode,60
returned,deepseek_v3,h200_sxm,EMPIRICAL,prefill,13
returned,deepseek_v3,h200_sxm,SILICON,decode,81
returned,deepseek_v3,h200_sxm,SILICON,prefill,25
returned,deepseek_v3,rtx_pro_6000_server,ANALYTICAL,decode,48
returned,deepseek_v3,rtx_pro_6000_server,EMPIRICAL,decode,51
returned,llama31_70b,a100_sxm,ANALYTICAL,decode,20
returned,llama31_70b,a100_sxm,ANALYTICAL,prefill,14
