case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,prefill,1.1331,1.16564,0.9720840053532823,1.1331,1.133,8.825346394845025e-05,1430.12,83.323,12.002,145.037,145.037,1,1,1,1.259,tp4pp1dp1etp1ep1,108,108,1,1.267,tp4pp1dp1etp1ep1,8
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,prefill,1.8243000000000003,1.8317200000000002,0.9959491625357587,1.8243000000000003,1.824,0.00016444663706637557,887.875,54.991,18.185,116.755,116.755,1,1,1,2.027,tp8pp1dp1etp1ep1,112,112,1,1.991,tp8pp1dp1etp1ep1,16
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,decode,3.3992999999999998,3.3442,1.016476287303391,3.3442,3.344,5.9805035583989586e-05,1430.12,53.766,18.599,107.014,107.014,1,1,3,1.259,tp4pp1dp1etp1ep1,40,40,5,0.727,tp4pp1dp1etp1ep1,32
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,decode,1.8243000000000003,1.58424,1.1515300712013332,1.58424,1.584,0.00015149219815180652,887.875,49.958,20.017,101.391,101.391,1,1,1,2.027,tp8pp1dp1etp1ep1,88,88,1,1.722,tp8pp1dp1etp1ep1,16
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,decode,1.8243000000000003,1.4775200000000002,1.2347040987600846,1.4775200000000002,1.478,0.00032486869890073494,887.875,38.964,25.664,94.561,94.561,1,1,1,2.027,tp8pp1dp1etp1ep1,64,64,1,1.606,tp8pp1dp1etp1ep1,16
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,decode,1.8243000000000003,1.3708,1.3308287131601986,1.3708,1.371,0.00014590020426026988,887.875,34.107,29.319,87.731,87.731,1,1,1,2.027,tp8pp1dp1etp1ep1,52,52,1,1.49,tp8pp1dp1etp1ep1,16
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,prefill,1.8243000000000003,1.8547200000000001,0.9835986024844721,1.8243000000000003,1.824,0.00016444663706637557,887.875,23.286,42.944,58.378,58.378,1,1,1,2.027,tp8pp1dp1etp1ep1,16,16,3,0.672,tp8pp1dp1etp1ep1,32
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,decode,1.8243000000000003,0.6900000000000001,2.643913043478261,0.6900000000000001,0.69,1.6090188762683426e-16,887.875,19.579,51.076,22.08,22.08,1,1,1,2.027,tp8pp1dp1etp1ep1,5,5,3,0.25,tp8pp1dp1etp1ep1,32
llama31_70b__a100_sxm__silicon,llama31_70b,a100_sxm,SILICON,decode,1.8243000000000003,0.14628000000000002,12.471287940935193,0.14628000000000002,0.146,0.0019141372709873543,887.875,18.6,53.764,4.681,4.681,1,1,1,2.027,tp8pp1dp1etp1ep1,1,1,3,0.053,tp8pp1dp1etp1ep1,32
llama31_70b__a100_sxm__empirical,llama31_70b,a100_sxm,EMPIRICAL,decode,5.8815,5.362680000000001,1.096746402917944,5.362680000000001,5.363,5.9671656708853e-05,1377.401,54.331,18.406,171.606,171.606,1,1,5,1.307,tp4pp1dp1etp1ep1,108,108,3,1.943,tp4pp1dp1etp1ep1,32
