case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,0.29808,15.525362318840582,0.29808,0.298,0.00026838432635542303,2800.611,12.061,82.914,4.769,1,8,1,5.142,tp4pp1dp8etp1ep32,1,4,1,0.324,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,0.43516,10.63470907252505,0.43516,0.435,0.000367680853019564,2800.611,16.522,60.526,6.963,1,8,1,5.142,tp4pp1dp8etp1ep32,1,8,1,0.473,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,0.42688000000000004,10.84098575712144,0.42688000000000004,0.427,0.00028110944527725233,2800.611,16.84,59.384,6.83,1,8,1,5.142,tp4pp1dp8etp1ep32,2,8,1,0.464,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,0.4986400000000001,9.280843895395476,0.4986400000000001,0.499,0.0007219637413763755,2800.611,21.639,46.214,7.978,1,8,1,5.142,tp4pp1dp8etp1ep32,3,12,1,0.542,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.9605199999999998,2.3604961948870713,1.9605199999999998,1.961,0.0002448330034890019,2800.611,29.353,34.068,31.368,1,8,1,5.142,tp4pp1dp8etp1ep32,4,64,1,2.131,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.4572800000000001,3.1756422924901186,1.4572800000000001,1.457,0.0001921387790953406,2800.611,29.618,33.764,23.316,1,8,1,5.142,tp4pp1dp8etp1ep32,6,48,1,1.584,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.01108,4.577085888357005,1.01108,1.011,7.912331368445624e-05,2800.611,28.454,35.144,16.177,1,8,1,5.142,tp4pp1dp8etp1ep32,1,32,1,1.099,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,0.8546800000000001,5.414658117658071,0.8546800000000001,0.855,0.00037440913558276303,2800.611,29.477,33.924,13.675,1,8,1,5.142,tp4pp1dp8etp1ep32,7,28,1,0.929,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.39572,1.3628332135747354,3.39572,3.396,8.24567396605309e-05,2800.611,33.897,29.502,54.332,1,8,1,5.142,tp4pp1dp8etp1ep32,4,128,1,3.691,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.33224,1.388795524932178,3.33224,3.332,7.202362374866157e-05,2800.611,34.545,28.947,53.316,1,8,1,5.142,tp4pp1dp8etp1ep32,8,128,1,3.622,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.11048,2.1927713126871615,2.11048,2.11,0.00022743641256966945,2800.611,34.083,29.34,33.768,1,8,1,5.142,tp4pp1dp8etp1ep32,10,80,1,2.294,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.2475200000000002,3.7095998460946515,1.2475200000000002,1.248,0.0003847633705269766,2800.611,34.604,28.898,19.96,1,8,1,5.142,tp4pp1dp8etp1ep32,12,48,1,1.356,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,5.12072,0.9037400990485713,4.627800000000001,4.628,4.321707938967411e-05,2800.611,39.339,25.42,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,7,224,1,5.566,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,4.34516,1.065047086873671,4.34516,4.345,3.6822579605851115e-05,2800.611,39.738,25.165,69.523,1,8,1,5.142,tp4pp1dp8etp1ep32,12,192,1,4.723,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.72044,1.7011218773433712,2.72044,2.72,0.0001617385422945457,2800.611,39.664,25.212,43.527,1,8,1,5.142,tp4pp1dp8etp1ep32,15,120,1,2.957,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.4867200000000003,3.112758286698235,1.4867200000000003,1.487,0.0001883340507962736,2800.611,38.705,25.836,23.788,1,8,1,5.142,tp4pp1dp8etp1ep32,16,64,1,1.616,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,6.426200000000001,0.7201456537300427,4.627800000000001,4.628,4.321707938967411e-05,2800.611,44.781,22.331,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,10,320,1,6.985,tp1pp1dp32etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,5.1244000000000005,0.9030910935914449,4.627800000000001,4.628,4.321707938967411e-05,2800.611,44.931,22.257,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,16,256,1,5.57,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,3.0111600000000003,1.5368827959988842,3.0111600000000003,3.011,5.3135668646023456e-05,2800.611,43.013,23.249,48.179,1,8,1,5.142,tp4pp1dp8etp1ep32,18,144,1,3.273,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,1.76456,2.6226368046425175,1.76456,1.765,0.00024935394659291604,2800.611,44.857,22.293,28.233,1,8,1,5.142,tp4pp1dp8etp1ep32,22,88,1,1.918,tp8pp1dp4etp1ep32,64
