case_id,model_key,model_path,system,mode,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,error_type,error
deepseek_v3__a100_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,64,success,49.0,74.045,4.628,3.9271652698516846,,
deepseek_v3__a100_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,64,success,51.0,90.763,5.673,3.0130503177642822,,
deepseek_v3__a100_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,a100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,64,skipped,,,,1.5948736667633057,RuntimeError,"No results found for any parallel configuration. Showing last exception: Error loading silicon data for op PerfDataFilename.wideep_context_mla: File does not exist at /home/ai_lab/ljc/scale-up-sim/aiconfigurator/src/aiconfigurator/systems/data/a100_sxm/sglang/0.5.10/wideep_context_mla_perf.txt. This combination of model, system, backend, and backend version is not supported by AIC in SILICON mode. Failed to query wideep context mla data for b=1, s=4096, prefix=0, tp_size=8, kvcache_quant_mode=<KVCacheQuantMode.bfloat16: QuantMapping(memory=2, compute=0, name='bfloat16')>, fmha_quant_mode=<FMHAQuantMode.bfloat16: QuantMapping(memory=2, compute=1, name='bfloat16')>. Consider using HYBRID mode."
deepseek_v3__b200_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,108.0,1402.561,32.873,10.064887762069702,,
deepseek_v3__b200_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,92.0,1825.69,28.526,8.867525577545166,,
deepseek_v3__b200_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,b200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,118.0,973.517,22.817,9.459709882736206,,
deepseek_v3__b300_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,136.0,1621.241,45.176,11.31994891166687,,
deepseek_v3__b300_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,106.0,2206.656,51.719,9.624128341674805,,
deepseek_v3__b300_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,b300_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,162.0,1104.624,34.52,7.12629508972168,,
deepseek_v3__h100_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,45.0,255.571,7.987,6.10758113861084,,
deepseek_v3__h100_sxm__empirical,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,51.0,259.459,8.108,5.306109428405762,,
deepseek_v3__h100_sxm__silicon,deepseek_v3,deepseek-ai/DeepSeek-V3,h100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,62.0,158.888,4.965,6.594659090042114,,
deepseek_v3__h200_sxm__analytical,deepseek_v3,deepseek-ai/DeepSeek-V3,h200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,90.0,735.494,11.492,6.719334363937378,,
