config_key,hw,runner,model_prefix,framework,precision,model,image,multinode,disagg,scenario_index,recipe_group_index,isl,osl,spec_decoding,prefill_num_workers,prefill_tp,prefill_ep,prefill_dp_attn,decode_num_workers,decode_tp,decode_ep,decode_dp_attn,recipe_path,conc
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,1,1024,1024,none,1,4,1,False,1,4,1,False,recipes/gb200-fp8/1k1k/low-latency.yaml,4
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,1,1024,1024,none,1,4,1,False,1,4,1,False,recipes/gb200-fp8/1k1k/low-latency.yaml,8
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,2,1024,1024,none,3,8,8,True,1,48,48,True,recipes/gb200-fp8/1k1k/mid-curve.yaml,1024
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,2,1024,1024,none,3,8,8,True,1,48,48,True,recipes/gb200-fp8/1k1k/mid-curve.yaml,2048
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,2,1024,1024,none,3,8,8,True,1,48,48,True,recipes/gb200-fp8/1k1k/mid-curve.yaml,4096
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,3,1024,1024,none,2,8,8,True,1,32,32,True,recipes/gb200-fp8/1k1k/max-tpt.yaml,1024
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,3,1024,1024,none,2,8,8,True,1,32,32,True,recipes/gb200-fp8/1k1k/max-tpt.yaml,2048
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,3,1024,1024,none,2,8,8,True,1,32,32,True,recipes/gb200-fp8/1k1k/max-tpt.yaml,4096
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,3,1024,1024,none,2,8,8,True,1,32,32,True,recipes/gb200-fp8/1k1k/max-tpt.yaml,6144
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,1,4,1024,1024,none,1,8,8,True,1,8,8,True,recipes/gb200-fp8/1k1k/ultra-tpt.yaml,4096
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,1,8192,1024,none,1,8,1,False,1,8,1,False,recipes/gb200-fp8/8k1k/low-latency.yaml,4
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,1,8192,1024,none,1,8,1,False,1,8,1,False,recipes/gb200-fp8/8k1k/low-latency.yaml,8
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,1,8192,1024,none,1,8,1,False,1,8,1,False,recipes/gb200-fp8/8k1k/low-latency.yaml,16
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,2,8192,1024,none,5,8,8,True,1,32,32,True,recipes/gb200-fp8/8k1k/mid-curve.yaml,512
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,2,8192,1024,none,5,8,8,True,1,32,32,True,recipes/gb200-fp8/8k1k/mid-curve.yaml,1024
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,2,8192,1024,none,5,8,8,True,1,32,32,True,recipes/gb200-fp8/8k1k/mid-curve.yaml,2048
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,2,8192,1024,none,5,8,8,True,1,32,32,True,recipes/gb200-fp8/8k1k/mid-curve.yaml,6144
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,3,8192,1024,none,6,8,8,True,1,24,24,True,recipes/gb200-fp8/8k1k/max_tpt.yaml,2048
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,3,8192,1024,none,6,8,8,True,1,24,24,True,recipes/gb200-fp8/8k1k/max_tpt.yaml,4096
dsr1-fp8-gb200-dynamo-sglang,gb200,gb200,dsr1,dynamo-sglang,fp8,deepseek-ai/DeepSeek-R1-0528,lmsysorg/sglang:v0.5.8.post1-cu130,True,True,2,3,8192,1024,none,6,8,8,True,1,24,24,True,recipes/gb200-fp8/8k1k/max_tpt.yaml,6144
