hw,framework,precision,infmax_model_prefix,spec_decoding,disagg,is_multinode,isl,osl,conc,prefill_tp,prefill_ep,prefill_dp_attention,prefill_num_workers,decode_tp,decode_ep,decode_dp_attention,decode_num_workers,num_prefill_gpu,num_decode_gpu,image,date,run_url,_source_type,p99_itl,std_itl,mean_itl,p99_e2el,p99_tpot,p99_ttft,std_e2el,std_tpot,std_ttft,mean_e2el,mean_tpot,mean_ttft,median_itl,p99_intvty,std_intvty,mean_intvty,median_e2el,median_tpot,median_ttft,tput_per_gpu,median_intvty,input_tput_per_gpu,output_tput_per_gpu
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,4,4,1,False,1,4,1,False,1,4,4,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,0.10486290539614856,0.0062604000621161865,0.09760872555993211,10.394242047816515,0.009942031223807275,0.423792481101118,0.6528135430351977,0.00017584985406601897,0.07051769413774141,9.24687861216953,0.009805191608214567,0.2571151145035401,0.09851961419917643,100.5830677342263,5686.669490351535,101.98678821964302,9.335336247459054,0.009847939062785107,0.2377284828107804,96.81280232999731,101.5440889331812,97.28389489321442,96.3417097667802
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,8,4,1,False,1,4,1,False,1,4,4,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,0.1309793930640444,0.008453024245050988,0.12319624048930547,13.050634273835458,0.01262464683632105,0.6832732700556513,0.7983244580459452,0.000253351970381197,0.1279640290931882,11.796731978462777,0.012380316958989229,0.30560276479809545,0.12477744300849736,79.21013656580116,3947.0780452008553,80.77337626432171,11.852545559871942,0.012459256151597728,0.26246432634070516,153.73895479674908,80.26161336058283,153.16906299048307,154.3088466030151
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,4096,8,8,True,1,8,8,True,1,8,8,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,3.4960968650132416,0.47610756080939026,2.9699012312794073,98.80343534402546,0.06327871620937875,40.32933186215814,9.214238902931928,0.0036679836457737904,8.0178748498619,59.682042842509716,0.060992807434992656,3.5457616911386367,3.0802433039061725,15.803101894342582,272.62935077482933,16.39537581649803,58.35221388773061,0.062031674980460166,1.0844376580789685,7644.530466435958,16.120796356296967,7647.307068841936,7641.753864029981
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,1024,8,8,True,3,48,48,True,1,24,48,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,0.9017578902514654,0.1172922843414151,0.7909766946787821,21.806698274356318,0.016781174412872604,6.052702299607918,1.7890150118347588,0.00021613014298319433,1.4294520748061426,16.353141195394528,0.01623817329117443,1.3996651015255792,0.8006085783708841,59.59058498509581,4626.841893487098,61.58328169483864,16.031991504132748,0.01625554500462386,0.7914017895236611,1539.166785414025,61.51746986739306,2308.6821898768017,1154.4090831826368
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,2048,8,8,True,3,48,48,True,1,24,48,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.1228509727586062,0.1464569122314113,0.8943031912505213,25.764697435260743,0.019312316865752986,8.481812988184393,2.0899377719498626,0.0004276068694013897,1.8358950138655075,18.44328114540433,0.018359996251862704,1.5277197932640092,0.91252824338153,51.78042629226558,2338.596668009352,54.46624205593427,18.123318979516625,0.018464261151206328,0.8226061274763197,2727.1167686351837,54.158679397505544,4089.7781640406483,2045.7860709324514
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,4096,8,8,True,3,48,48,True,1,24,48,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.9965292061865327,0.23108852222553772,1.1440598674427225,37.575220453683286,0.024961973579167327,16.340208352063783,3.5410045537456596,0.0011991432042101446,3.2657292831055584,23.844536171069524,0.02349480749887852,2.2198216909190136,1.1559677310287952,40.06093495886785,833.9287555389876,42.56259601393768,23.250882767140865,0.023828370108355458,1.1393559167627245,4229.617167683533,41.96678142284471,6346.730137371306,3171.0606828396453
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,1024,8,8,True,2,32,32,True,1,16,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.0446229857485743,0.12302684254476388,0.8718766267676223,24.11444223130122,0.018266614366655942,6.718722426327877,1.8520821657074087,0.0002698841149496508,1.435723836670245,17.76005293103326,0.017897501853474874,1.2771572950677637,0.8825856619514525,54.74468228909512,3705.294030315784,55.873719594326836,17.484085974050686,0.017918495853110332,0.7194717226084322,2123.888705748302,55.80825579321256,3185.739241977354,1592.9634376337763
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,2048,8,8,True,2,32,32,True,1,16,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.2154416507016867,0.14630646955220153,1.0177643803731604,30.431595123745492,0.021463690986141253,11.077033820585347,2.5449531280142463,0.0005916501298459894,2.3169248292790914,20.84912065168776,0.020895043204077195,1.5983162595576688,1.04305889736861,46.59030921781735,1690.1880850770824,47.85824036032013,20.459547352977097,0.021087181917196024,0.7528159921057522,3623.2737876827923,47.422173523553056,5433.718933356112,2718.0512148461326
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,4096,8,8,True,2,32,32,True,1,16,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,2.122681496320292,0.25204287959181326,1.2971789725274978,47.15520245081739,0.028057691835857122,21.581102081304415,4.718408935274844,0.0013574397738487496,4.326539659606506,27.249087076394222,0.026639591813276388,2.7301561052104146,1.3417335231788456,35.64085049654803,736.680933670228,37.53811270868007,26.349096512887627,0.027005711397220238,1.3850062291603535,5564.865083262072,37.02920412986907,8350.329482346022,4172.132883720097
gb200,dynamo-sglang,fp8,dsr1,none,True,True,1024,1024,6144,8,8,True,2,32,32,True,1,16,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,3.08131846706383,0.4562511220856454,1.5716114167435196,62.75402424966451,0.034986031395204516,31.94972580028698,6.323346512543788,0.0025701132435168124,6.023904845850646,34.721829875690716,0.032278069991428564,5.008781869865099,1.5438953442499042,28.582836066884358,389.0879137417505,30.980786653772974,33.634351688902825,0.032956589484353635,3.212305492023006,6554.658859038162,30.34294554279522,9833.332458421613,4915.322059346436
