tag,alignment_class,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,mapping,aic_batch_size,aic_isl,aic_prefix,aic_ctx_tokens,aic_osl,mapping_note,aic_model,aic_concurrency,aic_request_rate,aic_bs,aic_global_bs,aic_ttft,aic_tpot,aic_seq/s,aic_seq/s/gpu,aic_tokens/s,aic_tokens/s/gpu,aic_tokens/s/user,aic_request_latency,aic_num_total_gpus,aic_tp,aic_pp,aic_dp,aic_moe_tp,aic_moe_ep,aic_parallel,aic_gemm,aic_kvcache,aic_fmha,aic_moe,aic_comm,aic_memory,aic_balance_score,aic_num_ctx_reqs,aic_num_gen_reqs,aic_num_tokens,aic_gen_tokens,aic_backend,aic_version,aic_system,aic_power_w,aic_oom,aic_kv_cache_oom,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_num_mix_steps,aic_num_genonly_steps,aic_mix_context_mla_block_ms,aic_mix_context_mla_block_per_layer_ms,aic_mix_generation_mla_block_ms,aic_genonly_generation_mla_block_ms,aic_per_ops_json,aic_status
agg_aic_p0_small_b8_isl512_ctx2048,strict_prefix0,4,512,4,512,0,3,1,1536,512,intended_case,8,512,0,2048,16,case design: decode_batch + prefill_batch; ctx_tokens=prefill_batch*total_isl,deepseek-ai/DeepSeek-V3,8,44.724822635308776,8,8,71.22661202017792,9.489674615245052,44.724822635308776,44.724822635308776,670.8723395296316,670.8723395296316,105.37769107420307,213.5717312488537,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,73.86828155517578,0.125,4.0,4.0,2052.0,4.0,sglang,0.5.9,h100_sxm,0.0,False,False,36.526467702655346,7.55847510900146,2.0,14.0,6.7002321339735715,1.116705355662262,,0.681078587833909,"{""genonly_step"": {""generation_add_norm_1"": 0.019027056716417908, ""generation_add_norm_2"": 0.019027056716417908, ""generation_embedding"": 0.0030427940298507466, ""generation_logits_gemm"": 0.6416549181844626, ""generation_mla_block"": 0.681078587833909, ""generation_moe_overlap"": 6.1946446955204015, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.281440047761194, ""context_add_norm_2"": 0.281440047761194, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.013976668656716418, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 6.7002321339735715, ""context_moe"": 27.28848916769028, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.12976796486798456, ""context_shared_act_gate"": 0.07445143880597015, ""context_shared_ffn2_gemm"": 0.3537217995699714, ""context_shared_gate_up_gemm"": 0.7665836960661645, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 7.55847510900146, ""mix_step_latency_ms"": 36.526467702655346, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_small_b8_isl512_ctx2048,strict_prefix0,4,512,4,512,0,3,1,1536,512,observed_first_batch,4,512,0,1536,16,observed first formal mixed batch: batch=req_count; ctx_tokens=prefill_req_count*observed_isl,deepseek-ai/DeepSeek-V3,4,29.52936346818282,4,4,64.35457341320132,6.830402902542446,29.52936346818282,29.52936346818282,442.9404520227423,442.9404520227423,146.4042479291778,166.81061695133803,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,73.3870403289795,0.08333333333333333,3.0,1.0,1537.0,1.0,sglang,0.5.9,h100_sxm,0.0,False,False,33.00234534010324,4.960978442716675,2.0,14.0,4.951944088662494,0.8253240147770824,,0.6563460537730991,"{""genonly_step"": {""generation_add_norm_1"": 0.018513528358208957, ""generation_add_norm_2"": 0.018513528358208957, ""generation_embedding"": 0.0030213970149253733, ""generation_logits_gemm"": 0.6415428867649413, ""generation_mla_block"": 0.6563460537730991, ""generation_moe_overlap"": 3.623041048447291, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.21532327164179105, ""context_add_norm_2"": 0.21532327164179105, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.011221802985074627, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 4.951944088662494, ""context_moe"": 25.947159293890003, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.1111946702003479, ""context_shared_act_gate"": 0.06028355820895522, ""context_shared_ffn2_gemm"": 0.2760639985402425, ""context_shared_gate_up_gemm"": 0.5774666468302408, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 4.960978442716675, ""mix_step_latency_ms"": 33.00234534010324, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,strict_prefix0,8,512,4,512,0,7,1,3584,512,intended_case,12,512,0,2048,16,case design: decode_batch + prefill_batch; ctx_tokens=prefill_batch*total_isl,deepseek-ai/DeepSeek-V3,12,53.01845102842144,12,12,73.09066667404825,10.946116615612386,53.01845102842144,53.01845102842144,795.2767654263216,795.2767654263216,91.35660025526363,237.28241590823404,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,73.87876434326172,0.1875,4.0,8.0,2056.0,8.0,sglang,0.5.9,h100_sxm,0.0,False,False,36.545333337024125,8.976946098580713,3.0,13.0,6.711477950294217,1.1185796583823695,,0.7222060415378105,"{""genonly_step"": {""generation_add_norm_1"": 0.019540585074626866, ""generation_add_norm_2"": 0.019540585074626866, ""generation_embedding"": 0.0030641910447761194, ""generation_logits_gemm"": 0.6191287242995203, ""generation_mla_block"": 0.7222060415378105, ""generation_moe_overlap"": 7.593465971549352, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.28195357611940297, ""context_add_norm_2"": 0.28195357611940297, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.013998065671641791, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 6.711477950294217, ""context_moe"": 27.29593341350555, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.12972881201825112, ""context_shared_act_gate"": 0.07456148059701494, ""context_shared_ffn2_gemm"": 0.3540690722808339, ""context_shared_gate_up_gemm"": 0.7652926529155059, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 8.976946098580713, ""mix_step_latency_ms"": 36.545333337024125, ""num_genonly_steps"": 13.0, ""num_mix_steps"": 3.0}}",ok
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,strict_prefix0,8,512,4,512,0,7,1,3584,512,observed_first_batch,8,512,0,3584,16,observed first formal mixed batch: batch=req_count; ctx_tokens=prefill_req_count*observed_isl,deepseek-ai/DeepSeek-V3,8,39.72096540637258,8,8,93.19666429123085,10.240787513400708,39.72096540637258,39.72096540637258,595.8144810955887,595.8144810955887,97.64874026449995,246.80847699224148,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,75.28055686950684,0.07142857142857142,7.0,1.0,3585.0,1.0,sglang,0.5.9,h100_sxm,0.0,False,False,47.79316117499018,7.55847510900146,2.0,14.0,12.928796785340364,2.154799464223394,,0.681078587833909,"{""genonly_step"": {""generation_add_norm_1"": 0.019027056716417908, ""generation_add_norm_2"": 0.019027056716417908, ""generation_embedding"": 0.0030427940298507466, ""generation_logits_gemm"": 0.6416549181844626, ""generation_mla_block"": 0.681078587833909, ""generation_moe_overlap"": 6.1946446955204015, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.47824979104477616, ""context_add_norm_2"": 0.47824979104477616, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.02217707462686567, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 12.928796785340364, ""context_moe"": 31.2588526815176, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.1572213371594747, ""context_shared_act_gate"": 0.11662495522388061, ""context_shared_ffn2_gemm"": 0.5886240005493164, ""context_shared_gate_up_gemm"": 1.128000020980835, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 7.55847510900146, ""mix_step_latency_ms"": 47.79316117499018, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,strict_prefix0,8,512,8,512,0,7,1,3584,512,intended_case,16,512,0,4096,16,case design: decode_batch + prefill_batch; ctx_tokens=prefill_batch*total_isl,deepseek-ai/DeepSeek-V3,16,63.59657846337645,16,16,102.7019207888186,13.261214007310292,63.59657846337645,63.59657846337645,953.9486769506468,953.9486769506468,75.40787739710304,301.620130898473,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,75.77228088378907,0.125,8.0,8.0,4104.0,8.0,sglang,0.5.9,h100_sxm,0.0,False,False,52.66765168657364,10.446468458791482,2.0,14.0,15.123905113688574,2.520650852281429,,0.7700037075786804,"{""genonly_step"": {""generation_add_norm_1"": 0.02005411343283582, ""generation_add_norm_2"": 0.02005411343283582, ""generation_embedding"": 0.0030855880597014927, ""generation_logits_gemm"": 0.6401090203493711, ""generation_mla_block"": 0.7700037075786804, ""generation_moe_overlap"": 8.993161915938058, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.544880095522388, ""context_add_norm_2"": 0.544880095522388, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.024953337313432838, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 15.123905113688574, ""context_moe"": 33.34626763343811, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.22145772315318285, ""context_shared_act_gate"": 0.1309028776119403, ""context_shared_ffn2_gemm"": 0.6651762083464978, ""context_shared_gate_up_gemm"": 1.4288638644748264, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 10.446468458791482, ""mix_step_latency_ms"": 52.66765168657364, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,strict_prefix0,8,512,8,512,0,7,1,3584,512,observed_first_batch,8,512,0,3584,16,observed first formal mixed batch: batch=req_count; ctx_tokens=prefill_req_count*observed_isl,deepseek-ai/DeepSeek-V3,8,39.72096540637258,8,8,93.19666429123085,10.240787513400708,39.72096540637258,39.72096540637258,595.8144810955887,595.8144810955887,97.64874026449995,246.80847699224148,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,75.28055686950684,0.07142857142857142,7.0,1.0,3585.0,1.0,sglang,0.5.9,h100_sxm,0.0,False,False,47.79316117499018,7.55847510900146,2.0,14.0,12.928796785340364,2.154799464223394,,0.681078587833909,"{""genonly_step"": {""generation_add_norm_1"": 0.019027056716417908, ""generation_add_norm_2"": 0.019027056716417908, ""generation_embedding"": 0.0030427940298507466, ""generation_logits_gemm"": 0.6416549181844626, ""generation_mla_block"": 0.681078587833909, ""generation_moe_overlap"": 6.1946446955204015, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.47824979104477616, ""context_add_norm_2"": 0.47824979104477616, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.02217707462686567, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 12.928796785340364, ""context_moe"": 31.2588526815176, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.1572213371594747, ""context_shared_act_gate"": 0.11662495522388061, ""context_shared_ffn2_gemm"": 0.5886240005493164, ""context_shared_gate_up_gemm"": 1.128000020980835, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 7.55847510900146, ""mix_step_latency_ms"": 47.79316117499018, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_mid_b8_isl2048_ctx8192,strict_prefix0,4,2048,4,2048,0,3,1,6144,2048,intended_case,8,2048,0,8192,16,case design: decode_batch + prefill_batch; ctx_tokens=prefill_batch*total_isl,deepseek-ai/DeepSeek-V3,8,26.99423115472379,8,8,183.17251458965177,13.494999593531066,26.99423115472379,26.99423115472379,404.91346732085685,404.91346732085685,74.10152131307643,385.59750849261775,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,79.56798858642578,0.125,4.0,4.0,8196.0,4.0,sglang,0.5.9,h100_sxm,0.0,False,False,93.93462286648808,7.74931221689128,2.0,14.0,39.240671897212366,6.540111982868727,,0.8719156957237287,"{""genonly_step"": {""generation_add_norm_1"": 0.019027056716417908, ""generation_add_norm_2"": 0.019027056716417908, ""generation_embedding"": 0.0030427940298507466, ""generation_logits_gemm"": 0.6416549181844626, ""generation_mla_block"": 0.8719156957237287, ""generation_moe_overlap"": 6.1946446955204015, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 1.0702196059701492, ""context_add_norm_2"": 1.0702196059701492, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.04684248358208955, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 39.240671897212366, ""context_moe"": 47.69870564103126, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.3438353670644574, ""context_shared_act_gate"": 0.24347562985074628, ""context_shared_ffn2_gemm"": 1.233740202927341, ""context_shared_gate_up_gemm"": 2.3505476953772204, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 7.74931221689128, ""mix_step_latency_ms"": 93.93462286648808, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_mid_b8_isl2048_ctx8192,strict_prefix0,4,2048,4,2048,0,3,1,6144,2048,observed_first_batch,4,2048,0,6144,16,observed first formal mixed batch: batch=req_count; ctx_tokens=prefill_req_count*observed_isl,deepseek-ai/DeepSeek-V3,4,18.773726640499827,4,4,138.76040701935128,9.460302332015958,18.773726640499827,18.773726640499827,281.6058996074974,281.6058996074974,105.70486702266982,280.6649419995906,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,77.6519329071045,0.08333333333333333,3.0,1.0,6145.0,1.0,sglang,0.5.9,h100_sxm,0.0,False,False,71.15918308684681,5.053239420956611,2.0,14.0,26.331035789976475,4.388505964996079,,0.7486070320130367,"{""genonly_step"": {""generation_add_norm_1"": 0.018513528358208957, ""generation_add_norm_2"": 0.018513528358208957, ""generation_embedding"": 0.0030213970149253733, ""generation_logits_gemm"": 0.6415428867649413, ""generation_mla_block"": 0.7486070320130367, ""generation_moe_overlap"": 3.623041048447291, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 0.8069079402985074, ""context_add_norm_2"": 0.8069079402985074, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.03587116417910448, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 26.331035789976475, ""context_moe"": 39.32051694631576, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.27416341074682454, ""context_shared_act_gate"": 0.1870517014925373, ""context_shared_ffn2_gemm"": 0.9390039588879863, ""context_shared_gate_up_gemm"": 1.8213594971488123, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 5.053239420956611, ""mix_step_latency_ms"": 71.15918308684681, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,strict_prefix0,16,2048,1,2048,0,4,1,8191,2048,intended_case,17,2048,0,2048,16,case design: decode_batch + prefill_batch; ctx_tokens=prefill_batch*total_isl,deepseek-ai/DeepSeek-V3,17,27.33511895765677,17,17,98.77403512245225,36.58297597127861,27.33511895765677,27.33511895765677,410.02678436485155,410.02678436485155,27.33511895765677,647.5186746916313,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,73.97867698669434,1.0625,1.0,16.0,2064.0,16.0,sglang,0.5.9,h100_sxm,0.0,False,False,36.58297597127861,0.0,17.0,0.0,6.733880948452432,1.1223134914087387,,,"{""mix_step"": {""context_add_norm_1"": 0.28298063283582087, ""context_add_norm_2"": 0.28298063283582087, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.014040859701492537, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 6.733880948452432, ""context_moe"": 27.31082190513611, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.12965050631878422, ""context_shared_act_gate"": 0.07478156417910448, ""context_shared_ffn2_gemm"": 0.35476361770255893, ""context_shared_gate_up_gemm"": 0.7627105666141885, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 0.0, ""mix_step_latency_ms"": 36.58297597127861, ""num_genonly_steps"": 0.0, ""num_mix_steps"": 17.0}}",ok
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,strict_prefix0,16,2048,1,2048,0,4,1,8191,2048,observed_first_batch,5,2048,0,8192,16,observed first formal mixed batch: batch=req_count; ctx_tokens=prefill_req_count*observed_isl,deepseek-ai/DeepSeek-V3,5,18.67554587543338,5,5,183.0823496584599,11.589427125257407,18.67554587543338,18.67554587543338,280.1331881315007,280.1331881315007,86.28554191610135,356.92375653732097,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,bfloat16,fp8_block,half,79.54529495239258,0.078125,4.0,1.0,8193.0,1.0,sglang,0.5.9,h100_sxm,0.0,False,False,93.88838444023584,5.710930174187519,2.0,14.0,39.20868953677592,6.5347815894626535,,0.7575269312102131,"{""genonly_step"": {""generation_add_norm_1"": 0.018641910447761194, ""generation_add_norm_2"": 0.018641910447761194, ""generation_embedding"": 0.0030267462686567165, ""generation_logits_gemm"": 0.657914713430492, ""generation_mla_block"": 0.7575269312102131, ""generation_moe_overlap"": 4.255177962382635, ""generation_p2p"": 0.0}, ""mix_step"": {""context_add_norm_1"": 1.0698344597014926, ""context_add_norm_2"": 1.0698344597014926, ""context_attention (scaled)"": 0.0, ""context_embedding"": 0.046826435820895525, ""context_logits_gemm"": 0.6363647375022955, ""context_mla_block"": 39.20868953677592, ""context_moe"": 47.686654864847654, ""context_moe_post_dispatch"": 0.0, ""context_moe_pre_dispatch"": 0.0, ""context_p2p"": 0.0, ""context_router_gemm"": 0.3437508377683116, ""context_shared_act_gate"": 0.24339309850746266, ""context_shared_ffn2_gemm"": 1.233331052547631, ""context_shared_gate_up_gemm"": 2.3497049570626887, ""generation_attention"": 0.0}, ""scheduling"": {""genonly_step_latency_ms"": 5.710930174187519, ""mix_step_latency_ms"": 93.88838444023584, ""num_genonly_steps"": 14.0, ""num_mix_steps"": 2.0}}",ok
