tag,mapping,alignment_class,step,phase,aic_query_path,op_name,latency_ms,per_layer_latency_ms,step_count,weighted_latency_ms,energy_wms,source,query_batch_size,query_s,query_prefix,query_error,steps_to_finish_ctx,mix_ctx_tokens,mix_gen_tokens,genonly_tokens,mix_first_pass_batch_size,mix_first_pass_isl,mix_first_pass_prefix,mix_context_second_pass_batch_size,mix_context_second_pass_isl,mix_context_second_pass_prefix,generation_lookup_s
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,4.951944088662494,0.8253240147770824,2.0,9.903888177324989,0.0,persisted_run_agg_csv,,,,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,0.33883734932311665,0.05647289155385277,2.0,0.6776746986462333,0.0,silicon,1.0,1537.0,0.0,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,0.6624687208848841,0.110411453480814,2.0,1.3249374417697681,0.0,silicon,1.0,1537.0,0.0,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,0.38076424832437555,0.06346070805406259,2.0,0.7615284966487511,0.0,silicon,1.0,1537.0,0.0,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,0.28211621583905067,0.04701936930650844,2.0,0.5642324316781013,0.0,silicon,1.0,1537.0,0.0,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,1.847775936126709,0.30796265602111816,2.0,3.695551872253418,0.0,silicon,1.0,1537.0,0.0,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_small_b8_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,1.04867060490267,0.174778434150445,2.0,2.09734120980534,0.0,silicon,3.0,512.0,0.0,,2,1536,1,4,1,1537,0,3,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,12.928796785340364,2.154799464223394,2.0,25.857593570680727,0.0,persisted_run_agg_csv,,,,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,0.6904188158199939,0.11506980263666565,2.0,1.3808376316399877,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,1.3735266246047675,0.22892110410079458,2.0,2.747053249209535,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,0.7734199294856949,0.12890332158094917,2.0,1.5468398589713899,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,0.6317871038918383,0.10529785064863972,2.0,1.2635742077836767,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,4.116847991943359,0.6861413319905599,2.0,8.233695983886719,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,2.257670707505822,0.3762784512509703,2.0,4.515341415011644,0.0,silicon,7.0,512.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,12.928796785340364,2.154799464223394,2.0,25.857593570680727,0.0,persisted_run_agg_csv,,,,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,0.6904188158199939,0.11506980263666565,2.0,1.3808376316399877,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,1.3735266246047675,0.22892110410079458,2.0,2.747053249209535,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,0.7734199294856949,0.12890332158094917,2.0,1.5468398589713899,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,0.6317871038918383,0.10529785064863972,2.0,1.2635742077836767,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,4.116847991943359,0.6861413319905599,2.0,8.233695983886719,0.0,silicon,1.0,3585.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,2.257670707505822,0.3762784512509703,2.0,4.515341415011644,0.0,silicon,7.0,512.0,0.0,,2,3584,1,8,1,3585,0,7,512,0,521
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,26.331035789976475,4.388505964996079,2.0,52.66207157995295,0.0,persisted_run_agg_csv,,,,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.1658524930069705,0.1943087488344951,2.0,2.331704986013941,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.2532696471234193,0.3755449411872365,2.0,4.5065392942468385,0.0,silicon,1.0,6145.0,0.0,,2,6144,1,4,1,6145,0,3,2048,0,2057
