operator_family,display_name,coverage_status,cases,avg_real_ms,avg_aic_ms,avg_ratio,max_ratio
attention,attention,both,12,1.5239237999999997,1.2514917337039397,1.3585779081556677,2.7674947561530634
kv_a_layernorm,kv_a_layernorm,real_only,12,0.008024533333333334,0.0,,
kv_b_proj,kv_b_proj,aic_only,3,0.0,0.10708911707198698,,
kv_b_proj,kv_b_proj,both,9,1.2725829333333332,0.2910266842462407,4.232058396287056,9.43301114307981
mla_concat_k,mla_concat_k,aic_only,12,0.0,0.1879339569413181,,
o_proj,o_proj,both,12,0.7143876499999999,1.2173837182663185,0.6565318365811489,1.2337054268487229
q_a_layernorm,q_a_layernorm,real_only,12,0.00988585,0.0,,
q_b_proj,q_b_proj,both,12,0.24595926666666668,0.3938854543436805,0.6848630557338505,1.1919343134348688
qkv_a_proj,qkv_a_proj,both,12,0.1508478666666667,0.19915691244321318,0.8292965082828005,1.4383609155649535
rotary_emb,rotary_emb,real_only,12,0.05554395,0.0,,
