tag,case_id,case_label,case_full_label,alignment_class,real_stage_values,real_attention_token_count_first_layer,aic_batch_size,aic_isl,aic_prefix,aic_ctx_tokens,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,operator_family,display_name,real_components_json,aic_ops_json,real_gpu_makespan_ms,real_gpu_kernel_time_sum_ms,aic_per_layer_latency_ms,diff_real_minus_aic_ms,ratio_real_to_aic,coverage_status,boundary_note,aic_query_path_json,aic_query_shapes_json,top_real_kernels_json
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,qkv_a_proj,qkv_a_proj,"[""fused_qkv_a_proj_with_mqa""]","[""context_downscale_gemm""]",0.0812284,0.0796988,0.05647289155385277,0.024755508446147233,1.4383609155649535,both,Real fused_qkv_a_proj_with_mqa includes q_a/kv_a projection path and fp8 activation quant kernel. AIC context_downscale_gemm is a standalone SDK GEMM op before context_mla_block; collector fp8 GEMM uses pre-quantized inputs and usually excludes runtime activation quantization.,"[""diagnostic_forced_prefix_ops""]","[""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.059321599999999995}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.0203772}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,q_a_layernorm,q_a_layernorm,"[""q_a_layernorm""]",[],0.0054974,0.0054974,0.0,,,real_only,Real has an explicit q_a RMSNorm child range; ordinary DeepSeekModel MLA path does not model it as a separate SDK op.,[],[],"[{""real_component"": ""q_a_layernorm"", ""kernel_short_name"": ""RMSNormKernel"", ""avg_kernel_gpu_time_ms"": 0.0054974}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,kv_a_layernorm,kv_a_layernorm,"[""kv_a_layernorm""]",[],0.0045376,0.0045376,0.0,,,real_only,Real has an explicit kv_a RMSNorm child range; ordinary DeepSeekModel MLA path does not model it as a separate SDK op.,[],[],"[{""real_component"": ""kv_a_layernorm"", ""kernel_short_name"": ""RMSNormKernel"", ""avg_kernel_gpu_time_ms"": 0.0045376}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,q_b_proj,q_b_proj,"[""q_b_proj""]","[""context_q_b_proj_gemm""]",0.1316032,0.1303232,0.110411453480814,0.021191746519185997,1.1919343134348688,both,"Both sides represent q_b projection, but real fp8 path includes activation quantization plus DeepGEMM kernels.","[""diagnostic_forced_prefix_ops""]","[""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1255552}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.004768}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,kv_b_proj,kv_b_proj,[],"[""context_kv_b_proj_gemm""]",0.0,0.0,0.06346070805406259,,,aic_only,Present as a separate real child mainly for attn_mha/prefill cases; MQA cases often fold or omit this child.,"[""diagnostic_forced_prefix_ops""]","[""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]",[]
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,mla_concat_k,mla_concat_k,[],"[""context_mla_concat_k""]",0.0,0.0,0.04701936930650844,,,aic_only,AIC prefix/granular path models SGLang MLA K concat as a separate op; real trace usually exposes concat_mla_k_kernel inside surrounding child ranges.,"[""diagnostic_forced_prefix_ops""]","[""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]",[]
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,rotary_emb,rotary_emb,"[""rotary_emb""]",[],0.027839999999999997,0.027839999999999997,0.0,,,real_only,Real has an explicit RoPE child range; AIC context MLA path does not expose a separate RoPE SDK op.,[],[],"[{""real_component"": ""rotary_emb"", ""kernel_short_name"": ""BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel"", ""avg_kernel_gpu_time_ms"": 0.027839999999999997}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,attention,attention,"[""attn_mqa""]","[""context_attention""]",0.48369840000000003,0.48212399999999994,0.174778434150445,0.30891996584955506,2.7674947561530634,both,Real attention may be attn_mha or attn_mqa depending on SGLang scheduling/backend choice. AIC context_attention is queried with the second-pass run_agg context-attention shape and scale correction.,"[""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 3, \""s\"": 512, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]""]","[{""real_component"": ""attn_mqa"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.47131460000000003}, {""real_component"": ""attn_mqa"", ""kernel_short_name"": ""set_mla_kv_buffer_kernel"", ""avg_kernel_gpu_time_ms"": 0.0075646}, {""real_component"": ""attn_mqa"", ""kernel_short_name"": ""prepare_varlen_num_blocks_kernel"", ""avg_kernel_gpu_time_ms"": 0.0032448}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,o_proj,o_proj,"[""o_proj""]","[""context_proj_gemm""]",0.3799352,0.378252,0.30796265602111816,0.07197254397888181,1.2337054268487229,both,"Both sides represent output projection, but real fp8 path includes activation quantization plus DeepGEMM kernels.","[""diagnostic_forced_prefix_ops""]","[""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.3369786}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.0412734}]"
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,mla_total,MLA total,"[""attn_mqa"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",1.1143402,1.108273,0.760105512566801,0.35423468743319897,1.4660335724141553,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 3, \""s\"": 512, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mqa"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.47131460000000003}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.3369786}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1255552}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.059321599999999995}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.0412734}]"
