tag,case_id,case_label,case_full_label,alignment_class,real_stage_values,real_attention_token_count_first_layer,aic_batch_size,aic_isl,aic_prefix,aic_ctx_tokens,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,operator_family,display_name,real_components_json,aic_ops_json,real_gpu_makespan_ms,real_gpu_kernel_time_sum_ms,aic_per_layer_latency_ms,diff_real_minus_aic_ms,ratio_real_to_aic,coverage_status,boundary_note,aic_query_path_json,aic_query_shapes_json,top_real_kernels_json
agg_aic_p0_small_b8_isl512_ctx2048,C01,"C01
P4x512+0
D4x512",P b4 ctx2048 | isl512 pre0 | D b4 kv512,strict_prefix0,decode,2052.0,4,512,0,1536,3,1,1536,512,mla_total,MLA total,"[""attn_mqa"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",1.1143402,1.108273,0.760105512566801,0.35423468743319897,1.4660335724141553,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 3, \""s\"": 512, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 1537, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mqa"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.47131460000000003}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.3369786}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1255552}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.059321599999999995}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.0412734}]"
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,C02,"C02
P4x512+0
D8x512",P b4 ctx2048 | isl512 pre0 | D b8 kv512,strict_prefix0,decode,2056.0,8,512,0,3584,7,1,3584,512,mla_total,MLA total,"[""attn_mqa"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",1.1152761999999998,1.1088442,1.6406118622085792,-0.5253356622085794,0.6797928417380961,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 7, \""s\"": 512, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mqa"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.47039980000000003}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.3368704}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1264832}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.0596734}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.0411646}]"
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,C03,"C03
P8x512+0
D8x512",P b8 ctx4096 | isl512 pre0 | D b8 kv512,strict_prefix0,decode,4104.0,8,512,0,3584,7,1,3584,512,mla_total,MLA total,"[""attn_mqa"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",2.1059362,2.0994339999999996,1.6406118622085792,0.4653243377914207,1.2836285342744045,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 7, \""s\"": 512, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 3585, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mqa"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.9184243999999999}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.6304118}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.2284668}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.106272}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""per_token_group_quant_8bit_kernel"", ""avg_kernel_gpu_time_ms"": 0.0811392}]"
agg_aic_p0_mid_b8_isl2048_ctx8192,C04,"C04
P4x2048+0
D4x2048",P b4 ctx8192 | isl2048 pre0 | D b4 kv2048,strict_prefix0,prefill,8192.0,4,2048,0,6144,3,1,6144,2048,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",4.0013048,3.9950200000000002,3.158252379131486,0.843052420868514,1.266936368492613,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 3, \""s\"": 2048, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 6145, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 6145, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 6145, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 6145, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 6145, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 1.3241856}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 1.1010681999999998}, {""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.5473472}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.4265088}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.195296}]"
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,C05,"C05
P1x2048+0
D16x2048",P b1 ctx2048 | isl2048 pre0 | D b16 kv2048,strict_prefix0,prefill,2064.0,5,2048,0,8192,4,1,8191,2048,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",3.0828756,3.0759636000000006,4.156388875830405,-1.0735132758304053,0.74171972163795,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 4, \""s\"": 2048, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 1.2349869999999998}, {""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 1.1882031999999998}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.3366458}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1256062}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.0594688}]"
agg_aic_p0_chunk_b9_isl8192_ctx8192,C06,"C06
P1x8192+0
D8x8192",P b1 ctx8192 | isl8192 pre0 | D b8 kv8192,strict_prefix0,prefill,8192.0,2,8192,0,8192,1,1,8191,8192,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",10.322655000000001,10.3161846,6.5333584040286485,3.7892965959713525,1.579992151300741,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 1, \""s\"": 8192, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 5.2355834}, {""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 2.87703}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 1.1298368}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.4346496}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.19852799999999998}]"
agg_aic_p0_dense_b36_isl1024_ctx4096,C07,"C07
P4x1024+0
D32x1024",P b4 ctx4096 | isl1024 pre0 | D b32 kv1024,strict_prefix0,prefill,4128.0,9,1024,0,8192,8,1,8191,1024,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",3.8261702,3.8190277999999998,3.802913686621421,0.023256513378579147,1.0061154460224524,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 8, \""s\"": 1024, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8193, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 1.321886}, {""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 1.3053998}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.6313397999999999}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.2287226}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.10403180000000001}]"
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,C08,"C08
P8x512+0
D32x512",P b8 ctx4096 | isl512 pre0 | D b32 kv512,strict_prefix0,prefill,4128.0,21,512,0,8192,16,5,8187,2560,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",2.6820412,2.6753785999999997,3.6415429280861695,-0.9595017280861695,0.7365123116671756,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 16, \""s\"": 512, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8197, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8197, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8197, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8197, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8197, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.7972736}, {""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.6992894}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.630336}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.2273342}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1039232}]"
agg_aic_p0_longctx_b8_isl4096_ctx8192,C09,"C09
P2x4096+0
D6x4096",P b2 ctx8192 | isl4096 pre0 | D b6 kv4096,strict_prefix0,prefill,8192.0,4,4096,0,8192,2,2,8190,8192,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",5.916805,5.9101874,4.9226381022808825,0.9941668977191176,1.2019581527349075,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 2, \""s\"": 4096, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8194, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8194, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8194, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8194, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 8194, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 2.5789148}, {""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 1.1825394}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 1.10892}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.42869060000000003}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.1965374}]"
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,C10,"C10
P4x512+512
D8x1024",P b4 ctx4096 | isl1024 pre512 | D b8 kv1024,prefix_probe,prefill,2056.0,8,1024,0,5120,5,3,5120,3072,mla_total,MLA total,"[""attn_mha"", ""fused_qkv_a_proj_with_mqa"", ""kv_a_layernorm"", ""kv_b_proj"", ""o_proj"", ""q_a_layernorm"", ""q_b_proj"", ""rotary_emb""]","[""context_attention"", ""context_downscale_gemm"", ""context_kv_b_proj_gemm"", ""context_mla_concat_k"", ""context_proj_gemm"", ""context_q_b_proj_gemm""]",1.5261304,1.52014,2.4270439227778136,-0.9009135227778136,0.6288021348428277,both,Roll-up of MLA child/operator pieces only; excludes MoE/FFN/embedding/logits and excludes generation-only steps.,"[""diagnostic_forced_prefix_ops"", ""diagnostic_forced_prefix_ops_attention_second_pass""]","[""[{\""batch_size\"": 5, \""s\"": 1024, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops_attention_second_pass\""}]"", ""[{\""batch_size\"": 1, \""s\"": 5123, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 5123, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 5123, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 5123, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]"", ""[{\""batch_size\"": 1, \""s\"": 5123, \""prefix\"": 0, \""path\"": \""diagnostic_forced_prefix_ops\""}]""]","[{""real_component"": ""attn_mha"", ""kernel_short_name"": ""device_kernel"", ""avg_kernel_gpu_time_ms"": 0.48259179999999996}, {""real_component"": ""kv_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.403059}, {""real_component"": ""o_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.33310059999999997}, {""real_component"": ""q_b_proj"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.12541419999999998}, {""real_component"": ""fused_qkv_a_proj_with_mqa"", ""kernel_short_name"": ""sm90_fp8_gemm_1d2d_impl"", ""avg_kernel_gpu_time_ms"": 0.059692800000000004}]"
