case_id,tag,case_label,stage,operator_family,component,corrected_m,n,k,original_aic_query_s,actual_attention_token_count_min,actual_attention_token_count_max,first_prefill_req_count,first_decode_req_count,sum_prefill_fresh_tokens,sum_decode_kv_tokens,real_child_ms,real_gemm_kernel_ms,real_quant_kernel_ms,original_aic_ms,corrected_aic_gemm_ms,original_ratio_child_to_aic,corrected_ratio_child_to_aic,corrected_ratio_gemm_to_aic,child_minus_corrected_aic_ms,gemm_minus_corrected_aic_ms,corrected_shape_exact_in_gemm_perf,nearest_sampled_m_same_nk
C01,agg_aic_p0_small_b8_isl512_ctx2048,"C01
P4x512+0
D4x512",decode,qkv_a_proj,fused_qkv_a_proj_with_mqa,2052,2112,7168,1537.0,2052,2052,3,1,1536,512,0.1086555,0.05944,0.020282333333333333,0.0564728915538527,0.08061300111300897,1.92402933532075,1.3478657102429308,0.7373500450215572,0.028042498886991035,-0.021173001113008967,False,
C01,agg_aic_p0_small_b8_isl512_ctx2048,"C01
P4x512+0
D4x512",decode,q_b_proj,q_b_proj,2052,24576,1536,1537.0,2052,2052,3,1,1536,512,0.15289583333333334,0.12632516666666668,0.004762666666666666,0.110411453480814,0.13606850210403948,1.3847823619123152,1.1236680860676154,0.9283938950843823,0.016827331229293863,-0.009743335437372797,False,
C01,agg_aic_p0_small_b8_isl512_ctx2048,"C01
P4x512+0
D4x512",decode,o_proj,o_proj,2052,7168,16384,1537.0,2052,2052,3,1,1536,512,0.37845799999999996,0.33566350000000006,0.04116783333333334,0.3079626560211181,0.39856920148812086,1.2289087413704074,0.9495415064359399,0.8421711932250348,-0.0201112014881209,-0.0629057014881208,False,"2049,2048,2304,2305"
C02,agg_aic_p0_decode_heavy_b12_isl512_ctx2048,"C02
P4x512+0
D8x512",decode,qkv_a_proj,fused_qkv_a_proj_with_mqa,2056,2112,7168,3585.0,2056,2056,7,1,3584,512,0.10284783333333335,0.059759833333333325,0.020272,0.1150698026366656,0.08050651499912763,0.8937864754845954,1.2775094454709388,0.7422981026315806,0.022341318334205718,-0.020746681665794305,False,
C02,agg_aic_p0_decode_heavy_b12_isl512_ctx2048,"C02
P4x512+0
D8x512",decode,q_b_proj,q_b_proj,2056,24576,1536,3585.0,2056,2056,7,1,3584,512,0.14724266666666666,0.12708266666666665,0.004826666666666667,0.2289211041007945,0.13609792500386772,0.643202675633765,1.0818876677398441,0.9337590316902711,0.01114474166279894,-0.00901525833720107,False,
C02,agg_aic_p0_decode_heavy_b12_isl512_ctx2048,"C02
P4x512+0
D8x512",decode,o_proj,o_proj,2056,7168,16384,3585.0,2056,2056,7,1,3584,512,0.37961583333333326,0.336752,0.041231833333333336,0.6861413319905599,0.3987485828482767,0.5532618654993897,0.9520180125073362,0.8445221236764462,-0.019132749514943426,-0.06199658284827669,False,"2049,2048,2304,2305"
C03,agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,"C03
P8x512+0
D8x512",decode,qkv_a_proj,fused_qkv_a_proj_with_mqa,4104,2112,7168,3585.0,4104,4104,7,1,3584,512,0.17946116666666667,0.10637333333333333,0.038976000000000004,0.1150698026366656,0.14078640588455357,1.5595852478631396,1.2747052212827057,0.7555653734108437,0.0386747607821131,-0.03441307255122024,False,
C03,agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,"C03
P8x512+0
D8x512",decode,q_b_proj,q_b_proj,4104,24576,1536,3585.0,4104,4104,7,1,3584,512,0.263253,0.229541,0.007994666666666667,0.2289211041007945,0.26245321940874633,1.149972611892039,1.003047326274204,0.8745977683836729,0.0007997805912536848,-0.032912219408746335,False,
C03,agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,"C03
P8x512+0
D8x512",decode,o_proj,o_proj,4104,7168,16384,3585.0,4104,4104,7,1,3584,512,0.7131563333333334,0.6303616666666666,0.08114666666666667,0.6861413319905599,0.7918417529602715,1.0393723568064328,0.9006298678583499,0.7960702555909467,-0.07868541962693809,-0.16148008629360489,False,"4097,4096,4352,4353"
C04,agg_aic_p0_mid_b8_isl2048_ctx8192,"C04
P4x2048+0
D4x2048",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,8192,2112,7168,6145.0,8192,8192,3,1,6144,2048,0.28896533333333335,0.19626666666666667,0.073264,0.1943087488344951,0.2456398527120191,1.487145252422284,1.1763780597609614,0.7990017275281626,0.04332548062131425,-0.04937318604535243,False,
C04,agg_aic_p0_mid_b8_isl2048_ctx8192,"C04
P4x2048+0
D4x2048",prefill,q_b_proj,q_b_proj,8192,24576,1536,6145.0,8192,8192,3,1,6144,2048,0.45245866666666673,0.42750400000000005,0.015989333333333335,0.3755449411872365,0.488262538037269,1.2048056491888226,0.9266708613064446,0.875561745364476,-0.03580387137060226,-0.06075853803726894,False,
C04,agg_aic_p0_mid_b8_isl2048_ctx8192,"C04
P4x2048+0
D4x2048",prefill,o_proj,o_proj,8192,7168,16384,6145.0,8192,8192,3,1,6144,2048,1.2615405,1.1004366666666667,0.15978116666666667,1.1501976798568936,1.5217955907185872,1.096803203564938,0.8289815713057129,0.7231172657998332,-0.2602550907185872,-0.42135892405192044,True,"8192,4353,4352,4097"
