tag,real_component,real_layer_count,real_gpu_makespan_ms,real_gpu_kernel_time_sum_ms,real_host_duration_ms,real_first_kernel_name,real_last_kernel_name
agg_aic_p0_chunk_b9_isl8192_ctx8192,attn_mha,5,5.239096999999999,5.239033,0.09207119999999999,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_chunk_b9_isl8192_ctx8192,fused_qkv_a_proj_with_mqa,5,0.27456,0.27307519999999996,0.1493026,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_chunk_b9_isl8192_ctx8192,kv_a_layernorm,5,0.013062399999999998,0.013062399999999998,0.023982,RMSNormKernel,RMSNormKernel
agg_aic_p0_chunk_b9_isl8192_ctx8192,kv_b_proj,5,2.9264956,2.9249276,0.1283966,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_chunk_b9_isl8192_ctx8192,o_proj,5,1.2926016,1.2908928,0.1308282,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_chunk_b9_isl8192_ctx8192,q_a_layernorm,5,0.0177536,0.0177536,0.0285138,RMSNormKernel,RMSNormKernel
agg_aic_p0_chunk_b9_isl8192_ctx8192,q_b_proj,5,0.452608,0.4509632,0.12464979999999999,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_chunk_b9_isl8192_ctx8192,rotary_emb,5,0.1064768,0.1064768,0.04637,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,attn_mqa,5,0.48295659999999996,0.48135659999999997,0.1886784,set_mla_kv_buffer_kernel,device_kernel
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,fused_qkv_a_proj_with_mqa,5,0.0817022,0.0798846,0.1553974,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,kv_a_layernorm,5,0.0045888,0.0045888,0.019634000000000002,RMSNormKernel,RMSNormKernel
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,o_proj,5,0.37976299999999996,0.378035,0.1849634,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,q_a_layernorm,5,0.0054464,0.0054464,0.0331336,RMSNormKernel,RMSNormKernel
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,q_b_proj,5,0.13260160000000001,0.13131520000000002,0.1302684,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b12_isl512_ctx2048,rotary_emb,5,0.0282176,0.0282176,0.0591726,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,attn_mha,5,1.1917424,1.1916848,0.151733,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,fused_qkv_a_proj_with_mqa,5,0.0817728,0.0798208,0.26193500000000003,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,kv_a_layernorm,5,0.0052224,0.0052224,0.041142,RMSNormKernel,RMSNormKernel
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,kv_b_proj,5,1.2606443999999999,1.258686,0.23412260000000001,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,o_proj,5,0.379385,0.3779194,0.24005459999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,q_a_layernorm,5,0.005568,0.005568,0.048287800000000006,RMSNormKernel,RMSNormKernel
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,q_b_proj,5,0.13200620000000002,0.1305278,0.21989999999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,rotary_emb,5,0.026534400000000003,0.026534400000000003,0.0763824,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_dense_b36_isl1024_ctx4096,attn_mha,5,1.3256044,1.3255596,0.18375740000000002,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_dense_b36_isl1024_ctx4096,fused_qkv_a_proj_with_mqa,5,0.14535019999999998,0.14312940000000002,0.29846019999999995,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_b36_isl1024_ctx4096,kv_a_layernorm,5,0.0085376,0.0085376,0.0469392,RMSNormKernel,RMSNormKernel
agg_aic_p0_dense_b36_isl1024_ctx4096,kv_b_proj,5,1.3322606000000001,1.3304238,0.257986,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_b36_isl1024_ctx4096,o_proj,5,0.7142326,0.7125366,0.259098,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_b36_isl1024_ctx4096,q_a_layernorm,5,0.0094464,0.0094464,0.060867199999999996,RMSNormKernel,RMSNormKernel
agg_aic_p0_dense_b36_isl1024_ctx4096,q_b_proj,5,0.237881,0.236537,0.23697340000000003,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_b36_isl1024_ctx4096,rotary_emb,5,0.0528574,0.0528574,0.1005028,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,attn_mha,5,0.8010303999999999,0.8009789999999999,0.14043540000000002,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,fused_qkv_a_proj_with_mqa,5,0.1448704,0.14313599999999999,0.2511714,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,kv_a_layernorm,5,0.008224,0.008224,0.041865200000000005,RMSNormKernel,RMSNormKernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,kv_b_proj,5,0.715571,0.7138622,0.2245554,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,o_proj,5,0.7136064,0.711776,0.22484960000000004,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,q_a_layernorm,5,0.00944,0.00944,0.0505888,RMSNormKernel,RMSNormKernel
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,q_b_proj,5,0.23651819999999998,0.2351806,0.21422400000000003,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,rotary_emb,5,0.052780799999999996,0.052780799999999996,0.07823279999999999,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,attn_mha,5,2.5825692,2.5825115999999997,0.1414582,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,fused_qkv_a_proj_with_mqa,5,0.2718588,0.2703612,0.24990679999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,kv_a_layernorm,5,0.0132736,0.0132736,0.0405826,RMSNormKernel,RMSNormKernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,kv_b_proj,5,1.2071538,1.2056882,0.221896,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,o_proj,5,1.2710384,1.2691824,0.222068,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,q_a_layernorm,5,0.0178368,0.0178368,0.048361600000000005,RMSNormKernel,RMSNormKernel
agg_aic_p0_longctx_b8_isl4096_ctx8192,q_b_proj,5,0.44658499999999995,0.4448442,0.2173624,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_longctx_b8_isl4096_ctx8192,rotary_emb,5,0.1064894,0.1064894,0.0771776,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_p0_mid_b8_isl2048_ctx8192,attn_mha,5,1.3274176,1.3273408,0.1191496,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_p0_mid_b8_isl2048_ctx8192,fused_qkv_a_proj_with_mqa,5,0.27072640000000003,0.268736,0.181962,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_p0_mid_b8_isl2048_ctx8192,kv_a_layernorm,5,0.0131712,0.0131712,0.028717800000000005,RMSNormKernel,RMSNormKernel
