kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,step,s_total,latency_ms
flash_attention,bfloat16,bfloat16,128,1,1,511,512,0.019358399510383605
flash_attention,bfloat16,fp8,128,1,1,511,512,0.025619199872016905
flash_attention,bfloat16,bfloat16,128,1,1,1023,1024,0.02128800004720688
flash_attention,bfloat16,fp8,128,1,1,1023,1024,0.026756799221038817
flash_attention,bfloat16,bfloat16,128,2,1,16383,16384,0.043017598986625674
flash_attention,bfloat16,fp8,128,2,1,16383,16384,0.10484960079193115
flash_attention,bfloat16,bfloat16,128,2,1,32767,32768,0.05868160128593445
flash_attention,bfloat16,fp8,128,2,1,32767,32768,0.1782431960105896
flash_attention,bfloat16,bfloat16,128,4,1,511,512,0.020395199954509734
flash_attention,bfloat16,fp8,128,4,1,511,512,0.02906239926815033
flash_attention,bfloat16,bfloat16,128,4,1,1023,1024,0.02234079986810684
flash_attention,bfloat16,fp8,128,4,1,1023,1024,0.034222400188446044
flash_attention,bfloat16,bfloat16,128,4,1,2047,2048,0.025996801257133485
flash_attention,bfloat16,fp8,128,4,1,2047,2048,0.044435200095176694
flash_attention,bfloat16,bfloat16,128,4,1,4095,4096,0.030139198899269103
flash_attention,bfloat16,fp8,128,4,1,4095,4096,0.06599199771881104
flash_attention,bfloat16,bfloat16,128,4,1,8191,8192,0.04246560037136078
flash_attention,bfloat16,fp8,128,4,1,8191,8192,0.10372960567474365
flash_attention,bfloat16,bfloat16,128,4,1,16383,16384,0.05798239707946777
flash_attention,bfloat16,fp8,128,4,1,16383,16384,0.17855360507965087
flash_attention,bfloat16,bfloat16,128,8,1,4095,4096,0.04188799858093262
flash_attention,bfloat16,fp8,128,8,1,4095,4096,0.10447200536727905
flash_attention,bfloat16,bfloat16,128,8,1,8191,8192,0.05715360045433045
flash_attention,bfloat16,fp8,128,8,1,8191,8192,0.1771167993545532
flash_attention,bfloat16,bfloat16,128,16,1,2047,2048,0.043881601095199584
flash_attention,bfloat16,fp8,128,16,1,2047,2048,0.10638079643249512
flash_attention,bfloat16,bfloat16,128,16,1,4095,4096,0.05928959846496582
flash_attention,bfloat16,fp8,128,16,1,4095,4096,0.17932800054550171
flash_attention,bfloat16,bfloat16,128,32,1,511,512,0.0391184002161026
flash_attention,bfloat16,fp8,128,32,1,511,512,0.07193920016288757
flash_attention,bfloat16,bfloat16,128,32,1,1023,1024,0.04716959893703461
flash_attention,bfloat16,fp8,128,32,1,1023,1024,0.11015679836273193
