tag,aic_model,op_name,op_order,latency_ms,source,batch_size,kv_len,s,tp_size,num_heads,x_tokens,gemm_quant_mode,bmm_quant_mode,kvcache_quant_mode
decode_b1p512_cg_on,DeepSeekModel_fallback,generation_downscale_gemm,1,0.01984755316515154,silicon,1,512,513,1,128,1,fp8_block,fp8,fp8
decode_b1p512_cg_on,DeepSeekModel_fallback,generation_q_b_proj_gemm,2,0.018524234980539556,silicon,1,512,513,1,128,1,fp8_block,fp8,fp8
decode_b1p512_cg_on,DeepSeekModel_fallback,generation_bmm_pre,3,0.009151999652385712,silicon,1,512,513,1,128,1,fp8_block,fp8,fp8
decode_b1p512_cg_on,DeepSeekModel_fallback,generation_attention,4,0.025621421745745464,silicon,1,512,513,1,128,1,fp8_block,fp8,fp8
decode_b1p512_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.008848000317811966,silicon,1,512,513,1,128,1,fp8_block,fp8,fp8
decode_b1p512_cg_on,DeepSeekModel_fallback,generation_proj_gemm,6,0.024912888805071514,silicon,1,512,513,1,128,1,fp8_block,fp8,fp8
decode_b4p512_cg_on,DeepSeekModel_fallback,generation_downscale_gemm,1,0.016420756338911404,silicon,4,512,513,1,128,4,fp8_block,fp8,fp8
decode_b4p512_cg_on,DeepSeekModel_fallback,generation_q_b_proj_gemm,2,0.01981892840924606,silicon,4,512,513,1,128,4,fp8_block,fp8,fp8
decode_b4p512_cg_on,DeepSeekModel_fallback,generation_bmm_pre,3,0.009644799679517747,silicon,4,512,513,1,128,4,fp8_block,fp8,fp8
decode_b4p512_cg_on,DeepSeekModel_fallback,generation_attention,4,0.029072477394947782,silicon,4,512,513,1,128,4,fp8_block,fp8,fp8
decode_b4p512_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.009667199850082398,silicon,4,512,513,1,128,4,fp8_block,fp8,fp8
decode_b4p512_cg_on,DeepSeekModel_fallback,generation_proj_gemm,6,0.024686222275098164,silicon,4,512,513,1,128,4,fp8_block,fp8,fp8
decode_b32p512_cg_on,DeepSeekModel_fallback,generation_downscale_gemm,1,0.013539231671417188,silicon,32,512,513,1,128,32,fp8_block,fp8,fp8
decode_b32p512_cg_on,DeepSeekModel_fallback,generation_q_b_proj_gemm,2,0.019430902074365056,silicon,32,512,513,1,128,32,fp8_block,fp8,fp8
decode_b32p512_cg_on,DeepSeekModel_fallback,generation_bmm_pre,3,0.015324799716472626,silicon,32,512,513,1,128,32,fp8_block,fp8,fp8
decode_b32p512_cg_on,DeepSeekModel_fallback,generation_attention,4,0.07201384390937164,silicon,32,512,513,1,128,32,fp8_block,fp8,fp8
decode_b32p512_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.015337599813938141,silicon,32,512,513,1,128,32,fp8_block,fp8,fp8
decode_b32p512_cg_on,DeepSeekModel_fallback,generation_proj_gemm,6,0.024559110403060913,silicon,32,512,513,1,128,32,fp8_block,fp8,fp8
decode_b4p2048_cg_on,DeepSeekModel_fallback,generation_downscale_gemm,1,0.016420756338911404,silicon,4,2048,2049,1,128,4,fp8_block,fp8,fp8
decode_b4p2048_cg_on,DeepSeekModel_fallback,generation_q_b_proj_gemm,2,0.01981892840924606,silicon,4,2048,2049,1,128,4,fp8_block,fp8,fp8
decode_b4p2048_cg_on,DeepSeekModel_fallback,generation_bmm_pre,3,0.009644799679517747,silicon,4,2048,2049,1,128,4,fp8_block,fp8,fp8
decode_b4p2048_cg_on,DeepSeekModel_fallback,generation_attention,4,0.04444572587526636,silicon,4,2048,2049,1,128,4,fp8_block,fp8,fp8
decode_b4p2048_cg_on,DeepSeekModel_fallback,generation_bmm_post,5,0.009667199850082398,silicon,4,2048,2049,1,128,4,fp8_block,fp8,fp8
