tag,aic_model,op_name,op_order,include_policy,latency_ms,source,batch_size,kv_len,s,tp_size,x_tokens,gemm_quant_mode,kvcache_quant_mode,fmha_quant_mode,attention_backend
decode_b1p512_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.01984755316515154,silicon,1,512,513,1,1,fp8_block,fp8,fp8_block,fa3
decode_b1p512_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.01984755316515154,silicon,1,512,513,1,1,fp8_block,fp8,fp8_block,fa3
decode_b1p512_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.11280273437499999,silicon,1,512,513,1,1,fp8_block,fp8,fp8_block,fa3
decode_b4p512_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.016420756338911404,silicon,4,512,513,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p512_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.016420756338911404,silicon,4,512,513,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p512_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.114306640625,silicon,4,512,513,1,4,fp8_block,fp8,fp8_block,fa3
decode_b32p512_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.013539231671417188,silicon,32,512,513,1,32,fp8_block,fp8,fp8_block,fa3
decode_b32p512_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.013539231671417188,silicon,32,512,513,1,32,fp8_block,fp8,fp8_block,fa3
decode_b32p512_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.13641640625,silicon,32,512,513,1,32,fp8_block,fp8,fp8_block,fa3
decode_b4p2048_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.016420756338911404,silicon,4,2048,2049,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p2048_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.016420756338911404,silicon,4,2048,2049,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p2048_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.121602392578125,silicon,4,2048,2049,1,4,fp8_block,fp8,fp8_block,fa3
decode_b16p2048_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.012792711337544525,silicon,16,2048,2049,1,16,fp8_block,fp8,fp8_block,fa3
decode_b16p2048_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.012792711337544525,silicon,16,2048,2049,1,16,fp8_block,fp8,fp8_block,fa3
decode_b16p2048_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.14020703125,silicon,16,2048,2049,1,16,fp8_block,fp8,fp8_block,fa3
decode_b4p4096_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.016420756338911404,silicon,4,4096,4097,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p4096_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.016420756338911404,silicon,4,4096,4097,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p4096_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.12650258789062502,silicon,4,4096,4097,1,4,fp8_block,fp8,fp8_block,fa3
decode_b8p4096_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.012985891592101177,silicon,8,4096,4097,1,8,fp8_block,fp8,fp8_block,fa3
decode_b8p4096_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.012985891592101177,silicon,8,4096,4097,1,8,fp8_block,fp8,fp8_block,fa3
decode_b8p4096_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.13810361328125,silicon,8,4096,4097,1,8,fp8_block,fp8,fp8_block,fa3
decode_b4p8192_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.016420756338911404,silicon,4,8192,8193,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p8192_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.016420756338911404,silicon,4,8192,8193,1,4,fp8_block,fp8,fp8_block,fa3
decode_b4p8192_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.13710201416015627,silicon,4,8192,8193,1,4,fp8_block,fp8,fp8_block,fa3
decode_b2p16384_cg_on,WideEPDeepSeekModel,generation_qkv_a_proj_gemm,1,sdk_current_duplicate_diagnostic,0.01695322932714086,silicon,2,16384,16385,1,2,fp8_block,fp8,fp8_block,fa3
decode_b2p16384_cg_on,WideEPDeepSeekModel,generation_downscale_gemm,2,dedup_module_aligned,0.01695322932714086,silicon,2,16384,16385,1,2,fp8_block,fp8,fp8_block,fa3
decode_b2p16384_cg_on,WideEPDeepSeekModel,wideep_generation_mla,3,dedup_module_aligned,0.13680111083984375,silicon,2,16384,16385,1,2,fp8_block,fp8,fp8_block,fa3
