tag,batch_size,kv_len,s,tp_size,num_heads,op_name,op_label,op_order,real_kernel_ms,real_with_support_ms,real_components_json,aic_latency_ms,aic_source,delta_ms,gap_pct,delta_vs_support_ms,gap_vs_support_pct,aic_corrected_op_latency_ms,corrected_delta_ms,corrected_gap_pct,aic_attention_s_eq_kv_len_ms,attention_s_eq_kv_len_delta_vs_aic_ms,attention_s_eq_kv_len_gap_pct,aic_combined_diagnostic_latency_ms,diagnostic_note,trace_query_kind,trace_database_file,trace_lookup_method,trace_axis_x,trace_axis_y,trace_axis_z,trace_x,trace_y,trace_z,trace_x_left,trace_x_right,trace_neighbor_latencies_json,trace_quant_mode_lookup,aic_attention_s_eq_kv_len_source,attention_s_eq_kv_len_trace_lookup_method,attention_s_eq_kv_len_trace_x,attention_s_eq_kv_len_trace_y,attention_s_eq_kv_len_trace_z,trace_y_left,trace_y_right,trace_z_left,trace_z_right,aic_corrected_source,corrected_trace_lookup_method,corrected_trace_x,corrected_trace_y,corrected_trace_z,corrected_trace_neighbor_latencies_json
decode_b1p512_cg_on,1,512,513,1,128,generation_downscale_gemm,downscale GEMM,1,0.0152704,0.0152704,"[""qkv_downscale_quant"", ""qkv_downscale_gemm""]",0.01984755316515154,silicon,0.004577153165151539,29.974022718144504,0.004577153165151539,29.974022718144504,0.01984755316515154,0.004577153165151539,29.974022718144504,,,,0.01984755316515154,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,1,2112,7168,1,1,{},,,,,,,,,,,,,,,,
decode_b1p512_cg_on,1,512,513,1,128,generation_q_b_proj_gemm,q_b GEMM,2,0.0184064,0.0184064,"[""q_b_proj_quant"", ""q_b_proj_gemm""]",0.018524234980539556,silicon,0.00011783498053955649,0.6401848299480425,0.00011783498053955649,0.6401848299480425,0.018524234980539556,0.00011783498053955649,0.6401848299480425,,,,0.018524234980539556,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,1,24576,1536,1,1,"{""1"": 0.018524234980539556}",,,,,,,,,,,,,,,,
decode_b1p512_cg_on,1,512,513,1,128,generation_bmm_pre,q_w_kc BMM,3,0.0081408,0.0081408,"[""q_w_kc_bmm""]",0.009151999652385712,silicon,0.0010111996523857122,12.421379377772606,0.0010111996523857122,12.421379377772606,0.009151999652385712,0.0010111996523857122,12.421379377772606,,,,0.009151999652385712,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,1,128,1,1,1,"{""1"": 0.009151999652385712}",fp8,,,,,,,,,,,,,,,
decode_b1p512_cg_on,1,512,513,1,128,generation_attention,attention,4,0.0206976,0.0238208,"[""fa3_prepare"", ""fa3_attention"", ""fa3_combine""]",0.025621421745745464,silicon,0.004923821745745464,23.7893366658234,0.0018006217457454642,7.559031374871811,0.025621421745745464,0.004923821745745464,23.7893366658234,0.025619199872016905,-2.221873728558421e-06,23.77860173168341,0.025619199872016905,attention_query_s_changed_from_kv_len_plus_1_to_kv_len,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,1,513,128,128,{},,silicon,exact,128.0,1.0,512.0,1.0,1.0,512.0,1024.0,,,,,,
decode_b1p512_cg_on,1,512,513,1,128,generation_bmm_post,s_w_vc BMM,5,0.0079423999999999,0.0079423999999999,"[""s_w_vc_bmm""]",0.008848000317811966,silicon,0.0009056003178120661,11.402099086070677,0.0009056003178120661,11.402099086070677,0.008848000317811966,0.0009056003178120661,11.402099086070677,,,,0.008848000317811966,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,1,128,0,1,1,"{""1"": 0.008848000317811966}",fp8,,,,,,,,,,,,,,,
decode_b1p512_cg_on,1,512,513,1,128,generation_proj_gemm,o_proj GEMM,6,0.0471098,0.0471098,"[""o_proj_quant"", ""o_proj_gemm""]",0.024912888805071514,silicon,-0.022196911194928486,-47.11739636960566,-0.022196911194928486,-47.11739636960566,0.05060977737108866,0.003499977371088661,7.429404011667766,,,,0.05060977737108866,o_proj_shape_corrected_to_7168x16384_over_tp,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,1,7168,7168,1,1,"{""1"": 0.024912888805071514}",,,,,,,,,,,silicon,exact,1.0,7168.0,16384.0,"{""1"": 0.05060977737108866}"
decode_b4p512_cg_on,4,512,513,1,128,generation_downscale_gemm,downscale GEMM,1,0.015219199999999999,0.015219199999999999,"[""qkv_downscale_quant"", ""qkv_downscale_gemm""]",0.016420756338911404,silicon,0.0012015563389114053,7.895003278171029,0.0012015563389114053,7.895003278171029,0.016420756338911404,0.0012015563389114053,7.895003278171029,,,,0.016420756338911404,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,4,2112,7168,4,4,{},,,,,,,,,,,,,,,,
decode_b4p512_cg_on,4,512,513,1,128,generation_q_b_proj_gemm,q_b GEMM,2,0.0189888,0.0189888,"[""q_b_proj_quant"", ""q_b_proj_gemm""]",0.01981892840924606,silicon,0.0008301284092460601,4.37167387747546,0.0008301284092460601,4.37167387747546,0.01981892840924606,0.0008301284092460601,4.37167387747546,,,,0.01981892840924606,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,24576,1536,4,4,"{""4"": 0.01981892840924606}",,,,,,,,,,,,,,,,
decode_b4p512_cg_on,4,512,513,1,128,generation_bmm_pre,q_w_kc BMM,3,0.0082112,0.0082112,"[""q_w_kc_bmm""]",0.009644799679517747,silicon,0.0014335996795177466,17.45907637760311,0.0014335996795177466,17.45907637760311,0.009644799679517747,0.0014335996795177466,17.45907637760311,,,,0.009644799679517747,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,1,4,4,"{""4"": 0.009644799679517747}",fp8,,,,,,,,,,,,,,,
decode_b4p512_cg_on,4,512,513,1,128,generation_attention,attention,4,0.0215616,0.0248447999999999,"[""fa3_prepare"", ""fa3_attention"", ""fa3_combine""]",0.029072477394947782,silicon,0.007510877394947782,34.83450854736097,0.0042276773949478826,17.016347062354697,0.029072477394947782,0.007510877394947782,34.83450854736097,0.02906239926815033,-1.0078126797451181e-05,34.787767457657736,0.02906239926815033,attention_query_s_changed_from_kv_len_plus_1_to_kv_len,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,4,513,128,128,{},,silicon,exact,128.0,4.0,512.0,4.0,4.0,512.0,1024.0,,,,,,
decode_b4p512_cg_on,4,512,513,1,128,generation_bmm_post,s_w_vc BMM,5,0.0082624,0.0082624,"[""s_w_vc_bmm""]",0.009667199850082398,silicon,0.0014047998500823985,17.002321965559627,0.0014047998500823985,17.002321965559627,0.009667199850082398,0.0014047998500823985,17.002321965559627,,,,0.009667199850082398,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,0,4,4,"{""4"": 0.009667199850082398}",fp8,,,,,,,,,,,,,,,
decode_b4p512_cg_on,4,512,513,1,128,generation_proj_gemm,o_proj GEMM,6,0.048812400000000006,0.048812400000000006,"[""o_proj_quant"", ""o_proj_gemm""]",0.024686222275098164,silicon,-0.024126177724901842,-49.426329631204034,-0.024126177724901842,-49.426329631204034,0.0497573349210951,0.0009449349210950975,1.9358501550735006,,,,0.0497573349210951,o_proj_shape_corrected_to_7168x16384_over_tp,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,7168,4,4,"{""4"": 0.024686222275098164}",,,,,,,,,,,silicon,exact,4.0,7168.0,16384.0,"{""4"": 0.0497573349210951}"
decode_b32p512_cg_on,32,512,513,1,128,generation_downscale_gemm,downscale GEMM,1,0.0120319999999999,0.0120319999999999,"[""qkv_downscale_quant"", ""qkv_downscale_gemm""]",0.013539231671417188,silicon,0.0015072316714172876,12.52685897122091,0.0015072316714172876,12.52685897122091,0.013539231671417188,0.0015072316714172876,12.52685897122091,,,,0.013539231671417188,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,32,2112,7168,32,32,{},,,,,,,,,,,,,,,,
decode_b32p512_cg_on,32,512,513,1,128,generation_q_b_proj_gemm,q_b GEMM,2,0.0196992,0.0196992,"[""q_b_proj_quant"", ""q_b_proj_gemm""]",0.019430902074365056,silicon,-0.00026829792563494437,-1.3619737128154663,-0.00026829792563494437,-1.3619737128154663,0.019430902074365056,-0.00026829792563494437,-1.3619737128154663,,,,0.019430902074365056,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,32,24576,1536,32,32,"{""32"": 0.019430902074365056}",,,,,,,,,,,,,,,,
decode_b32p512_cg_on,32,512,513,1,128,generation_bmm_pre,q_w_kc BMM,3,0.0086848,0.0086848,"[""q_w_kc_bmm""]",0.015324799716472626,silicon,0.006639999716472627,76.45541309497774,0.006639999716472627,76.45541309497774,0.015324799716472626,0.006639999716472627,76.45541309497774,,,,0.015324799716472626,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,32,128,1,32,32,"{""32"": 0.015324799716472626}",fp8,,,,,,,,,,,,,,,
decode_b32p512_cg_on,32,512,513,1,128,generation_attention,attention,4,0.0368128,0.040544,"[""fa3_prepare"", ""fa3_attention"", ""fa3_combine""]",0.07201384390937164,silicon,0.03520104390937164,95.62175088385465,0.031469843909371645,77.61899148917632,0.07201384390937164,0.03520104390937164,95.62175088385465,0.07193920016288757,-7.464374648406824e-05,95.41898514344894,0.07193920016288757,attention_query_s_changed_from_kv_len_plus_1_to_kv_len,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,32,513,128,128,{},,silicon,exact,128.0,32.0,512.0,32.0,32.0,512.0,1024.0,,,,,,
decode_b32p512_cg_on,32,512,513,1,128,generation_bmm_post,s_w_vc BMM,5,0.009856,0.009856,"[""s_w_vc_bmm""]",0.015337599813938141,silicon,0.005481599813938141,55.616881229080164,0.005481599813938141,55.616881229080164,0.015337599813938141,0.005481599813938141,55.616881229080164,,,,0.015337599813938141,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,32,128,0,32,32,"{""32"": 0.015337599813938141}",fp8,,,,,,,,,,,,,,,
decode_b32p512_cg_on,32,512,513,1,128,generation_proj_gemm,o_proj GEMM,6,0.0520256,0.0520256,"[""o_proj_quant"", ""o_proj_gemm""]",0.024559110403060913,silicon,-0.027466489596939085,-52.7941813202329,-0.027466489596939085,-52.7941813202329,0.05567200316323174,0.00364640316323174,7.0088632581493355,,,,0.05567200316323174,o_proj_shape_corrected_to_7168x16384_over_tp,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,32,7168,7168,32,32,"{""32"": 0.024559110403060913}",,,,,,,,,,,silicon,exact,32.0,7168.0,16384.0,"{""32"": 0.05567200316323174}"
decode_b4p2048_cg_on,4,2048,2049,1,128,generation_downscale_gemm,downscale GEMM,1,0.015161599999999999,0.015161599999999999,"[""qkv_downscale_quant"", ""qkv_downscale_gemm""]",0.016420756338911404,silicon,0.001259156338911405,8.304904092651205,0.001259156338911405,8.304904092651205,0.016420756338911404,0.001259156338911405,8.304904092651205,,,,0.016420756338911404,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,4,2112,7168,4,4,{},,,,,,,,,,,,,,,,
decode_b4p2048_cg_on,4,2048,2049,1,128,generation_q_b_proj_gemm,q_b GEMM,2,0.0183744,0.0183744,"[""q_b_proj_quant"", ""q_b_proj_gemm""]",0.01981892840924606,silicon,0.0014445284092460611,7.861635804412995,0.0014445284092460611,7.861635804412995,0.01981892840924606,0.0014445284092460611,7.861635804412995,,,,0.01981892840924606,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,24576,1536,4,4,"{""4"": 0.01981892840924606}",,,,,,,,,,,,,,,,
decode_b4p2048_cg_on,4,2048,2049,1,128,generation_bmm_pre,q_w_kc BMM,3,0.0083008,0.0083008,"[""q_w_kc_bmm""]",0.009644799679517747,silicon,0.0013439996795177461,16.191206624876468,0.0013439996795177461,16.191206624876468,0.009644799679517747,0.0013439996795177461,16.191206624876468,,,,0.009644799679517747,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,1,4,4,"{""4"": 0.009644799679517747}",fp8,,,,,,,,,,,,,,,
decode_b4p2048_cg_on,4,2048,2049,1,128,generation_attention,attention,4,0.0267073999999999,0.0299137999999999,"[""fa3_prepare"", ""fa3_attention"", ""fa3_combine""]",0.04444572587526636,silicon,0.01773832587526646,66.41726965285474,0.014531925875266458,48.579337547441334,0.04444572587526636,0.01773832587526646,66.41726965285474,0.044435200095176694,-1.0525780089663817e-05,66.37785817854551,0.044435200095176694,attention_query_s_changed_from_kv_len_plus_1_to_kv_len,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,4,2049,128,128,{},,silicon,exact,128.0,4.0,2048.0,4.0,4.0,2048.0,4096.0,,,,,,
decode_b4p2048_cg_on,4,2048,2049,1,128,generation_bmm_post,s_w_vc BMM,5,0.0087168,0.0087168,"[""s_w_vc_bmm""]",0.009667199850082398,silicon,0.0009503998500823979,10.903081980570828,0.0009503998500823979,10.903081980570828,0.009667199850082398,0.0009503998500823979,10.903081980570828,,,,0.009667199850082398,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,0,4,4,"{""4"": 0.009667199850082398}",fp8,,,,,,,,,,,,,,,
decode_b4p2048_cg_on,4,2048,2049,1,128,generation_proj_gemm,o_proj GEMM,6,0.0506232,0.0506232,"[""o_proj_quant"", ""o_proj_gemm""]",0.024686222275098164,silicon,-0.025936977724901836,-51.23535794833561,-0.025936977724901836,-51.23535794833561,0.0497573349210951,-0.0008658650789048969,-1.7104115877797075,,,,0.0497573349210951,o_proj_shape_corrected_to_7168x16384_over_tp,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,7168,4,4,"{""4"": 0.024686222275098164}",,,,,,,,,,,silicon,exact,4.0,7168.0,16384.0,"{""4"": 0.0497573349210951}"
decode_b16p2048_cg_on,16,2048,2049,1,128,generation_downscale_gemm,downscale GEMM,1,0.011475200000000001,0.011475200000000001,"[""qkv_downscale_quant"", ""qkv_downscale_gemm""]",0.012792711337544525,silicon,0.001317511337544524,11.481380172411146,0.001317511337544524,11.481380172411146,0.012792711337544525,0.001317511337544524,11.481380172411146,,,,0.012792711337544525,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,16,2112,7168,16,16,{},,,,,,,,,,,,,,,,
decode_b16p2048_cg_on,16,2048,2049,1,128,generation_q_b_proj_gemm,q_b GEMM,2,0.0191487999999999,0.0191487999999999,"[""q_b_proj_quant"", ""q_b_proj_gemm""]",0.01959696694526797,silicon,0.0004481669452680685,2.340444024001874,0.0004481669452680685,2.340444024001874,0.01959696694526797,0.0004481669452680685,2.340444024001874,,,,0.01959696694526797,,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,16,24576,1536,16,16,"{""16"": 0.01959696694526797}",,,,,,,,,,,,,,,,
decode_b16p2048_cg_on,16,2048,2049,1,128,generation_bmm_pre,q_w_kc BMM,3,0.008512,0.008512,"[""q_w_kc_bmm""]",0.011667200177907944,silicon,0.003155200177907944,37.06767126301626,0.003155200177907944,37.06767126301626,0.011667200177907944,0.003155200177907944,37.06767126301626,,,,0.011667200177907944,,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,16,128,1,16,16,"{""16"": 0.011667200177907944}",fp8,,,,,,,,,,,,,,,
