tag,op_name,aic_latency_ms,aic_source,query_kind,database_file,lookup_method,axis_x,axis_y,axis_z,x,y,z,x_left,x_right,neighbor_latencies_json,quant_mode_lookup,y_left,y_right,z_left,z_right
decode_b1p512_cg_on,generation_downscale_gemm,0.01984755316515154,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,1,2112,7168,1,1,{},,,,,
decode_b1p512_cg_on,generation_q_b_proj_gemm,0.018524234980539556,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,1,24576,1536,1,1,"{""1"": 0.018524234980539556}",,,,,
decode_b1p512_cg_on,generation_bmm_pre,0.009151999652385712,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,1,128,1,1,1,"{""1"": 0.009151999652385712}",fp8,,,,
decode_b1p512_cg_on,generation_attention,0.025621421745745464,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,1,513,128,128,{},,1.0,1.0,512.0,1024.0
decode_b1p512_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.025619199872016905,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,1,512,128,128,{},,1.0,1.0,512.0,512.0
decode_b1p512_cg_on,generation_bmm_post,0.008848000317811966,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,1,128,0,1,1,"{""1"": 0.008848000317811966}",fp8,,,,
decode_b1p512_cg_on,generation_proj_gemm,0.024912888805071514,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,1,7168,7168,1,1,"{""1"": 0.024912888805071514}",,,,,
decode_b1p512_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.05060977737108866,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,1,7168,16384,1,1,"{""1"": 0.05060977737108866}",,,,,
decode_b4p512_cg_on,generation_downscale_gemm,0.016420756338911404,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,4,2112,7168,4,4,{},,,,,
decode_b4p512_cg_on,generation_q_b_proj_gemm,0.01981892840924606,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,24576,1536,4,4,"{""4"": 0.01981892840924606}",,,,,
