tag,layer_sample_count,batch_size,fresh_len,prefix_len,total_seq_len,tp_size,real_module_gpu_makespan_mean_ms,real_module_gpu_makespan_median_ms,real_module_gpu_kernel_time_sum_mean_ms,real_module_gpu_kernel_time_sum_median_ms,real_module_total_to_last_kernel_mean_ms,real_kernel_stack_mean_ms,aic_deepseek_fallback_total_ms,aic_deepseek_fallback_gap_pct_vs_real_makespan_mean,aic_deepseek_fallback_gap_pct_vs_real_kernel_sum_mean,aic_wideep_total_ms,aic_wideep_gap_pct_vs_real_makespan_mean,aic_wideep_gap_pct_vs_real_kernel_sum_mean
req1_equal_fresh_regular_b8_f1_p0,4,8,1,0,1,1,0.925648,0.919616,0.132272,0.131744,1.0596382500000001,0.132272,0.11635173619711695,-87.43023955141513,-12.03600444756491,0.7699858915921012,-16.81655536531153,482.1231187190798
req1_equal_fresh_irregular_b12_f300_p0,4,12,300,0,300,1,1.544744,1.54456,1.410608,1.409856,5.66207275,1.410608,1.840734612187482,19.16114334721365,30.492285042157835,1.6522682694061244,6.960652988852811,17.131638939104576
req1_equal_fresh_regular_b4_f512_p0,4,4,512,0,512,1,1.26063975,1.348288,0.81563975,0.817632,2.30414425,0.81563975,1.1177630896662405,-11.333662954365787,37.04127216289305,1.077951095195906,-14.49174157836083,32.16019636069796
req1_equal_prefix_regular_b4_f512_p512,4,4,512,512,1024,1,1.76962325,1.7087355,1.0013115,0.999872,2.77855925,1.0013115,1.619831466207378,-8.46461436312062,61.77098397525428,1.374651095195906,-22.319561793963437,37.285060163186586
req1_equal_fresh_irregular_b4_f1200_p0,4,4,1200,0,1200,1,2.151328,2.15096,1.976056,1.97592,11.52635475,1.976056,3.3464072843357977,55.55077070236607,69.34779603087148,2.349359695920581,9.205090805334242,18.891352062926398
req1_equal_fresh_regular_b4_f2048_p0,4,4,2048,0,2048,1,3.791151,3.7858549999999997,3.504455,3.499663,21.2435215,3.504455,6.815202019680221,79.76603990925766,94.4725219664747,3.906639852712019,3.0462741450292747,11.476387989345529
req1_equal_prefix_regular_b4_f2048_p1024,4,4,2048,1024,3072,1,4.901022,4.887054,4.48399825,4.4699025,23.379653,4.48399825,10.54512980322243,115.16185406273283,135.1724781164317,6.328552041531468,29.12719105385505,41.13636287729301
req1_equal_fresh_regular_b2_f4096_p0,4,2,4096,0,4096,1,4.651991,4.624606999999999,4.369239,4.342399,22.84346675,4.369239,10.207632515896043,119.42502717430112,133.62495198582732,4.765539852712019,2.4408657005574383,9.070248908608992
req1_equal_fresh_irregular_b1_f4500_p0,4,1,4500,0,4500,1,3.288368,3.211104,2.565152,2.564736,5.8448735,2.565152,6.426409799980741,95.42854692603566,150.5274463260166,2.9520845673672373,-10.226453749481895,15.084196467392088
req1_equal_fresh_irregular_b1_f6000_p0,4,1,6000,0,6000,1,4.035871,4.035087000000001,3.8229272499999998,3.8221594999999997,11.47210325,3.82292725,9.754891777160221,141.70474668690403,155.16812482267932,4.2086560481597886,4.281233175187917,10.089880683965117
req1_equal_fresh_regular_b1_f8192_p0,4,1,8192,0,8192,1,6.3212785,6.285902,6.03692675,6.001662,23.592217,6.03692675,16.986221383083542,168.71496617469936,181.3719974833808,6.639939852712019,5.041090227428189,9.98874307547328
req1_equal_prefix_regular_b1_f8192_p0,4,1,8192,0,8192,1,6.3255665,6.2934705,6.04044675,6.007871,19.8860435,6.04044675,16.986221383083542,168.53280861221745,181.2080312285435,6.639939852712019,4.969884558355673,9.924648416311578
req1_equal_prefix_regular_b2_f4096_p4096,4,2,4096,4096,8192,1,8.54713275,8.5135325,8.006237500000001,7.9715015000000005,35.696995,8.006237500000001,24.844356606472214,190.67474828295155,210.31251079514206,10.04813985271202,17.561527901997543,25.503894341281008
req1_equal_prefix_regular_b1_f8192_p1024,4,1,8192,1024,9216,1,7.217614,7.175326,6.89423025,6.853518,29.161167250000002,6.89423025,21.689141362743246,200.50292745972902,214.59844792307666,8.108467941788245,12.342776183212965,17.612375098557887
req1_equal_prefix_regular_b1_f8192_p4096,4,1,8192,4096,12288,1,9.91540625,9.827982500000001,9.49974225,9.412478499999999,39.5221465,9.49974225,31.00585774918597,212.70385667945752,226.38630536724267,11.251084857095112,13.470740113095331,18.435685527100603
req1_equal_prefix_regular_b1_f8192_p8192,4,1,8192,8192,16384,1,13.689903000000001,13.525919,13.152311000000001,12.988655000000001,53.73686425,13.152311000000001,45.57216803835698,232.88890387577598,246.49551731522297,15.491714852712018,13.161611537437606,17.787017450484687
req1_equal_prefix_regular_b1_f8192_p10500,4,1,8192,10500,18692,1,15.80046625,15.643714,15.19280975,15.03661,61.215736,15.19280975,53.92662090251148,241.29765571007425,254.94830640205626,17.96567322901708,13.70343725785359,18.251156465755656
req1_equal_prefix_regular_b1_f8192_p32000,4,1,8192,32000,40192,1,36.072379,36.115915,34.8241055,34.866617000000005,131.140598,34.8241055,138.67216060792958,284.42754387762886,298.2073871443147,42.25018531192563,17.126140507465916,21.324538578386814
