tag,layer_sample_count,batch_size,fresh_len,prefix_len,total_seq_len,tp_size,real_kernel_envelope_mean_ms,real_kernel_envelope_median_ms,real_module_total_to_last_kernel_mean_ms,aic_deepseek_fallback_total_ms,aic_deepseek_fallback_gap_pct_vs_real_kernel_envelope,aic_wideep_total_ms,aic_wideep_gap_pct_vs_real_kernel_envelope,best_aic_model,best_aic_total_ms,best_aic_gap_pct_vs_real_kernel_envelope,rule_aic_model,rule_aic_total_ms,rule_aic_gap_pct_vs_real_kernel_envelope,rule_is_best
req1_equal_fresh_regular_b8_f1_p0,4,8,1,0,1,1,0.925648,0.919616,1.0596382500000001,0.1459901353808671,-84.2283313548058,0.7699858915921012,-16.81655536531153,WideEP module,0.7699858915921012,-16.81655536531153,WideEP module,0.7699858915921012,-16.81655536531153,True
req1_equal_fresh_irregular_b12_f300_p0,4,12,300,0,300,1,1.544744,1.54456,5.66207275,1.511745605283944,-2.1361723830004147,1.6522682694061244,6.960652988852811,DeepSeek fallback,1.511745605283944,-2.1361723830004147,WideEP module,1.6522682694061244,6.960652988852811,False
req1_equal_fresh_regular_b4_f512_p0,4,4,512,0,512,1,1.26063975,1.348288,2.30414425,0.8919502730463674,-29.24622017936786,1.077951095195906,-14.49174157836083,WideEP module,1.077951095195906,-14.49174157836083,WideEP module,1.077951095195906,-14.49174157836083,True
req1_equal_prefix_regular_b4_f512_p512,4,4,512,512,1024,1,1.76962325,1.7087355,2.77855925,1.049809872636669,-40.676080480030485,1.374651095195906,-22.319561793963437,WideEP module,1.374651095195906,-22.319561793963437,DeepSeek fallback,1.049809872636669,-40.676080480030485,False
req1_equal_fresh_irregular_b4_f1200_p0,4,4,1200,0,1200,1,2.151328,2.15096,11.52635475,2.2263605627876846,3.48773235823104,2.349359695920581,9.205090805334242,DeepSeek fallback,2.2263605627876846,3.48773235823104,WideEP module,2.349359695920581,9.205090805334242,False
req1_equal_fresh_regular_b4_f2048_p0,4,4,2048,0,2048,1,3.791151,3.7858549999999997,21.2435215,3.920448372829635,3.4105044307028374,3.906639852712019,3.0462741450292747,WideEP module,3.906639852712019,3.0462741450292747,WideEP module,3.906639852712019,3.0462741450292747,True
req1_equal_prefix_regular_b4_f2048_p1024,4,4,2048,1024,3072,1,4.901022,4.887054,23.379653,4.883285931152118,-0.36188510983795336,6.328552041531468,29.12719105385505,DeepSeek fallback,4.883285931152118,-0.36188510983795336,DeepSeek fallback,4.883285931152118,-0.36188510983795336,True
req1_equal_fresh_regular_b2_f4096_p0,4,2,4096,0,4096,1,4.651991,4.624606999999999,22.84346675,4.686342690456589,0.7384298563042967,4.765539852712019,2.4408657005574383,DeepSeek fallback,4.686342690456589,0.7384298563042967,WideEP module,4.765539852712019,2.4408657005574383,False
req1_large_prefix_regular_b8_f256_p4096,4,8,256,4096,4352,1,4.0842814999999995,4.083593499999999,12.0653655,1.840739764430036,-54.93112400724495,2.477453500992864,-39.34175445564013,WideEP module,2.477453500992864,-39.34175445564013,DeepSeek fallback,1.840739764430036,-54.93112400724495,False
req1_equal_fresh_irregular_b1_f4500_p0,4,1,4500,0,4500,1,3.288368,3.211104,5.8448735,2.8114928331648983,-14.501879559559692,2.9520845673672373,-10.226453749481895,WideEP module,2.9520845673672373,-10.226453749481895,WideEP module,2.9520845673672373,-10.226453749481895,True
req1_large_prefix_regular_b8_f512_p4096,4,8,512,4096,4608,1,5.593142,5.586246,20.0089125,3.7282471940587723,-33.3425256491115,5.019990936751757,-10.24738980787978,WideEP module,5.019990936751757,-10.24738980787978,DeepSeek fallback,3.7282471940587723,-33.3425256491115,False
req1_equal_fresh_irregular_b1_f6000_p0,4,1,6000,0,6000,1,4.035871,4.035087000000001,11.47210325,4.097409068722131,1.5247778911201757,4.2086560481597886,4.281233175187917,DeepSeek fallback,4.097409068722131,1.5247778911201757,WideEP module,4.2086560481597886,4.281233175187917,False
req1_equal_fresh_regular_b1_f8192_p0,4,1,8192,0,8192,1,6.3212785,6.285902,23.592217,6.2974179010278775,-0.3774647640049803,6.639939852712019,5.041090227428189,DeepSeek fallback,6.2974179010278775,-0.3774647640049803,WideEP module,6.639939852712019,5.041090227428189,False
req1_equal_prefix_regular_b1_f8192_p0,4,1,8192,0,8192,1,6.3255665,6.2934705,19.8860435,6.2974179010278775,-0.44499728162090163,6.639939852712019,4.969884558355673,DeepSeek fallback,6.2974179010278775,-0.44499728162090163,WideEP module,6.639939852712019,4.969884558355673,False
req1_equal_prefix_regular_b2_f4096_p4096,4,2,4096,4096,8192,1,8.54713275,8.5135325,35.696995,8.190371201503952,-4.1740494611604975,10.04813985271202,17.561527901997543,DeepSeek fallback,8.190371201503952,-4.1740494611604975,DeepSeek fallback,8.190371201503952,-4.1740494611604975,True
req1_large_prefix_regular_b4_f512_p8192,4,4,512,8192,8704,1,4.8985275,4.8995435,13.94357575,2.65026215756027,-45.89675861653794,3.4016772817257293,-30.55714637254299,WideEP module,3.4016772817257293,-30.55714637254299,DeepSeek fallback,2.65026215756027,-45.89675861653794,False
req1_equal_prefix_regular_b1_f8192_p1024,4,1,8192,1024,9216,1,7.217614,7.175326,29.161167250000002,7.411081465585208,2.6804906106811446,8.108467941788245,12.342776183212965,DeepSeek fallback,7.411081465585208,2.6804906106811446,DeepSeek fallback,7.411081465585208,2.6804906106811446,True
req1_large_prefix_regular_b4_f1024_p8192,4,4,1024,8192,9216,1,7.36458,7.365284,25.59897275,5.345605064628428,-27.414664996124316,6.883725455442965,-6.52928672859871,WideEP module,6.883725455442965,-6.52928672859871,DeepSeek fallback,5.345605064628428,-27.414664996124316,False
req1_equal_prefix_regular_b1_f8192_p4096,4,1,8192,4096,12288,1,9.91540625,9.827982500000001,39.5221465,9.57829630712868,-3.399860120419377,11.251084857095112,13.470740113095331,DeepSeek fallback,9.57829630712868,-3.399860120419377,DeepSeek fallback,9.57829630712868,-3.399860120419377,True
req1_equal_prefix_regular_b1_f8192_p8192,4,1,8192,8192,16384,1,13.689903000000001,13.525919,53.73686425,12.843545220363815,-6.18235044935078,15.491714852712018,13.161611537437606,DeepSeek fallback,12.843545220363815,-6.18235044935078,DeepSeek fallback,12.843545220363815,-6.18235044935078,True
req1_large_prefix_regular_b4_f1024_p16384,4,4,1024,16384,17408,1,13.17674725,13.194715,46.63525,8.7912640887487,-33.281985895656454,10.993711780799512,-16.567332041680384,WideEP module,10.993711780799512,-16.567332041680384,DeepSeek fallback,8.7912640887487,-33.281985895656454,False
req1_large_prefix_regular_b2_f2048_p16384,4,2,2048,16384,18432,1,10.96513625,10.880544,37.8836925,8.83757994735813,-19.402917156108032,10.348459781485186,-5.623974517551613,WideEP module,10.348459781485186,-5.623974517551613,DeepSeek fallback,8.83757994735813,-19.402917156108032,False
req1_equal_prefix_regular_b1_f8192_p10500,4,1,8192,10500,18692,1,15.80046625,15.643714,61.215736,14.8830954681543,-5.805972857577537,17.96567322901708,13.70343725785359,DeepSeek fallback,14.8830954681543,-5.805972857577537,DeepSeek fallback,14.8830954681543,-5.805972857577537,True
req1_large_prefix_regular_b2_f2048_p32000,4,2,2048,32000,34048,1,20.57323475,20.5855385,70.852458,15.832007065587852,-23.04561116434132,18.110003055128168,-11.972991728351484,WideEP module,18.110003055128168,-11.972991728351484,DeepSeek fallback,15.832007065587852,-23.04561116434132,False
req1_large_prefix_regular_b1_f4096_p32000,4,1,4096,32000,36096,1,18.04355525,18.205379,64.8668315,16.675635834599134,-7.581207785538087,19.974576643380733,10.702000612549636,DeepSeek fallback,16.675635834599134,-7.581207785538087,DeepSeek fallback,16.675635834599134,-7.581207785538087,True
req1_equal_prefix_regular_b1_f8192_p32000,4,1,8192,32000,40192,1,36.072379,36.115915,131.140598,35.580695112325515,-1.3630481307442555,42.25018531192563,17.126140507465916,DeepSeek fallback,35.580695112325515,-1.3630481307442555,DeepSeek fallback,35.580695112325515,-1.3630481307442555,True
