tag,layer_sample_count,batch_size,fresh_len,prefix_len,total_seq_len,tp_size,real_kernel_envelope_mean_ms,real_kernel_envelope_median_ms,real_module_total_to_last_kernel_mean_ms,aic_deepseek_fallback_total_ms,aic_deepseek_fallback_gap_pct_vs_real_kernel_envelope,aic_wideep_total_ms,aic_wideep_gap_pct_vs_real_kernel_envelope,best_aic_model,best_aic_total_ms,best_aic_gap_pct_vs_real_kernel_envelope,rule_aic_model,rule_aic_total_ms,rule_aic_gap_pct_vs_real_kernel_envelope,rule_is_best
req1_equal_fresh_regular_b8_f1_p0,4,8,1,0,1,1,0.925648,0.919616,1.0596382500000001,0.15203013555133638,-83.57581547722933,0.7699858915921012,-16.81655536531153,WideEP module,0.7699858915921012,-16.81655536531153,WideEP module,0.7699858915921012,-16.81655536531153,True
req1_equal_fresh_irregular_b12_f300_p0,4,12,300,0,300,1,1.544744,1.54456,5.66207275,1.6174552060119491,4.707006857573115,1.6522682694061244,6.960652988852811,DeepSeek fallback,1.6174552060119491,4.707006857573115,WideEP module,1.6522682694061244,6.960652988852811,False
req1_equal_fresh_regular_b4_f512_p0,4,4,512,0,512,1,1.26063975,1.348288,2.30414425,0.9537726755236318,-24.34217027317822,1.077951095195906,-14.49174157836083,WideEP module,1.077951095195906,-14.49174157836083,WideEP module,1.077951095195906,-14.49174157836083,True
req1_equal_prefix_regular_b4_f512_p512,4,4,512,512,1024,1,1.76962325,1.7087355,2.77855925,1.2359175731933805,-30.159282593434476,1.374651095195906,-22.319561793963437,WideEP module,1.374651095195906,-22.319561793963437,DeepSeek fallback,1.2359175731933805,-30.159282593434476,False
req1_equal_fresh_irregular_b4_f1200_p0,4,4,1200,0,1200,1,2.151328,2.15096,11.52635475,2.3657730158132635,9.96802978501017,2.349359695920581,9.205090805334242,WideEP module,2.349359695920581,9.205090805334242,WideEP module,2.349359695920581,9.205090805334242,True
req1_equal_fresh_regular_b4_f2048_p0,4,4,2048,0,2048,1,3.791151,3.7858549999999997,21.2435215,4.1560339670068815,9.62459598699396,3.906639852712019,3.0462741450292747,WideEP module,3.906639852712019,3.0462741450292747,WideEP module,3.906639852712019,3.0462741450292747,True
req1_equal_prefix_regular_b4_f2048_p1024,4,4,2048,1024,3072,1,4.901022,4.887054,23.379653,5.377830895596522,9.728764645343798,6.328552041531468,29.12719105385505,DeepSeek fallback,5.377830895596522,9.728764645343798,DeepSeek fallback,5.377830895596522,9.728764645343798,True
req1_equal_fresh_regular_b2_f4096_p0,4,2,4096,0,4096,1,4.651991,4.624606999999999,22.84346675,4.921928284633835,5.802618376386267,4.765539852712019,2.4408657005574383,WideEP module,4.765539852712019,2.4408657005574383,WideEP module,4.765539852712019,2.4408657005574383,True
req1_large_prefix_regular_b8_f256_p4096,4,8,256,4096,4352,1,4.0842814999999995,4.083593499999999,12.0653655,4.078316188804336,-0.14605533912546628,2.477453500992864,-39.34175445564013,DeepSeek fallback,4.078316188804336,-0.14605533912546628,DeepSeek fallback,4.078316188804336,-0.14605533912546628,True
req1_equal_fresh_irregular_b1_f4500_p0,4,1,4500,0,4500,1,3.288368,3.211104,5.8448735,2.942345208204729,-10.522629821092748,2.9520845673672373,-10.226453749481895,WideEP module,2.9520845673672373,-10.226453749481895,WideEP module,2.9520845673672373,-10.226453749481895,True
req1_large_prefix_regular_b8_f512_p4096,4,8,512,4096,4608,1,5.593142,5.586246,20.0089125,6.037623423628575,7.946900393885486,5.019990936751757,-10.24738980787978,DeepSeek fallback,6.037623423628575,7.946900393885486,DeepSeek fallback,6.037623423628575,7.946900393885486,True
req1_equal_fresh_irregular_b1_f6000_p0,4,1,6000,0,6000,1,4.035871,4.035087000000001,11.47210325,4.2710618336907045,5.827511178893087,4.2086560481597886,4.281233175187917,WideEP module,4.2086560481597886,4.281233175187917,WideEP module,4.2086560481597886,4.281233175187917,True
req1_equal_fresh_regular_b1_f8192_p0,4,1,8192,0,8192,1,6.3212785,6.285902,23.592217,6.533003495205124,3.3494014732165946,6.639939852712019,5.041090227428189,DeepSeek fallback,6.533003495205124,3.3494014732165946,WideEP module,6.639939852712019,5.041090227428189,False
