inspect_group,stage,tag,layer_count,mean_module_gpu_makespan_ms,max_module_gpu_makespan_ms,max_makespan_layer_id,mean_module_gpu_bubble_ms,max_module_gpu_bubble_ms,max_child_gap_window_ms,max_child_gap_edge,mean_abs_error_pct_vs_module_makespan,mean_abs_error_pct_vs_wideep_makespan
reference,decode,req1_equal_fresh_regular_b2_f4096_p0,5,0.14861439999999998,0.150656,2,0.0295746,0.03091200000000001,0.012512,attn_mqa->o_proj,17.09111805167402,6.5624292191787434
reference,decode,req1_equal_fresh_regular_b4_f2048_p0,5,0.1513856,0.155328,1,0.0320386,0.03414400000000001,0.013248,q_b_proj->rotary_emb,19.649068812927734,9.806861972781132
reference,decode,req1_equal_prefix_regular_b4_f2048_p1024,5,0.1505088,0.152896,3,0.0308096,0.03225599999999999,0.012992,attn_mqa->o_proj,17.571010763780688,7.969253168924347
reference,prefill,req1_equal_fresh_regular_b2_f4096_p0,5,4.7143412,4.963742,0,0.3490175999999998,0.6140799999999995,0.245024,kv_b_proj->attn_mha,4.05092759418211,2.7560858757387927
reference,prefill,req1_equal_fresh_regular_b4_f2048_p0,5,3.8412854000000003,4.041823,0,0.3330176000000001,0.5183040000000001,0.246912,kv_b_proj->attn_mha,4.630074837681373,3.452113214824363
reference,prefill,req1_equal_prefix_regular_b4_f2048_p1024,5,5.0559788,5.675806,0,0.5695933999999998,1.1798719999999996,0.363136,kv_b_proj->attn_mha,20.730294400233184,28.19369017783684
target,decode,req1_equal_fresh_irregular_b12_f300_p0,5,0.4343422,1.574687,4,0.31760639999999996,1.457183,0.235232,q_b_proj->rotary_emb,33.183451962772764,26.435527522240562
target,decode,req1_equal_fresh_irregular_b1_f4500_p0,5,2.2547646,2.669376,1,2.1398142,2.55552,0.518752,attn_mqa->o_proj,94.58095388178462,93.7239855657622
target,decode,req1_equal_fresh_irregular_b1_f6000_p0,5,0.5448768,2.118176,4,0.42526080000000005,2.00016,0.315616,attn_mqa->o_proj,34.534962264131906,25.929646931446797
target,decode,req1_equal_fresh_regular_b1_f1_p0,10,1.7744031,2.036128,0,1.6704639000000001,1.9264000000000001,0.903744,rotary_emb->o_proj,94.1740212068045,93.0314890511805
target,decode,req1_equal_fresh_regular_b4_f512_p0,5,1.411923,1.535616,4,1.3030782,1.4264320000000001,0.256864,attn_mqa->o_proj,91.8190525351863,90.59969663734127
target,decode,req1_equal_fresh_regular_b8_f1_p0,5,0.8909374,0.966624,0,0.7944384,0.869216,0.135936,attn_mqa->o_proj,88.05771786875684,85.69757546226366
target,decode,req1_equal_prefix_regular_b4_f512_p512,5,1.7261112,1.966207,0,1.6117052,1.849695,0.291776,attn_mqa->o_proj,93.14783805594001,91.77867539890929
target,prefill,req1_equal_fresh_irregular_b1_f4500_p0,5,58.521769000000006,279.455373,0,55.95567619999999,276.885517,274.305423,rotary_emb->kv_b_proj,31.348345946525644,30.40811114879686
target,prefill,req1_equal_fresh_irregular_b1_f6000_p0,5,61.254570799999996,290.12937,0,57.42959219999999,286.296186,283.860699,rotary_emb->kv_b_proj,20.077508272167258,23.302015619860118
target,prefill,req1_equal_fresh_regular_b1_f8192_p0,5,56.87592500000001,259.094511,0,50.8451486,253.088336,252.020752,rotary_emb->kv_b_proj,20.70197305242804,24.095249322149577
target,prefill,req1_equal_prefix_regular_b1_f8192_p0,5,51.128909199999995,230.34228,0,45.09474719999999,224.33325699999997,222.125738,rotary_emb->kv_b_proj,20.617416144154564,23.97270913284869
