stage,tag,gap_count,max_gpu_gap_ms,mean_gpu_gap_ms,max_gap_layer_id,max_gap_stage_instance_index,max_gap_edge,max_gap_root_cause_class,max_gap_host_silence_before_first_runtime_ms,max_gap_child_host_gap_ms,max_gap_first_runtime_name,max_gap_first_runtime_offset_ms,max_gap_next_launch_runtime_name,max_gap_next_launch_runtime_offset_ms,max_gap_runtime_total_ms,max_gap_profiler_overlap_ms
decode,req1_equal_fresh_irregular_b12_f300_p0,1,0.235232,0.235232,4,1,q_b_proj->rotary_emb,short_decode_fixed_launch_interval_dominates,0.103139,0.153826,cuKernelGetAttribute,0.103139,cudaLaunchKernel_v7000,0.21773,0.028805,0
decode,req1_equal_fresh_irregular_b1_f4500_p0,5,0.518752,0.3998784,0,1,attn_mqa->o_proj,short_decode_fixed_launch_interval_dominates,0.200952,0.265717,cuKernelGetAttribute,0.200952,cudaLaunchKernel_v7000,0.502042,0.035004,0
decode,req1_equal_fresh_irregular_b1_f6000_p0,1,0.315616,0.315616,4,1,attn_mqa->o_proj,short_decode_fixed_launch_interval_dominates,0.121918,0.165585,cuKernelGetAttribute,0.121918,cudaLaunchKernel_v7000,0.30496,0.020129,0
decode,req1_equal_fresh_regular_b1_f1_p0,10,0.903744,0.5537759,0,1,rotary_emb->o_proj,short_decode_fixed_launch_interval_dominates,0.121755,0.79181,cuLaunchKernelEx,0.121755,cudaLaunchKernel_v7000,0.894359,0.071649,0
decode,req1_equal_fresh_regular_b4_f512_p0,5,0.256864,0.23740160000000002,0,1,attn_mqa->o_proj,short_decode_fixed_launch_interval_dominates,0.096667,0.126338,cuKernelGetAttribute,0.096667,cudaLaunchKernel_v7000,0.247847,0.016565,0
decode,req1_equal_fresh_regular_b8_f1_p0,5,0.135936,0.1323968,0,1,attn_mqa->o_proj,short_decode_fixed_launch_interval_dominates,0.046514,0.075485,cuKernelGetAttribute,0.046514,cudaLaunchKernel_v7000,0.129411,0.010136000000000001,0
decode,req1_equal_prefix_regular_b4_f512_p512,5,0.291776,0.2680896,0,1,attn_mqa->o_proj,short_decode_fixed_launch_interval_dominates,0.119758,0.153251,cuKernelGetAttribute,0.119758,cudaLaunchKernel_v7000,0.281849,0.019329000000000002,0
prefill,req1_equal_fresh_irregular_b1_f4500_p0,1,274.305423,274.305423,0,1,rotary_emb->kv_b_proj,host_no_launch_long_prefill_first_layer_gap,273.198421,273.875102,cuModuleLoadData,273.198421,cudaLaunchKernel_v7000,274.271558,0.256031,8.61479
prefill,req1_equal_fresh_irregular_b1_f6000_p0,1,283.860699,283.860699,0,1,rotary_emb->kv_b_proj,host_no_launch_long_prefill_first_layer_gap,282.707837,283.443148,cuModuleLoadData,282.707837,cudaLaunchKernel_v7000,283.827702,0.28265,10.297715
prefill,req1_equal_fresh_regular_b1_f8192_p0,1,252.020752,252.020752,0,1,rotary_emb->kv_b_proj,host_no_launch_long_prefill_first_layer_gap,251.060334,252.005424,cuModuleLoadData,251.060334,cudaLaunchKernel_v7000,251.992665,0.222283,8.087578
prefill,req1_equal_prefix_regular_b1_f8192_p0,1,222.125738,222.125738,0,1,rotary_emb->kv_b_proj,host_no_launch_long_prefill_first_layer_gap,220.913437,221.706197,cuModuleLoadData,220.913437,cudaLaunchKernel_v7000,222.089784,0.280903,6.9775860000000005
