group,tag,kernel_name,offset_start_ms,offset_end_ms,duration_ms,grid,block,correlation_id
target,req1_equal_fresh_regular_b1_f8192_p0,index_elementwise_kernel,-0.980666,-0.977114,0.003552,"[16,1,1]","[128,1,1]",5233
target,req1_equal_fresh_regular_b1_f8192_p0,vectorized_elementwise_kernel,-0.666266,-0.665274,0.000992,"[1,1,1]","[128,1,1]",5249
target,req1_equal_fresh_regular_b1_f8192_p0,vectorized_gather_kernel,-0.422106,-0.34137,0.080736,"[8192,4,1]","[256,1,1]",5273
target,req1_equal_fresh_regular_b1_f8192_p0,RMSNormKernel,-0.084058,0.01543,0.099488,"[8192,1,1]","[32,28,1]",5289
target,req1_equal_fresh_regular_b1_f8192_p0,per_token_group_quant_8bit_kernel,0.573574,0.645286,0.071712,"[28672,1,1]","[256,1,1]",5310
target,req1_equal_fresh_regular_b1_f8192_p0,sm90_fp8_gemm_1d2d_impl,0.929062,1.13111,0.202048,"[122,1,1]","[384,1,1]",5324
target,req1_equal_fresh_regular_b1_f8192_p0,RMSNormKernel,1.131014,1.14903,0.018016,"[8192,1,1]","[32,6,1]",5335
target,req1_equal_fresh_regular_b1_f8192_p0,per_token_group_quant_8bit_kernel,1.14999,1.165894,0.015904,"[6144,1,1]","[256,1,1]",5356
target,req1_equal_fresh_regular_b1_f8192_p0,sm90_fp8_gemm_1d2d_impl,1.217542,1.652934,0.435392,"[132,1,1]","[384,1,1]",5370
target,req1_equal_fresh_regular_b1_f8192_p0,RMSNormKernel,1.652838,1.665798,0.01296,"[8192,1,1]","[32,2,1]",5381
target,req1_equal_fresh_regular_b1_f8192_p0,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1.666886,1.773414,0.106528,"[512,129,1]","[8,16,1]",5390
target,req1_equal_fresh_regular_b1_f8192_p0,set_mla_kv_buffer_kernel,253.216726,253.242678,0.025952,"[8192,5,1]","[128,1,1]",5410
target,req1_equal_fresh_regular_b1_f8192_p0,per_token_group_quant_8bit_kernel,253.794166,253.79983,0.005664,"[2048,1,1]","[256,1,1]",5429
target,req1_equal_fresh_regular_b1_f8192_p0,sm90_fp8_gemm_1d2d_impl,254.193494,254.478262,0.284768,"[132,1,1]","[384,1,1]",5443
target,req1_equal_fresh_irregular_b1_f6000_p0,compute_position_kernel,-0.74272,-0.740704,0.002016,"[1,1,1]","[128,1,1]",5134
target,req1_equal_fresh_irregular_b1_f6000_p0,unrolled_elementwise_kernel,-0.66192,-0.660512,0.001408,"[1,1,1]","[128,1,1]",5144
target,req1_equal_fresh_irregular_b1_f6000_p0,unrolled_elementwise_kernel,-0.60288,-0.601504,0.001376,"[1,1,1]","[128,1,1]",5163
target,req1_equal_fresh_irregular_b1_f6000_p0,DeviceScanInitKernel,-0.57728,-0.576256,0.001024,"[1,1,1]","[128,1,1]",5189
target,req1_equal_fresh_irregular_b1_f6000_p0,DeviceScanKernel,-0.560992,-0.559168,0.001824,"[1,1,1]","[128,1,1]",5199
target,req1_equal_fresh_irregular_b1_f6000_p0,vectorized_elementwise_kernel,-0.523041,-0.522049,0.000992,"[1,1,1]","[128,1,1]",5217
target,req1_equal_fresh_irregular_b1_f6000_p0,index_elementwise_kernel,-0.421601,-0.418273,0.003328,"[12,1,1]","[128,1,1]",5233
target,req1_equal_fresh_irregular_b1_f6000_p0,vectorized_elementwise_kernel,-0.285249,-0.284225,0.001024,"[1,1,1]","[128,1,1]",5249
target,req1_equal_fresh_irregular_b1_f6000_p0,vectorized_gather_kernel,-0.172481,-0.114273,0.058208,"[6000,4,1]","[256,1,1]",5273
target,req1_equal_fresh_irregular_b1_f6000_p0,RMSNormKernel,-0.031297,0.043775,0.075072,"[6000,1,1]","[32,28,1]",5289
target,req1_equal_fresh_irregular_b1_f6000_p0,per_token_group_quant_8bit_kernel,0.244159,0.297311,0.053152,"[21000,1,1]","[256,1,1]",5310
target,req1_equal_fresh_irregular_b1_f6000_p0,sm90_fp8_gemm_1d2d_impl,0.530335,0.666303,0.135968,"[132,1,1]","[384,1,1]",5324
target,req1_equal_fresh_irregular_b1_f6000_p0,RMSNormKernel,0.888863,0.901919,0.013056,"[6000,1,1]","[32,6,1]",5335
target,req1_equal_fresh_irregular_b1_f6000_p0,per_token_group_quant_8bit_kernel,1.222431,1.233247,0.010816,"[4500,1,1]","[256,1,1]",5356
target,req1_equal_fresh_irregular_b1_f6000_p0,sm90_fp8_gemm_1d2d_impl,1.582623,1.911551,0.328928,"[132,1,1]","[384,1,1]",5370
target,req1_equal_fresh_irregular_b1_f6000_p0,RMSNormKernel,1.935807,1.946879,0.011072,"[6000,1,1]","[32,2,1]",5381
target,req1_equal_fresh_irregular_b1_f6000_p0,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,2.254879,2.333151,0.078272,"[375,129,1]","[8,16,1]",5390
target,req1_equal_fresh_irregular_b1_f6000_p0,set_mla_kv_buffer_kernel,285.51769,285.537082,0.019392,"[6000,5,1]","[128,1,1]",5410
target,req1_equal_fresh_irregular_b1_f6000_p0,per_token_group_quant_8bit_kernel,286.19385,286.198522,0.004672,"[1500,1,1]","[256,1,1]",5429
target,req1_equal_fresh_irregular_b1_f4500_p0,vectorized_elementwise_kernel,-0.721999,-0.720975,0.001024,"[1,1,1]","[128,1,1]",5249
target,req1_equal_fresh_irregular_b1_f4500_p0,vectorized_gather_kernel,-0.475631,-0.433071,0.04256,"[4500,4,1]","[256,1,1]",5273
target,req1_equal_fresh_irregular_b1_f4500_p0,RMSNormKernel,-0.088815,-0.032783,0.056032,"[4500,1,1]","[32,28,1]",5289
target,req1_equal_fresh_irregular_b1_f4500_p0,per_token_group_quant_8bit_kernel,0.563281,0.604497,0.041216,"[15750,1,1]","[256,1,1]",5310
target,req1_equal_fresh_irregular_b1_f4500_p0,sm90_fp8_gemm_1d2d_impl,1.013521,1.104401,0.09088,"[132,1,1]","[384,1,1]",5324
target,req1_equal_fresh_irregular_b1_f4500_p0,RMSNormKernel,1.323953,1.333809,0.009856,"[4500,1,1]","[32,6,1]",5335
target,req1_equal_fresh_irregular_b1_f4500_p0,per_token_group_quant_8bit_kernel,1.626577,1.634833,0.008256,"[3375,1,1]","[256,1,1]",5356
target,req1_equal_fresh_irregular_b1_f4500_p0,sm90_fp8_gemm_1d2d_impl,1.910513,2.166833,0.25632,"[128,1,1]","[384,1,1]",5370
target,req1_equal_fresh_irregular_b1_f4500_p0,RMSNormKernel,2.216305,2.225553,0.009248,"[4500,1,1]","[32,2,1]",5381
target,req1_equal_fresh_irregular_b1_f4500_p0,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,2.49208,2.550384,0.058304,"[282,129,1]","[8,16,1]",5390
target,req1_equal_fresh_irregular_b1_f4500_p0,set_mla_kv_buffer_kernel,276.184383,276.199231,0.014848,"[4500,5,1]","[128,1,1]",5410
target,req1_equal_fresh_irregular_b1_f4500_p0,per_token_group_quant_8bit_kernel,276.855807,276.859775,0.003968,"[1125,1,1]","[256,1,1]",5429
reference,req1_equal_fresh_regular_b2_f4096_p0,compute_position_kernel,-0.828165,-0.826437,0.001728,"[2,1,1]","[128,1,1]",5134
reference,req1_equal_fresh_regular_b2_f4096_p0,unrolled_elementwise_kernel,-0.720293,-0.718981,0.001312,"[1,1,1]","[128,1,1]",5144
reference,req1_equal_fresh_regular_b2_f4096_p0,unrolled_elementwise_kernel,-0.653509,-0.652293,0.001216,"[1,1,1]","[128,1,1]",5163
reference,req1_equal_fresh_regular_b2_f4096_p0,DeviceScanInitKernel,-0.622629,-0.621573,0.001056,"[1,1,1]","[128,1,1]",5189
reference,req1_equal_fresh_regular_b2_f4096_p0,DeviceScanKernel,-0.605701,-0.603877,0.001824,"[1,1,1]","[128,1,1]",5199
reference,req1_equal_fresh_regular_b2_f4096_p0,vectorized_elementwise_kernel,-0.562277,-0.561285,0.000992,"[1,1,1]","[128,1,1]",5217
