case_key,case_family,case_label,batch_size,fresh_len,prefix_len,mean_primary_ms,mean_secondary_ms,std_primary_ms,std_secondary_ms,n_samples_primary,n_samples_secondary,pct_increase_vs_kernel_sum,display_label
fresh:1:1:0,fresh,"b1
f1
p0",1,1,0,0.10393920000000001,1.7744031,0.005163734324863918,0.1293485375671743,10,10,-94.14230058547577,"b1
f1
p0"
fresh:1:4500:0,fresh,"b1
f4500
p0",1,4500,0,0.11495040000000001,2.2547646,0.0015812339485351279,0.28823442585818937,5,5,-94.90188909299,"b1
f4500
p0"
fresh:1:6000:0,fresh,"b1
f6000
p0",1,6000,0,0.11961599999999999,0.151552,0.0014145303107392243,0.0008542661568075135,5,4,-21.07263513513514,"b1
f6000
p0"
fresh:1:8192:0,fresh,"b1
f8192
p0",1,8192,0,0.12002375,0.15132800000000002,0.0007699525418275288,0.001110051049877136,4,4,-20.68635678790443,"fresh
b1
f8192
p0"
prefix:1:8192:0,prefix,"b1
f8192
p0",1,8192,0,0.1196926,0.1511744,0.0018796706626427958,0.00204754995055066,5,5,-20.82482219211718,"prefix
b1
f8192
p0"
prefix:1:8192:1024,prefix,"b1
f8192
p1024",1,8192,1024,0.12345575,0.153872,0.0006060145075271204,0.00033306655991458374,4,4,-19.76724160341063,"b1
f8192
p1024"
prefix:1:8192:10500,prefix,"b1
f8192
p10500",1,8192,10500,0.1323454,0.16495225,0.0009607131725962876,8.419174543860579e-05,5,4,-19.76744785233302,"b1
f8192
p10500"
prefix:1:8192:32000,prefix,"b1
f8192
p32000",1,8192,32000,0.14773599999999998,0.17866900000000002,0.00016730212192317992,0.0005964268605621338,4,5,-17.313020165781438,"b1
f8192
p32000"
prefix:1:8192:4096,prefix,"b1
f8192
p4096",1,8192,4096,0.1254654,0.1573504,0.0015762568953060915,0.0019414007314307983,5,5,-20.26369173513381,"b1
f8192
p4096"
prefix:1:8192:8192,prefix,"b1
f8192
p8192",1,8192,8192,0.1295038,0.1598784,0.0005256921152157422,0.0003374445139574852,5,5,-18.998563908570514,"b1
f8192
p8192"
fresh:2:4096:0,fresh,"b2
f4096
p0",2,4096,0,0.11886375,0.14861439999999998,0.0002516934312478816,0.0017360405525217403,4,5,-20.01868594160457,"b2
f4096
p0"
prefix:2:4096:4096,prefix,"b2
f4096
p4096",2,4096,4096,0.1280828,0.15933440000000001,0.0007533649182169222,0.0016697439324638932,5,5,-19.61384358933163,"b2
f4096
p4096"
fresh:4:1200:0,fresh,"b4
f1200
p0",4,1200,0,0.11648639999999999,0.14808,0.0006461306369458104,0.0006450467683302741,5,4,-21.3354943273906,"b4
f1200
p0"
fresh:4:2048:0,fresh,"b4
f2048
p0",4,2048,0,0.11934700000000001,0.1513856,0.0024744577183698265,0.0029761204276708944,5,5,-21.163571700346665,"b4
f2048
p0"
prefix:4:2048:1024,prefix,"b4
f2048
p1024",4,2048,1024,0.1196992,0.1505088,0.001118078351458435,0.0015521814326940036,5,5,-20.470298082238376,"b4
f2048
p1024"
fresh:4:512:0,fresh,"b4
f512
p0",4,512,0,0.1088448,1.4580583333333335,0.0012995703905522046,0.010849657705814244,5,3,-92.53494887607377,"b4
f512
p0"
prefix:4:512:512,prefix,"b4
f512
p512",4,512,512,0.1138795,1.66608725,0.0006850092456796923,0.04558212556382899,4,4,-93.16485376141016,"b4
f512
p512"
fresh:8:1:0,fresh,"b8
f1
p0",8,1,0,0.096499,0.8909374,0.0005718295200494597,0.050394736012802,5,5,-89.16882375798794,"b8
f1
p0"
fresh:12:300:0,fresh,"b12
f300
p0",12,300,0,0.11673580000000001,0.149256,0.0017139475487890484,0.00219168854234964,5,4,-21.78820281931714,"b12
f300
p0"
